Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"682,000","4,409,000","7,008,000","1,421,000","1,017,000","702,000","549,000","788,000","817,000","436,000",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"682,000","4,409,000","7,008,000","1,421,000","1,017,000","702,000","549,000","788,000","817,000","436,000",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-90.268%,210.274%,589.086%,102.422%,85.246%,-10.914%,-32.803%,80.734%,-,-81.304%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"1,300,000","5,075,000","1,951,000","2,419,000","3,057,000","3,314,000","4,334,000","4,594,000","5,012,000",-,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"-618,000","-666,000","5,057,000","-998,000","-2,040,000","-2,612,000","-3,785,000","-3,806,000","-4,195,000","436,000",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","2,962,000","2,789,000","2,756,000","2,980,000","2,957,000","3,128,000","3,539,000","2,954,000","3,081,000","2,916,000",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,-,-,-,-,-,-,-,-,"-2,440,000","2,440,000",Upgrade,Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"315,000","334,000","300,000","448,000","641,000","478,000","451,000","544,000","596,000","632,000",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"3,728,000","3,563,000","3,536,000","3,913,000","4,220,000","4,094,000","4,528,000","4,132,000","1,850,000","6,468,000",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-4,346,000","-4,229,000","1,521,000","-4,911,000","-6,260,000","-6,706,000","-8,313,000","-7,938,000","-6,045,000","-6,032,000",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"134,000",-,"122,000",-,"18,000",-,"34,000",-,"216,000",-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"1,505,000","1,368,000","1,549,000","1,828,000","1,971,000","1,395,000","3,045,000","376,000","2,336,000","140,000",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-2,707,000","-2,861,000","3,192,000","-3,083,000","-4,271,000","-5,311,000","-5,234,000","-7,562,000","-3,493,000","-5,892,000",Upgrade,Financials in AUD,Fiscal year is July - June
Asset Writedown,-,-,"-321,000",-,-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,"364,000",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-2,707,000","-2,861,000","2,871,000","-3,083,000","-4,271,000","-5,311,000","-4,870,000","-7,562,000","-3,493,000","-5,892,000",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,"-146,000","378,000","341,000","211,000","90,000","162,000","-27,000","224,000","-457,000","543,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-2,561,000","-3,239,000","2,530,000","-3,294,000","-4,361,000","-5,473,000","-4,843,000","-7,786,000","-3,036,000","-6,435,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-2,561,000","-3,239,000","2,530,000","-3,294,000","-4,361,000","-5,473,000","-4,843,000","-7,786,000","-3,036,000","-6,435,000",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"289,803,570","289,196,428","286,487,416","286,434,782","284,188,097","283,575,129","264,878,163","174,573,991","168,828,104","166,709,844",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"289,803,570","289,196,428","286,487,416","286,434,782","284,188,097","283,575,129","264,878,163","174,573,991","168,828,104","166,709,844",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),1.158%,0.964%,0.809%,1.008%,7.290%,62.438%,56.892%,4.717%,1.482%,-0.050%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.009,-0.011,0.009,-0.011,-0.015,-0.019,-0.018,-0.045,-0.018,-0.039,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.009,-0.011,0.009,-0.011,-0.015,-0.019,-0.018,-0.045,-0.018,-0.039,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-3,099,000","-1,480,000","1,889,000","-1,305,000","-4,697,000","-4,587,000","-7,253,000","-4,263,000","-5,036,000","-3,755,000",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.011,-0.005,0.007,-0.005,-0.017,-0.016,-0.027,-0.024,-0.030,-0.023,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-637.243%,-95.917%,21.704%,-345.602%,-615.536%,-955.271%,-1514.208%,-1007.360%,-739.902%,-1383.486%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-375.513%,-73.463%,36.102%,-231.809%,-428.810%,-779.630%,-882.149%,-988.071%,-371.603%,-1475.917%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-454.399%,-33.568%,26.955%,-91.837%,-461.849%,-653.419%,-1321.129%,-540.990%,-616.401%,-861.239%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-4,365,000","-3,971,000","1,480,000","-4,610,000","-6,245,000","-6,368,000","-8,320,000","-7,607,000","-5,991,000","-5,686,000",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"-19,000","258,000","-41,000","301,000","15,000","338,000","-7,000","331,000","54,000","346,000",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-4,346,000","-4,229,000","1,521,000","-4,911,000","-6,260,000","-6,706,000","-8,313,000","-7,938,000","-6,045,000","-6,032,000",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,"2,321,000","5,777,000","8,679,000","3,249,000","3,006,000","2,097,000","3,992,000","1,164,000","3,369,000","576,000",Upgrade,Financials in AUD,Fiscal year is July - June
