Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018",+20 Quarters,,
Revenue,"1,029,019","1,351,082","569,414","198,796","1,576,616","1,097,147","749,222","532,770","1,811,476","102,702","42,435","5,899,177","11,205,961","1,238,350","61,027",-,-,"155,571","58,489","117,304",Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),-34.732%,23.145%,-23.999%,-62.686%,-12.965%,968.282%,1665.576%,-90.969%,-83.835%,-91.707%,-30.465%,-,-,696.003%,4.339%,-,-,50.017%,-39.024%,-19.634%,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"1,115,926","1,598,134","749,990","395,200","2,117,005","1,094,103","1,101,799","2,461,691","8,397,208","354,244","350,095","13,704,890","10,594,668","2,015,526","955,869","1,160,339","1,037,077","729,724","563,684","611,469",Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"-86,907","-247,052","-180,576","-196,404","-540,389","3,044","-352,577","-1,928,921","-6,585,732","-251,542","-307,660","-7,805,713","611,293","-777,176","-894,842","-1,160,339","-1,037,077","-574,153","-505,195","-494,165",Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","443,873","1,071,340","509,096","1,009,848","1,030,091","784,423","702,781","1,185,757","1,777,162","1,529,647","2,503,226","5,460,326","3,055,449","3,216,294","3,569,452","3,776,797","3,045,339","2,181,212","2,106,637","1,376,125",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"7,864","3,932","34,645","-14,776","-27,442","57,645","73,394","183,718","356,104","537,505","419,833","-768,710","1,545,456","1,259,364","618,232","1,188,135","486,828","248,801","119,960","385,915",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"519,884","1,531,438","1,001,919","1,544,787","1,424,060","1,169,555","1,229,360","2,880,635","2,995,904","2,598,385","3,744,991","5,719,471","5,876,297","5,627,333","5,525,407","6,546,861","12,079,972","3,201,753","2,775,738","2,275,730",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-606,791","-1,778,490","-1,182,495","-1,741,191","-1,964,449","-1,166,511","-1,581,937","-4,809,556","-9,581,636","-2,849,927","-4,052,651","-13,525,184","-5,265,004","-6,404,509","-6,420,249","-7,707,200","-13,117,049","-3,775,906","-3,280,933","-2,769,895",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,"-566,734","-399,589","-407,065","-456,754","-433,726","-530,941","-512,994","-813,286","-899,151","-534,963","-612,578","-546,388","-164,679","-150,309","-123,671","-137,526","-159,903","-157,410","-253,143","-40,364",Upgrade,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,-,-,-,-,"74,671","167,005","81,759","12,724","142,090","6,980",151,"3,859","3,179","66,807","156,581","129,462","162,768","119,714","32,683","53,514",Upgrade,Financials in CAD,Fiscal year is April - March
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-45,032","-15,963",Upgrade,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),-299,"1,756","-16,560","53,958","88,279","-83,569","105,998","151,734","54,270","-40,310","89,399","-177,343","-3,465","41,245","31,180",708,"24,979","-6,757","-20,669","-5,151",Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-181,385","-170,129","-155,000","-860,818","-40,940","1,916","-1,550","-1,108,591","-153,187","8,975","26,952","-1,341","-8,366","5,244","5,187","22,983","6,437","2,977","38,490","9,812",Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-1,355,209","-2,346,452","-1,761,120","-3,004,805","-2,276,165","-1,612,100","-1,908,724","-6,566,975","-10,437,614","-3,409,245","-4,548,727","-14,246,397","-5,438,335","-6,441,522","-6,350,972","-7,691,573","-13,082,768","-3,817,382","-3,528,604","-2,768,047",Upgrade,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,-,-,-,"1,021,149",-270,"67,678","-85,272","-57,263","-359,717",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Asset Writedown,-,-,-,"-3,864,125",-,-,-,"-15,382,661","-612,546",-,-,"-4,500,000",-,-,-,"2,209,811",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Unusual Items,-,-,"248,412","-253,060","-920,490","-93,796",-,"-212,986","204,264",-,"-882,359",-,-,"-440,513",-,"-1,928,637",-,-,"-16,414",-,Upgrade,Financials in CAD,Fiscal year is April - March
Pretax Income,"-1,355,209","-2,346,452","-1,512,708","-6,100,841","-3,196,925","-1,638,218","-1,993,996","-22,219,885","-11,205,613","-3,409,245","-5,431,086","-18,746,397","-5,438,335","-6,882,035","-6,350,972","-7,410,399","-13,082,768","-3,817,382","-3,545,018","-2,768,047",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income,"-1,355,209","-2,346,452","-1,512,708","-6,100,841","-3,196,925","-1,638,218","-1,993,996","-22,219,885","-11,205,613","-3,409,245","-5,431,086","-18,746,397","-5,438,335","-6,882,035","-6,350,972","-7,410,399","-13,082,768","-3,817,382","-3,545,018","-2,768,047",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Common,"-1,355,209","-2,346,452","-1,512,708","-6,100,841","-3,196,925","-1,638,218","-1,993,996","-22,219,885","-11,205,613","-3,409,245","-5,431,086","-18,746,397","-5,438,335","-6,882,035","-6,350,972","-7,410,399","-13,082,768","-3,817,382","-3,545,018","-2,768,047",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"530,868,021","530,868,021","530,868,021","512,587,395","432,637,825","432,637,825","432,546,200","358,151,316","328,083,242","321,442,199","293,501,397","274,397,336","272,983,882","271,064,804","270,249,163","232,465,961","264,386,453","249,529,849","226,860,451","222,736,287",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"530,868,021","530,868,021","530,868,021","512,587,395","432,637,825","432,637,825","432,546,200","358,151,316","328,083,242","321,442,199","293,501,397","274,397,336","272,983,882","271,064,804","270,249,163","232,465,961","264,386,453","249,529,849","226,860,451","222,736,287",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),22.705%,22.705%,22.731%,43.120%,31.868%,34.593%,47.374%,30.523%,20.184%,18.585%,8.604%,18.038%,3.252%,8.630%,19.126%,4.368%,33.833%,42.468%,42.749%,64.746%,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.003,-0.004,-0.003,-0.012,-0.007,-0.004,-0.005,-0.062,-0.034,-0.011,-0.019,-0.068,-0.020,-0.025,-0.024,-0.032,-0.049,-0.015,-0.016,-0.012,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.003,-0.004,-0.003,-0.012,-0.007,-0.004,-0.005,-0.062,-0.034,-0.011,-0.019,-0.068,-0.020,-0.025,-0.024,-0.032,-0.049,-0.015,-0.016,-0.012,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"-66,654","-70,615","-32,321","-814,082","-5,121","-578,089","-348,204","-140,814","-2,368,325","-891,449","-3,687,372","-4,392,151","-4,795,670","-20,189,390","-8,439,272","-7,961,969","-6,710,615","-7,330,470","-5,614,991","-3,678,067",Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.002,-0.000,-0.001,-0.001,-0.000,-0.007,-0.003,-0.013,-0.016,-0.018,-0.074,-0.031,-0.034,-0.025,-0.029,-0.025,-0.017,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Margin,-8.446%,-18.285%,-31.713%,-98.797%,-34.275%,0.277%,-47.059%,-,-,-244.924%,-,-132.319%,5.455%,-62.759%,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Margin,-58.968%,-131.634%,-207.669%,-875.868%,-124.599%,-106.322%,-211.144%,-902.745%,-528.941%,-2774.948%,-9550.256%,-229.272%,-46.984%,-517.181%,-10520.342%,-,-,-2427.127%,-5609.487%,-2361.296%,Upgrade,Financials in CAD,Fiscal year is April - March
Profit Margin,-131.699%,-173.672%,-265.660%,-3068.895%,-202.771%,-149.316%,-266.142%,-4170.634%,-618.590%,-3319.551%,-12798.600%,-317.780%,-48.531%,-555.742%,-10406.823%,-,-,-2453.788%,-6061.000%,-2359.721%,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,-6.477%,-5.227%,-5.676%,-409.506%,-0.325%,-52.690%,-46.475%,-26.431%,-130.740%,-867.996%,-8689.459%,-74.454%,-42.796%,-1630.346%,-13828.751%,-,-,-4711.977%,-9600.080%,-3135.500%,Upgrade,Financials in CAD,Fiscal year is April - March
