Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","10,622,090","13,131,839","16,313,727","15,799,432","10,281,396","5,983,147",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"6,438,029","16,051,015","46,769,162","37,456,350","17,570,037","14,902,622",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"17,060,119","29,182,854","63,082,889","53,255,782","27,851,433","20,885,769",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,060,119","-29,182,854","-63,082,889","-53,255,782","-27,851,433","-20,885,769",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-905,326","-1,682,894","-7,260",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"246,996","698,395","664,372","52,511","20,837","254,040",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"766,480","30,834","-87,682","2,363,470","-352,507","92,278",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,046,643","-28,453,625","-62,506,199","-51,745,127","-29,865,997","-20,546,711",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-3,100,000","-3,100,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-1,370,207","-690,768",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-100,000","-100,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"843,619",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-20,616,850","-32,344,393","-62,506,199","-50,901,508","-29,865,997","-20,546,711",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-20,616,850","-32,344,393","-62,506,199","-50,901,508","-29,865,997","-20,546,711",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"377,562","3,281,194","2,659,898",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-20,616,850","-32,344,393","-62,506,199","-51,279,070","-33,147,191","-23,206,609",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,185,623","1,049,468","962,364","807,445","50,193","49,619",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,185,623","1,049,468","962,364","807,445","50,193","49,619",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.462%,9.051%,19.186%,1508.680%,1.157%,10.525%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-17.389,-30.820,-64.951,-63.508,-660.395,-467.696,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-17.389,-30.820,-64.951,-63.508,-660.395,-467.696,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-17,606,216","-31,479,116","-52,446,036","-48,135,487","-27,269,360","-20,661,503",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-14.850,-29.995,-54.497,-59.615,-543.290,-416.403,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-16,375,748","-28,157,881","-62,088,097","-52,385,497","-27,232,443","-20,449,404",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"684,371","1,024,973","994,792","870,285","618,990","436,365",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-17,060,119","-29,182,854","-63,082,889","-53,255,782","-27,851,433","-20,885,769",Upgrade,Financials in USD,Fiscal year is January - December
