Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"25,105,971","22,222,645","13,295,078","5,628,616","2,499,355",-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),17.452%,67.149%,136.205%,125.203%,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"16,804,318","14,655,812","7,183,029","3,684,925","1,776,943",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"8,301,653","7,566,833","6,112,049","1,943,691","722,412",-,Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","8,450,239","8,635,506","6,271,968","2,948,939","2,280,476","1,555,427",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,-,-,-,"89,268","181,750",-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"9,378,440","9,360,592","6,912,045","4,335,429","7,887,426","1,672,685",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-1,076,787","-1,793,759","-799,996","-2,391,738","-7,165,014","-1,672,685",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-1,355,813","-1,040,193","-343,918","-276,597","-457,653","-361,821",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"8,303","11,646",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"-1,964,076",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,432,600","-2,833,952","-1,143,914","-2,668,335","-7,614,364","-3,986,936",Upgrade,Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,"-1,672,233",-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,"-1,500",-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-150,000",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,"-198,274","-680,377",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"-330,770","-347,313","-1,521,492","53,396",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-2,961,644","-3,861,642","-4,337,639","-2,764,939","-7,615,864","-3,986,936",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,"-326,424","-317,000","-56,000","-15,000",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-2,635,220","-3,544,642","-4,281,639","-2,749,939","-7,615,864","-3,986,936",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-2,635,220","-3,544,642","-4,281,639","-2,749,939","-7,615,864","-3,986,936",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"5,597,055","5,597,055","5,923,085","5,022,570","3,969,524","2,749,588",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,597,055","5,597,055","5,923,085","5,022,570","3,969,524","2,749,588",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),-0.012%,-5.504%,17.929%,26.528%,44.368%,521.844%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.471,-0.633,-0.723,-0.548,-1.919,-1.450,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.471,-0.633,-0.723,-0.548,-1.919,-1.450,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"582,517","1,180,216","291,874","-1,635,172","-4,634,764","-8,698,505",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,0.104,0.211,0.049,-0.326,-1.168,-3.164,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,33.066%,34.050%,45.972%,34.532%,28.904%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-4.289%,-8.072%,-6.017%,-42.492%,-286.675%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-10.496%,-15.951%,-32.205%,-48.856%,-304.713%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,2.320%,5.311%,2.195%,-29.051%,-185.438%,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"165,831","-406,616","559,887","-1,298,760","-6,592,824","-1,555,427",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,0.660%,-1.830%,4.211%,-23.074%,-263.781%,-,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"1,242,618","1,387,143","1,359,883","1,092,978","572,190","117,258",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-1,076,787","-1,793,759","-799,996","-2,391,738","-7,165,014","-1,672,685",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-4.289%,-8.072%,-6.017%,-42.492%,-286.675%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue as Reported,"25,105,971","22,222,645","13,295,078","5,628,616","2,499,355",-,Upgrade,Financials in CAD,Fiscal year is January - December
Advertising Expenses,-,-,-,"455,090","749,258",-,Upgrade,Financials in CAD,Fiscal year is January - December
