Fiscal Quarter,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018",+20 Quarters,,
Revenue,-,-,-,"73,000","741,000","1,042,000","1,116,000","2,537,000","4,709,000","3,590,000","3,337,000","2,266,000","933,000","1,466,000","1,395,000","1,326,000","1,465,000","2,990,000","725,000","320,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-97.123%,-84.264%,-70.975%,-66.557%,11.959%,404.716%,144.884%,139.211%,70.890%,-36.314%,-50.970%,92.414%,314.375%,48733.333%,22900.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"125,000","491,000","593,000","634,000","924,000","2,165,000","1,674,000","1,352,000","882,000","516,000","462,000","645,000","596,000","776,000","1,452,000","667,000","166,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"-52,000","250,000","449,000","482,000","1,613,000","2,544,000","1,916,000","1,985,000","1,384,000","417,000","1,004,000","750,000","730,000","689,000","1,538,000","58,000","154,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,464,000","2,571,000","2,685,000","3,562,000","6,209,000","5,567,000","3,780,000","6,040,000","7,897,000","6,872,000","7,870,000","7,235,000","14,299,000","18,948,000","21,032,000","19,041,000","21,148,000","56,246,000","16,753,000","11,290,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,282,000","2,559,000","2,551,000","3,078,000","2,860,000","3,691,000","3,870,000","4,190,000","2,431,000","2,297,000","2,698,000","3,164,000","3,373,000","3,325,000","2,956,000","4,764,000","5,352,000","8,150,000","4,111,000","2,915,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,746,000","5,130,000","5,236,000","6,640,000","9,069,000","9,258,000","7,650,000","10,230,000","10,328,000","9,169,000","10,568,000","10,399,000","17,672,000","22,273,000","23,988,000","23,805,000","26,500,000","64,396,000","20,864,000","14,205,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,746,000","-5,130,000","-5,236,000","-6,692,000","-8,819,000","-8,809,000","-7,168,000","-8,617,000","-7,784,000","-7,253,000","-8,583,000","-9,015,000","-17,255,000","-21,269,000","-23,238,000","-23,075,000","-25,811,000","-62,858,000","-20,806,000","-14,051,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,"-4,000","-14,000","-15,000","-21,000","-29,000","-39,000","-38,000","-47,000","-58,000","-65,000","-12,000",-,-,-,-,"-60,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"31,000","22,000",-,-,-,-,-,-,-,-,-,-,-,"25,000","27,000","29,000","70,000","226,000","227,000","51,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"528,000","749,000","2,009,000","6,676,000","5,117,000","892,000","6,418,000","1,867,000","-9,163,000","-1,458,000","1,560,000","-1,513,000","4,679,000","99,000","228,000","254,000","168,000","-1,658,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,187,000","-4,359,000","-3,231,000","-30,000","-3,717,000","-7,938,000","-779,000","-6,789,000","-16,985,000","-8,758,000","-7,081,000","-10,593,000","-12,588,000","-21,145,000","-22,983,000","-22,792,000","-25,573,000","-64,350,000","-20,579,000","-14,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,"-65,000",-,"-38,000",-,"-24,000","-242,000","-311,000","-425,000","-1,298,000",-,"-2,084,000","-452,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,"-278,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"4,000,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-56,000","-170,000","-169,000",-,"-54,000","-352,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"24,000",-,"3,912,000",-,-,-,-,-,-,-,-,-,"198,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
