Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q4 2019,Q3 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",,
"Selling, General & Admin","268,909","276,184","251,090","241,928","163,416","193,037","212,043","155,120","178,981","278,285","250,074","277,907","229,281","351,183","113,520","3,592","4,997","1,754",Financials in CAD,Fiscal year is January - December
Research & Development,"678,299","479,785","438,983","419,512","426,852","391,969","433,344","497,739","548,369","445,438","463,473","473,799","509,995","486,400","32,245","22,055","16,356","4,053",Financials in CAD,Fiscal year is January - December
Operating Expenses,"947,208","755,969","690,073","661,440","590,268","585,006","645,387","652,859","727,350","723,723","713,547","751,706","739,276","837,583","145,765","25,647","21,353","5,807",Financials in CAD,Fiscal year is January - December
Operating Income,"-947,208","-755,969","-690,073","-661,440","-590,268","-585,006","-645,387","-652,859","-727,350","-723,723","-713,547","-751,706","-739,276","-837,583","-145,765","-25,647","-21,353","-5,807",Financials in CAD,Fiscal year is January - December
Interest Expense,"-67,986","-66,224","-65,246","-65,013","-64,106","-22,190",-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,"1,837","3,982","3,977","7,425","6,899","4,069","7,193","10,474","7,592","3,016","2,836","2,836","2,867",-,-,-,-,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),-473,-224,"-1,046",-287,-19,"-1,107",-472,"-1,760",996,156,"-1,422","-2,483",-912,-346,-,-,-,-,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,"-3,051,607",-,-,"-3,051,607",-,1,-,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,015,667","-820,580","-752,383","-722,763","-646,968","-601,404","-641,790","-647,426","-715,880","-715,975","-711,953","-3,802,960","-737,352","-835,062","-3,197,372","-25,647","-21,352","-5,807",Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"3,051,607",-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Pretax Income,"-1,015,667","-820,580","-752,383","-722,763","-646,968","-601,404","-641,790","-647,426","-715,880","-715,975","-711,953","-751,353","-737,352","-835,062","-3,197,372","-25,647","-21,352","-5,807",Financials in CAD,Fiscal year is January - December
Net Income,"-1,015,667","-820,580","-752,383","-722,763","-646,968","-601,404","-641,790","-647,426","-715,880","-715,975","-711,953","-751,353","-737,352","-835,062","-3,197,372","-25,647","-21,352","-5,807",Financials in CAD,Fiscal year is January - December
Net Income to Common,"-1,015,667","-820,580","-752,383","-722,763","-646,968","-601,404","-641,790","-647,426","-715,880","-715,975","-711,953","-751,353","-737,352","-835,062","-3,197,372","-25,647","-21,352","-5,807",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"89,667,621","70,709,288","70,084,925","69,905,076","69,808,000","69,808,000","69,829,500","69,829,676","69,829,500","69,829,500","69,826,633","69,733,112","69,808,000","69,722,835","4,637,200",-,-,-,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"89,667,621","70,709,288","70,084,925","69,905,076","69,808,000","69,808,000","69,829,500","69,829,676","69,829,500","69,829,500","69,826,633","69,733,112","69,808,000","69,722,835","4,637,200",-,-,-,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),28.449%,1.291%,0.366%,0.108%,-0.031%,-0.031%,0.004%,0.138%,0.031%,0.153%,1405.793%,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.011,-0.012,-0.011,-0.010,-0.009,-0.009,-0.009,-0.009,-0.010,-0.010,-0.010,-0.011,-0.011,-0.012,-0.690,-,-,-,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.011,-0.012,-0.011,-0.010,-0.010,-0.010,-0.010,-0.009,-0.010,-0.010,-0.010,-0.011,-0.011,-0.012,-0.690,-,-,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-1,396,536","-439,787","-259,125","-377,016","-395,373","-800,095","-289,227","-449,929","-558,500","-642,912","-265,519","-448,613","-561,147","-577,373","-721,050",-,"-21,352",-,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.016,-0.006,-0.004,-0.005,-0.006,-0.011,-0.004,-0.006,-0.008,-0.009,-0.004,-0.006,-0.008,-0.008,-0.155,-,-,-,Financials in CAD,Fiscal year is January - December
EBITDA,"-812,079","-622,309","-556,413","-526,311","-455,139","-451,346","-513,196","-517,730","-592,221","-590,063","-581,356","-616,577","-604,147","-703,923","-136,952","-25,599","-21,305","-5,759",Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"135,129","133,660","133,660","135,129","135,129","133,660","132,191","135,129","135,129","133,660","132,191","135,129","135,129","133,660","8,813",48,48,48,Financials in CAD,Fiscal year is January - December
EBIT,"-947,208","-755,969","-690,073","-661,440","-590,268","-585,006","-645,387","-652,859","-727,350","-723,723","-713,547","-751,706","-739,276","-837,583","-145,765","-25,647","-21,353","-5,807",Financials in CAD,Fiscal year is January - December
