Fiscal Year,TTM,FY 2014,FY 2013,FY 2012,FY 2011,Currency,Fiscal_Year_period
Period Ending,"Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013","Dec '12 Dec 31, 2012","Dec '11 Dec 31, 2011",,
Revenue,"758,678","1,027,113","1,028,053","632,172","397,164",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-28.540%,-0.091%,62.622%,59.172%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"531,692","745,529","716,045","411,328","266,790",Financials in USD,Fiscal year is January - December
Gross Profit,"226,986","281,584","312,008","220,844","130,374",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,255,653","1,019,991","307,517","179,076","138,222",Financials in USD,Fiscal year is January - December
Research & Development,"56,581","59,405","47,714","37,407","35,008",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,312,234","1,079,396","355,231","216,483","173,230",Financials in USD,Fiscal year is January - December
Operating Income,"-1,085,248","-797,812","-43,223","4,361","-42,856",Financials in USD,Fiscal year is January - December
Interest Expense,"-310,828","-154,298","-85,356","-53,702","-8,179",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,747,998","-117,079",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,144,074","-1,069,189","-128,579","-49,341","-51,035",Financials in USD,Fiscal year is January - December
Net Income,"-3,144,074","-1,069,189","-128,579","-49,341","-51,035",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,144,074","-1,069,189","-128,579","-49,341","-51,035",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"48,427,439","45,579,679","26,247,047","19,855,000",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"48,427,439","45,579,679","26,247,047","19,855,000",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),24.670%,73.656%,32.194%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.065,-0.023,-0.005,-0.002,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.065,-0.023,-0.005,-0.002,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-501,805","-426,944","-267,870","-27,295","11,120",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.010,-0.009,-0.010,-0.001,-,Financials in USD,Fiscal year is January - December
Gross Margin,29.919%,27.415%,30.349%,34.934%,32.826%,Financials in USD,Fiscal year is January - December
Operating Margin,-143.045%,-77.675%,-4.204%,0.690%,-10.791%,Financials in USD,Fiscal year is January - December
Profit Margin,-414.415%,-104.097%,-12.507%,-7.805%,-12.850%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-66.142%,-41.567%,-26.056%,-4.318%,2.800%,Financials in USD,Fiscal year is January - December
EBITDA,"-1,040,399","-755,509","-20,900","21,023","-26,069",Financials in USD,Fiscal year is January - December
EBITDA Margin,-137.133%,-73.556%,-2.033%,3.325%,-6.564%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"44,849","42,303","22,323","16,662","16,787",Financials in USD,Fiscal year is January - December
EBIT,"-1,085,248","-797,812","-43,223","4,361","-42,856",Financials in USD,Fiscal year is January - December
EBIT Margin,-143.045%,-77.675%,-4.204%,0.690%,-10.790%,Financials in USD,Fiscal year is January - December
