Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"1,569,000,000","1,448,000,000","1,427,000,000","1,304,000,000","1,213,000,000","1,337,000,000","1,216,000,000","1,209,000,000","1,132,000,000","1,160,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),9.951%,11.043%,17.642%,-2.468%,-0.247%,10.587%,7.420%,4.224%,8.118%,6.324%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"813,000,000","756,000,000","712,000,000","662,000,000","590,000,000","652,000,000","600,000,000","573,000,000","555,000,000","585,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"756,000,000","692,000,000","715,000,000","642,000,000","623,000,000","685,000,000","616,000,000","636,000,000","577,000,000","575,000,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","280,000,000","371,000,000","261,000,000","345,000,000","256,000,000","329,000,000","232,000,000","277,000,000","229,000,000","271,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"61,000,000","85,000,000","64,000,000","75,000,000","69,000,000","84,000,000","59,000,000","75,000,000","62,000,000","68,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"13,000,000","-74,000,000","81,000,000","20,000,000","2,000,000","20,000,000","16,000,000","26,000,000","4,000,000","6,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"354,000,000","382,000,000","406,000,000","440,000,000","327,000,000","433,000,000","307,000,000","378,000,000","295,000,000","345,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"402,000,000","310,000,000","309,000,000","202,000,000","296,000,000","252,000,000","309,000,000","258,000,000","282,000,000","230,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-44,000,000","-29,000,000","-44,000,000","-26,000,000","-33,000,000","-18,000,000","-25,000,000","-17,000,000","-24,000,000","-11,000,000",Upgrade,Financials in USD,Fiscal year is January - December
