Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"1,367,739","1,558,779","1,275,909","1,291,070","983,324","1,201,678","1,252,918","1,175,235","736,428","785,086","622,467","622,247","485,738","595,137","95,868","15,088",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue,"1,367,739","1,558,779","1,275,909","1,291,070","983,324","1,201,678","1,252,918","1,175,235","736,428","785,086","622,467","622,247","485,738","595,137","95,868","15,088",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),39.093%,29.717%,1.835%,9.856%,33.526%,53.063%,101.283%,88.870%,51.610%,31.917%,549.296%,4024.119%,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"815,808","934,106","769,605","744,671","538,656","678,581","710,073","588,081","448,760","495,901","490,283","389,455","328,768","499,407","80,453","11,154",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"551,931","624,673","506,304","546,399","444,668","523,097","542,845","587,154","287,668","289,185","132,184","232,792","156,970","95,730","15,415","3,934",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","1,434,309","1,520,477","2,023,907","1,713,185","1,450,068","1,555,437","1,737,933","1,703,606","1,305,953","1,248,661","1,769,458","1,185,759","1,763,961","1,022,023","1,360,996","452,656","644,226","610,363","306,218","8,955",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"13,989","10,923","3,135","2,159","16,062","30,024","-39,113","112,841","129,507","102,389","753,181",-,-,-,-,975,"14,023",-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Operating Expenses,"-163,249",-,-,-,-,-,-,"-205,636",-,-,"433,359",-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"1,285,049","2,265,305","2,218,461","1,871,171","1,620,500","2,497,400","1,745,546","1,698,320","1,526,916","1,688,880","3,440,817","1,280,719","1,827,084","3,577,841","1,548,331","936,058","931,152","1,494,081","306,218","8,955",Upgrade,Financials in CAD,Fiscal year is April - March
