Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Revenue,"178,448","167,147","160,241","83,386","225,897","79,635",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),29.132%,4.310%,92.168%,-63.087%,183.665%,-84.918%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"98,042","87,416","74,541","55,953","105,628","43,002",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"80,406","79,731","85,700","27,433","120,269","36,633",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","130,368","100,830","890,928","6,147,418","504,361","448,964",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"1,918","1,918","1,020","21,218",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"187,843","158,305","945,504","6,168,636","504,361","448,964",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-107,437","-78,574","-859,804","-6,141,203","-384,092","-412,331",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-69,914",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,"-259,688",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-107,437","-78,574","-859,804","-6,141,203","-454,006","-672,019",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,"-1,240,390",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-189,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-107,437","-78,574","-859,804","-6,141,203","-1,694,396","-861,019",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-107,437","-78,574","-859,804","-6,141,203","-1,694,396","-861,019",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-107,437","-78,574","-859,804","-6,141,203","-1,694,396","-861,019",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"135,686,114","135,686,114","135,686,114","78,014,100","3,115,912","1,384,457",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"135,686,114","135,686,114","135,686,114","78,014,100","3,115,912","1,384,457",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.236%,-,73.925%,2403.732%,125.064%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,-0.001,-0.006,-0.079,-0.544,-0.622,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.001,-0.006,-0.079,-0.544,-0.622,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-19,586","-16,639","-873,180","-6,444,736","-660,697","-769,072",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.006,-0.083,-0.212,-0.556,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,45.059%,47.701%,53.482%,32.899%,53.241%,46.001%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-60.206%,-47.009%,-536.569%,-7364.789%,-170.030%,-517.776%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-60.206%,-47.009%,-536.569%,-7364.789%,-750.075%,-1081.207%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-10.976%,-9.955%,-544.917%,-7728.799%,-292.477%,-965.746%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-51,880","-23,017","-806,248",-,-,"-337,095",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-29.073%,-13.771%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"55,557","55,557","53,556",-,-,"75,236",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-107,437","-78,574","-859,804","-6,141,203","-384,092","-412,331",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-60.206%,-47.009%,-,-,-170.030%,-,Upgrade,Financials in USD,Fiscal year is January - December
