Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+8 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+8 Quarters,,
Revenue,501,615,"1,058","1,236","1,438",597,963,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Revenue Growth (YoY),-65.160%,3.015%,9.865%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Cost of Revenue,375,484,336,479,694,389,985,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Gross Profit,126,131,722,757,744,208,-22,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
"Selling, General & Admin","50,488","57,198","66,241","75,991","91,402","78,653","120,944","183,940","175,239","228,908","462,517","203,084","264,825","235,424","139,750","112,730","137,141","102,738","119,006","126,863",Upgrade,Financials in USD,Fiscal year is October - September
Operating Expenses,"50,488","57,198","66,241","75,991","91,402","78,653","120,944","183,940","175,239","228,908","462,517","203,084","264,825","235,424","139,750","112,730","137,141","102,738","119,006","126,863",Upgrade,Financials in USD,Fiscal year is October - September
Operating Income,"-50,362","-57,067","-65,519","-75,234","-90,658","-78,445","-120,966","-183,940","-175,239","-228,908","-462,517","-203,084","-264,825","-235,424","-139,750","-112,730","-137,141","-102,738","-119,006","-126,863",Upgrade,Financials in USD,Fiscal year is October - September
Interest Expense,"-8,310","-7,980","-8,460","-8,496","-31,213","-20,124","-50,584","-19,232","-5,478","-16,913","-12,964","-11,890","-9,053","-11,266","-640,053","-108,606","-549,386","-54,877","-16,366","-6,646",Upgrade,Financials in USD,Fiscal year is October - September
Currency Exchange Gain (Loss),"5,367","-4,233","-7,817","6,510","3,955","-3,540",717,"2,847","-22,516","-12,310","3,657",-576,"-8,286","3,044","2,801","11,106","6,017","15,824","-31,596","9,747",Upgrade,Financials in USD,Fiscal year is October - September
Other Non Operating Income (Expenses),"-725,766","26,725","43,841","-69,917","-76,857","-66,738","-17,149","160,951","35,197","510,066","-563,917","234,274","-173,702","101,418","-2,509,926","-674,912","197,581","-1,187,033","-122,703","-82,295",Upgrade,Financials in USD,Fiscal year is October - September
EBT Excluding Unusual Items,"-779,071","-42,555","-37,955","-147,137","-194,773","-168,847","-187,982","-39,374","-168,036","251,935","-1,035,741","18,724","-455,866","-142,228","-3,286,928","-885,142","-482,929","-1,328,824","-289,671","-206,057",Upgrade,Financials in USD,Fiscal year is October - September
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-434,601",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Other Unusual Items,-,-,-,"2,284","16,261","5,916",-,-,"57,613",-,-,-,"-375,586",-,"145,494","468,032","5,324","-31,898","286,044",-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-779,071","-42,555","-37,955","-144,853","-178,512","-162,931","-187,982","-39,374","-110,423","251,935","-1,035,741","18,724","-831,452","-142,228","-3,141,434","-417,110","-912,206","-1,360,722","-3,627","-206,057",Upgrade,Financials in USD,Fiscal year is October - September
Earnings From Continuing Operations,"-779,071","-42,555","-37,955","-144,853","-178,512","-162,931","-187,982","-39,374","-110,423","251,935","-1,035,741","18,724","-831,452","-142,228","-3,141,434","-417,110","-912,206","-1,360,722","-3,627","-206,057",Upgrade,Financials in USD,Fiscal year is October - September
Minority Interest in Earnings,-,35,-,-,-2,26,-,-,27,-,-,-,25,83,44,1,"44,581",8,117,36,Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-779,071","-42,520","-37,955","-144,853","-178,514","-162,905","-187,982","-39,374","-110,396","251,935","-1,035,741","18,724","-831,427","-142,145","-3,141,390","-417,109","-867,625","-1,360,714","-3,510","-206,021",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-779,071","-42,520","-37,955","-144,853","-178,514","-162,905","-187,982","-39,374","-110,396","251,935","-1,035,741","18,724","-831,427","-142,145","-3,141,390","-417,109","-867,625","-1,360,714","-3,510","-206,021",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"663,676,959","663,645,739","663,645,739","646,630,017","507,333,820","445,095,035","454,760,969","446,527,273","429,806,828","406,566,324","394,410,713","384,214,747","360,564,444","351,763,390","307,043,543","157,102,642","94,160,034","82,854,083","75,652,840","75,646,835",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"663,676,959","663,645,739","663,645,739","646,630,017","507,333,820","445,095,035","454,760,969","446,527,273","429,806,828","613,471,911","394,410,713","384,214,747","360,564,444","351,763,390","307,043,543","157,102,642","94,160,034","82,854,083","75,652,840","75,646,835",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),30.817%,49.102%,45.933%,44.813%,18.038%,-27.447%,15.301%,16.218%,19.204%,74.399%,28.454%,144.563%,282.927%,324.558%,305.859%,107.679%,25.372%,10.958%,1.798%,4.806%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,-0.003,0.000,-0.002,-0.000,-0.010,-0.003,-0.009,-0.016,-0.000,-0.003,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.003,0.000,-0.005,-0.000,-0.010,-0.003,-0.009,-0.016,-0.000,-0.003,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"1,063",-655,"-26,511","-1,983","-27,586","7,512","-34,265","-19,499","-92,259","-129,991","-55,788","-148,530","-54,844","-45,693","-101,164","-4,380","-61,082","-72,347","-402,283","-71,922",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.001,-0.005,-0.001,Upgrade,Financials in USD,Fiscal year is October - September
Gross Margin,25.150%,21.301%,68.242%,61.246%,51.739%,34.841%,-2.284%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Operating Margin,-10052.295%,-9279.187%,-6192.722%,-6086.893%,-6304.451%,-13139.866%,-12561.371%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Profit Margin,-155503.194%,-6913.821%,-3587.429%,-11719.498%,-12414.047%,-27287.270%,-19520.457%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Margin,212.176%,-106.504%,-2505.766%,-160.437%,-1918.359%,1258.291%,-3558.152%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-50,362","-57,067","-65,519","-75,234","-90,658","-78,445","-120,966","-183,940","-175,239","-228,908","-462,517","-203,084","-264,825","-235,424","-139,750","-112,730","-137,141","-102,738","-119,006","-126,863",Upgrade,Financials in USD,Fiscal year is October - September
Advertising Expenses,-,960,"2,390","4,537",-,"16,576","12,656",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
