Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,"128,475,000","131,499,000","128,356,000","131,427,000","118,933,000","99,316,000","85,125,000","75,152,000","50,659,000","50,726,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0.093%,0.055%,7.923%,32.332%,39.716%,32.154%,68.035%,48.153%,1.952%,10.212%,Financials in USD,Fiscal year is January - December
Cost of Revenue,"93,633,000","92,093,000","89,368,000","86,433,000","74,733,000","62,276,000","55,464,000","48,306,000","36,020,000","32,684,000",Financials in USD,Fiscal year is January - December
Gross Profit,"34,842,000","39,406,000","38,988,000","44,994,000","44,200,000","37,040,000","29,661,000","26,846,000","14,639,000","18,042,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","28,884,000","25,351,000","26,863,000","26,087,000","25,069,000","21,500,000","16,690,000","13,007,000","10,877,000","12,189,000",Financials in USD,Fiscal year is January - December
Research & Development,"2,772,000","2,901,000","3,137,000","2,298,000","1,586,000","1,469,000","965,000","1,090,000","751,000","881,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"32,154,000","27,698,000","30,487,000","28,679,000","26,961,000","23,379,000","18,018,000","14,036,000","11,774,000","13,908,000",Financials in USD,Fiscal year is January - December
Operating Income,"2,688,000","11,708,000","8,501,000","16,315,000","17,239,000","13,661,000","11,643,000","12,810,000","2,865,000","4,134,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-4,295,000","-3,962,000","-3,110,000","-2,533,000","-1,415,000","-1,369,000","-1,210,000","-1,152,000","-1,044,000","-644,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"498,000","956,000","799,000","252,000","246,000","926,000","959,000","1,433,000","2,710,000","2,885,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"67,000","281,000","-119,000","104,000","153,000","9,000",-,"-53,000","-15,000","241,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"502,000","-840,000","667,000","557,000","238,000","19,000","-146,000","-103,000","-30,000","-36,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,042,000","1,956,000","677,000","2,114,000","1,494,000","2,326,000","222,000","1,468,000","697,000","1,492,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"502,000","10,099,000","7,415,000","16,809,000","17,955,000","15,572,000","11,468,000","14,403,000","5,183,000","8,072,000",Financials in USD,Fiscal year is January - December
