Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,"17,956",-,"20,250","22,247","2,699",824,757,"6,853","1,511","2,490","1,084",461,717,351,"15,898","7,616",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,565.283%,-,2575.033%,224.632%,78.623%,-66.908%,-30.166%,1386.551%,110.739%,609.402%,-93.182%,-93.947%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"47,360","20,250","18,000",-,-,150,"7,357","193,245","14,184","28,881","26,310","-13,518","17,745","4,289","14,024",Financials in USD,Fiscal year is January - December
Gross Profit,-,"17,956","-47,360",-,"4,247","2,699",824,607,-504,"-191,734","-11,694","-27,797","-25,849","14,235","-17,394","11,609","-6,408",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","114,384","139,380","147,011","155,011","724,595","109,039","226,583","219,862","239,502","271,595","250,862","196,198","273,819","437,463","231,670","74,372","214,962",Financials in USD,Fiscal year is January - December
Operating Expenses,"135,002","159,998","167,629","175,629","745,213","129,657","247,201","240,480","259,724","330,236","287,161","1,297,886","310,117","5,632,546","261,743","104,445","245,035",Financials in USD,Fiscal year is January - December
Operating Income,"-135,002","-142,042","-214,989","-175,629","-740,966","-126,958","-246,377","-239,873","-260,228","-521,970","-298,855","-1,325,683","-335,966","-5,618,311","-279,137","-92,836","-251,443",Financials in USD,Fiscal year is January - December
Interest Expense,"-17,065","-16,375","-14,376","-12,814","-11,611","-11,562","-8,271","-6,798","-5,877","-14,815","-6,128","-6,063","-6,034","-13,340","-8,222","-5,466","-4,155",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-1,-,-,"-37,753",-,-,-1,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-152,067","-158,417","-229,365","-188,443","-752,577","-138,520","-254,649","-246,671","-266,105","-574,538","-304,983","-1,331,746","-342,001","-5,631,651","-287,359","-98,302","-255,598",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,"-385,989",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-3,549",-,-,-,-,-,-,-,-,-,"36,825","106,660",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-152,067","-161,966","-229,365","-188,443","-752,577","-138,520","-254,649","-246,671","-266,105","-960,527","-304,983","-1,294,921","-235,341","-5,631,651","-287,359","-98,302","-255,598",Financials in USD,Fiscal year is January - December
Net Income,"-152,067","-161,966","-229,365","-188,443","-752,577","-138,520","-254,649","-246,671","-266,105","-960,527","-304,983","-1,294,921","-235,341","-5,631,651","-287,359","-98,302","-255,598",Financials in USD,Fiscal year is January - December
Net Income to Common,"-152,067","-161,966","-229,365","-188,443","-752,577","-138,520","-254,649","-246,671","-266,105","-960,527","-304,983","-1,294,921","-235,341","-5,631,651","-287,359","-98,302","-255,598",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,690,640,226","2,690,640,226","2,690,640,226","2,690,640,226","2,690,640,226","2,690,231,423","2,677,630,564","2,677,971,104","2,677,529,115","2,936,162,596","2,632,553,898","2,553,459,703","2,371,964,336","746,484,664","40,020,000","40,020,000","40,020,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,690,640,226","2,690,640,226","2,690,640,226","2,690,640,226","2,690,640,226","2,690,231,423","2,677,630,564","2,677,971,104","2,677,529,115","2,936,162,596","2,632,553,898","2,553,459,703","2,371,964,336","746,484,664","40,020,000","40,020,000","40,020,000",Financials in USD,Fiscal year is January - December
