Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Jan '19 Jan 1, 2019",+7 Quarters,,
Revenue,"21,045,000","19,284,000","24,097,000","17,227,000","9,922,000","11,627,000","10,575,000","9,466,000","7,280,000","8,106,000","5,389,000","6,895,000","3,003,000",-,"2,931,000","3,131,000","2,525,000","2,896,000","2,406,000","1,879,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),112.104%,65.855%,127.868%,81.988%,36.291%,43.437%,96.233%,37.288%,142.424%,-,83.862%,120.217%,18.931%,-,21.820%,66.631%,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"12,538,000","9,568,000","16,535,000","15,651,000","328,000","451,000","2,563,000","2,064,000","2,969,000","3,287,000","2,027,000","6,583,000","-1,098,000",-,"680,000","-1,612,000","618,000","934,000","768,000","687,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"8,507,000","9,716,000","7,562,000","1,576,000","9,594,000","11,176,000","8,012,000","7,402,000","4,311,000","4,819,000","3,362,000","312,000","4,101,000",-,"2,251,000","4,743,000","1,907,000","1,962,000","1,638,000","1,192,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","10,616,000","10,951,000","10,436,000","10,626,000","6,015,000","6,599,000","5,811,000","5,734,000","7,259,000","6,275,000","4,854,000","5,974,000","6,634,000",-,"12,255,000","16,470,000","16,679,000","12,617,000","11,677,000","14,314,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"198,000","24,000","50,000","12,000","121,000","168,000","133,000","57,000","60,000","80,000","206,000","176,000","183,000",-,"520,000","708,000","541,000","586,000","436,000","778,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Operating Expenses,"8,400,000","7,882,000","4,603,000","8,729,000","8,597,000","3,845,000","2,435,000","2,535,000","1,765,000","2,331,000","1,530,000","2,324,000","1,178,000",-,"545,000","218,000","212,000","5,000",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"20,037,000","21,420,000","17,840,000","16,954,000","18,312,000","14,192,000","12,473,000","12,812,000","13,462,000","13,251,000","8,706,000","10,352,000","10,315,000",-,"17,509,000","22,485,000","21,717,000","18,379,000","16,093,000","18,516,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-11,530,000","-11,704,000","-10,278,000","-15,378,000","-8,718,000","-3,016,000","-4,461,000","-5,410,000","-9,151,000","-8,432,000","-5,344,000","-10,040,000","-6,214,000",-,"-15,258,000","-17,742,000","-19,810,000","-16,417,000","-14,455,000","-17,324,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-2,020,000","-2,109,000","-2,017,000","-2,043,000","-1,680,000","-1,623,000","-1,292,000","-1,111,000","-1,297,000","-6,004,000","-3,170,000","-3,308,000","-1,256,000",-,"-139,000","-74,000",-,"-143,000","-89,000","-5,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"16,000","6,000","8,000","7,000","6,000","3,000","4,000","34,000","8,000","23,000","24,000","43,000","38,000",-,"171,000","286,000","478,000","869,000","1,186,000","1,042,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-148,000","-145,000","-475,000","-230,000","-222,000","-786,000",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-45,000","-115,000","-66,000","2,392,000","-1,373,000","-1,707,000","85,000","-70,000","-803,000","33,000","192,000","419,000","230,000",-,"-2,514,000","-281,000","-208,000","-315,000","-159,000","-51,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"91,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,579,000","-13,922,000","-12,353,000","-15,022,000","-11,765,000","-6,343,000","-5,664,000","-6,557,000","-11,243,000","-14,380,000","-8,298,000","-12,886,000","-7,202,000",-,"-17,888,000","-17,956,000","-19,924,000","-16,236,000","-13,739,000","-17,124,000",Upgrade,Financials in CAD,Fiscal year is January - December
Merger & Restructuring Charges,"-325,000",-,"-944,000","-208,000",-,-,-,"-317,000",-,-,-,-,-,-,-,"32,000","-215,000","-606,000","-270,000","-1,346,000",Upgrade,Financials in CAD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-2,007,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-12,000","-74,000",-,-,-,-,-,-,-,-,"-761,000","-1,502,000",-,-,"-3,082,000","-4,296,000",-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
