Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"28,929,000","13,657,000","2,559,000","196,000","8,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),192.242%,433.685%,1205.612%,2350.000%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,862,000","1,679,000","452,000","75,000","5,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"26,067,000","11,978,000","2,107,000","121,000","3,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","25,559,000","13,985,000","6,847,000","6,202,000","2,984,000","2,633,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,730,000","1,796,000","1,526,000","1,399,000","1,744,000","368,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"27,289,000","15,781,000","8,373,000","7,601,000","4,728,000","3,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,222,000","-3,803,000","-6,266,000","-7,480,000","-4,725,000","-3,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,000",-,"-2,000","-13,000","-8,000","-40,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-160,000","4,000","-415,000","-290,000","28,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,718,000","-235,000","2,795,000","-2,308,000","-5,248,000","-294,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"334,000","-4,034,000","-3,888,000","-10,091,000","-9,953,000","-3,335,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"1,344,000","214,000","1,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,010,000","-4,248,000","-3,889,000","-10,091,000","-9,953,000","-3,335,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"-1,593,000","-452,000","125,000","44,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,603,000","-4,700,000","-3,764,000","-10,047,000","-9,953,000","-3,335,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,603,000","-4,700,000","-3,764,000","-10,047,000","-9,953,000","-3,335,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"275,053,599","257,003,775","248,953,220","224,541,780","162,021,651","120,644,432",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"275,053,599","257,003,775","248,953,220","224,541,780","162,021,651","120,644,432",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),8.866%,3.234%,10.872%,38.588%,34.297%,42.848%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.009,-0.018,-0.015,-0.045,-0.061,-0.028,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.009,-0.018,-0.015,-0.045,-0.061,-0.028,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,406,000","-3,950,000","-6,093,000","-6,670,000","-3,687,000","-2,724,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.009,-0.015,-0.024,-0.030,-0.023,-0.023,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,90.107%,87.706%,82.337%,61.735%,37.500%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-4.224%,-27.847%,-244.861%,-3816.327%,-59062.500%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-8.998%,-34.415%,-147.089%,-5126.020%,-124412.500%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-8.317%,-28.923%,-238.101%,-3403.061%,-46087.500%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,185,000","-3,770,000","-6,231,000","-7,437,000","-4,685,000","-2,978,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-4.096%,-27.605%,-243.494%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"37,000","33,000","35,000","43,000","40,000","23,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,222,000","-3,803,000","-6,266,000","-7,480,000","-4,725,000","-3,001,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-4.224%,-27.846%,-244.861%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
