Fiscal Year,TTM,FY 2016,FY 2015,FY 2014,FY 2013,Currency,Fiscal_Year_period
Period Ending,"Jul '16 Jul 31, 2016","Jul '16 Jul 31, 2016","Jul '15 Jul 31, 2015","Jul '14 Jul 31, 2014","Jul '13 Jul 31, 2013",,
Revenue,"3,485","3,485","19,448","10,656",-,Financials in USD,Fiscal year is August - July
Revenue Growth (YoY),-82.080%,-82.080%,82.508%,-,-,Financials in USD,Fiscal year is August - July
Gross Profit,"3,485","3,485","19,448","10,656",-,Financials in USD,Fiscal year is August - July
"Selling, General & Admin","2,153,990","2,153,990","1,237,659","416,011","38,197",Financials in USD,Fiscal year is August - July
Operating Expenses,"2,153,990","2,153,990","1,237,659","416,011","38,197",Financials in USD,Fiscal year is August - July
Operating Income,"-2,150,505","-2,150,505","-1,218,211","-405,355","-38,197",Financials in USD,Fiscal year is August - July
Interest Expense,-326,-326,"-1,597,253","-13,824",-,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,"-2,150,831","-2,150,831","-2,815,464","-419,179","-38,197",Financials in USD,Fiscal year is August - July
Other Unusual Items,"-301,190","-301,190","-1,779,111","-9,349",-,Financials in USD,Fiscal year is August - July
Pretax Income,"-2,452,021","-2,452,021","-4,594,575","-428,528","-38,197",Financials in USD,Fiscal year is August - July
Net Income,"-2,452,021","-2,452,021","-4,594,575","-428,528","-38,197",Financials in USD,Fiscal year is August - July
Net Income to Common,"-2,452,021","-2,452,021","-4,594,575","-428,528","-38,197",Financials in USD,Fiscal year is August - July
Shares Outstanding (Basic),"681,933,913","681,933,913","307,458,243","72,582,349","72,493,750",Financials in USD,Fiscal year is August - July
Shares Outstanding (Diluted),"681,933,913","681,933,913","307,458,243","72,582,349","72,493,750",Financials in USD,Fiscal year is August - July
Shares Change (YoY),121.797%,121.797%,323.599%,0.122%,-,Financials in USD,Fiscal year is August - July
EPS (Basic),-0.004,-0.004,-0.015,-0.006,-0.001,Financials in USD,Fiscal year is August - July
EPS (Diluted),-0.004,-0.004,-0.015,-0.006,-0.001,Financials in USD,Fiscal year is August - July
Free Cash Flow,"-137,831","-137,831","-56,398","-236,860","-15,000",Financials in USD,Fiscal year is August - July
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.003,-0.000,Financials in USD,Fiscal year is August - July
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,Financials in USD,Fiscal year is August - July
Operating Margin,-61707.461%,-61707.461%,-6263.940%,-3804.007%,-,Financials in USD,Fiscal year is August - July
Profit Margin,-70359.283%,-70359.283%,-23624.923%,-4021.471%,-,Financials in USD,Fiscal year is August - July
Free Cash Flow Margin,-3954.978%,-3954.978%,-289.994%,-2222.785%,-,Financials in USD,Fiscal year is August - July
EBIT,"-2,150,505","-2,150,505","-1,218,211","-405,355","-38,197",Financials in USD,Fiscal year is August - July
