Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019 - 2017,,
Revenue,"494,784","827,407","334,177","1,390,684",-,"199,106",Upgrade,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),-26.316%,147.595%,-75.970%,-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Profit,"494,784","827,407","334,177","1,390,684",-,"199,106",Upgrade,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","2,880,402","3,255,324","4,624,589","5,324,764","5,437,970","4,252,835",Upgrade,Financials in CAD,Fiscal year is April - March
Research & Development,"7,438,946","5,622,274","3,623,869","20,744,405","10,221,965","2,078,223",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Expenses,"10,319,348","8,877,598","8,248,458","26,069,169","15,659,935","6,331,058",Upgrade,Financials in CAD,Fiscal year is April - March
Operating Income,"-9,824,564","-8,050,191","-7,914,281","-24,678,485","-15,659,935","-6,131,952",Upgrade,Financials in CAD,Fiscal year is April - March
Interest Expense,"-2,582,935","-1,631,005","-951,842","-1,554,941","-122,036","-12,109",Upgrade,Financials in CAD,Fiscal year is April - March
Interest & Investment Income,"6,140","16,812","29,882","33,730","116,953","40,165",Upgrade,Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"71,178","65,656","-364,606","56,817",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"8,762,185","5,887,401","138,466","1,063,039","1,339,906","687,400",Upgrade,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-3,567,996","-3,711,327","-9,062,381","-25,079,840","-14,325,112","-5,416,496",Upgrade,Financials in CAD,Fiscal year is April - March
Other Unusual Items,-,-,"-144,241",-,-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Pretax Income,"-3,567,996","-3,711,327","-9,206,622","-25,079,840","-14,325,112","-5,416,496",Upgrade,Financials in CAD,Fiscal year is April - March
Income Tax Expense,"16,205","69,583","36,392","38,459",-,-,Upgrade,Financials in CAD,Fiscal year is April - March
Net Income,"-3,584,201","-3,780,910","-9,243,014","-25,118,299","-14,325,112","-5,416,496",Upgrade,Financials in CAD,Fiscal year is April - March
Net Income to Common,"-3,584,201","-3,780,910","-9,243,014","-25,118,299","-14,325,112","-5,416,496",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"121,266,120","121,266,120","113,731,873","66,731,000","59,178,590","34,325,719",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"121,266,120","121,266,120","113,731,873","66,731,000","59,178,590","34,325,719",Upgrade,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),0.017%,6.625%,70.433%,12.762%,72.403%,13.468%,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.030,-0.031,-0.081,-0.376,-0.242,-0.158,Upgrade,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.030,-0.031,-0.081,-0.376,-0.242,-0.158,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow,"71,851","-2,494,142","-10,101,011","-19,081,182","-11,459,098","-4,261,393",Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Per Share,0.001,-0.021,-0.089,-0.286,-0.194,-0.124,Upgrade,Financials in CAD,Fiscal year is April - March
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,100.000%,Upgrade,Financials in CAD,Fiscal year is April - March
Operating Margin,-1985.627%,-972.942%,-2368.290%,-1774.557%,-,-3079.742%,Upgrade,Financials in CAD,Fiscal year is April - March
Profit Margin,-724.397%,-456.959%,-2765.904%,-1806.183%,-,-2720.408%,Upgrade,Financials in CAD,Fiscal year is April - March
Free Cash Flow Margin,14.522%,-301.441%,-3022.653%,-1372.072%,-,-2140.263%,Upgrade,Financials in CAD,Fiscal year is April - March
EBITDA,"-9,811,609","-8,036,529","-7,908,015","-24,665,842","-15,645,099","-6,114,198",Upgrade,Financials in CAD,Fiscal year is April - March
D&A For EBITDA,"12,955","13,662","6,266","12,643","14,836","17,754",Upgrade,Financials in CAD,Fiscal year is April - March
EBIT,"-9,824,564","-8,050,191","-7,914,281","-24,678,485","-15,659,935","-6,131,952",Upgrade,Financials in CAD,Fiscal year is April - March
Revenue as Reported,"844,219","844,219","364,059","1,424,414","116,953","239,271",Upgrade,Financials in CAD,Fiscal year is April - March
