Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"17,403,000","17,522,000","23,525,000","16,769,000","15,640,000","22,337,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-7.564%,-25.518%,40.289%,7.219%,-29.982%,34.334%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"7,730,000","7,158,000","10,343,000","6,755,000","4,367,000","5,801,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"9,673,000","10,364,000","13,182,000","10,014,000","11,273,000","16,536,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","10,645,000","10,115,000","10,573,000","9,497,000","7,848,000","8,463,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"708,000","699,000","609,000","634,000","1,101,000","1,376,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"12,733,000","12,320,000","12,653,000","11,510,000","10,440,000","11,568,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-3,060,000","-1,956,000","529,000","-1,496,000","833,000","4,968,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-70,000","-85,000","-158,000","-236,000","-252,000","-679,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"519,000","507,000","260,000","182,000","291,000","276,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Equity Investments,"-13,000","16,000","-57,000","8,000",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"83,000","10,000","-51,000","-244,000","176,000","-111,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,541,000","-1,508,000","523,000","-1,786,000","1,048,000","4,454,000",Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,-,"-1,918,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,"-22,000","-119,000","777,000","1,390,000","-1,274,000",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-2,541,000","-1,530,000","404,000","-1,009,000","520,000","3,180,000",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,"197,000","456,000","-458,000","96,000","483,000","1,325,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,738,000","-1,986,000","862,000","-1,105,000","37,000","1,855,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-2,738,000","-1,986,000","862,000","-1,105,000","37,000","1,855,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-2,738,000","-1,986,000","862,000","-1,105,000","37,000","1,855,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-98.005%,-22.579%,Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"19,572,567","20,255,285","20,690,875","20,755,290","20,661,477","20,941,690",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"19,572,567","20,255,285","21,000,182","20,755,290","20,969,205","22,496,719",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),-3.850%,-3.547%,1.180%,-1.020%,-6.790%,14.159%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.140,-0.098,0.042,-0.053,0.002,0.089,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.142,-0.100,0.040,-0.053,0.002,0.087,Upgrade,Financials in CAD,Fiscal year is January - December
EPS Growth,-,-,-,-,-97.961%,-27.915%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-761,000","1,943,000","-1,249,000","-1,943,000","5,549,000","5,091,000",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.039,0.096,-0.059,-0.094,0.265,0.226,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,55.582%,59.148%,56.034%,59.717%,72.078%,74.030%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-17.583%,-11.163%,2.249%,-8.921%,5.326%,22.241%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-15.733%,-11.334%,3.664%,-6.590%,0.237%,8.305%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-4.373%,11.089%,-5.309%,-11.587%,35.480%,22.792%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-2,087,000","-857,000","1,613,000","-479,000","2,019,000","6,393,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-11.992%,-4.891%,6.857%,-2.856%,12.909%,28.621%,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"973,000","1,099,000","1,084,000","1,017,000","1,186,000","1,425,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-3,060,000","-1,956,000","529,000","-1,496,000","833,000","4,968,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-17.583%,-11.163%,2.249%,-8.921%,5.326%,22.241%,Upgrade,Financials in CAD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,92.885%,41.667%,Upgrade,Financials in CAD,Fiscal year is January - December
