Fiscal Quarter,Q3 2012,Q2 2012,Q1 2012,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,Q1 2009,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Currency,Fiscal_Year_period
Period Ending,"Jan '12 Jan 31, 2012","Oct '11 Oct 31, 2011","Jul '11 Jul 31, 2011","Jan '11 Jan 31, 2011","Oct '10 Oct 31, 2010","Jul '10 Jul 31, 2010","Apr '10 Apr 30, 2010","Jan '10 Jan 31, 2010","Oct '09 Oct 31, 2009","Jul '09 Jul 31, 2009","Apr '09 Apr 30, 2009","Jan '09 Jan 31, 2009","Oct '08 Oct 31, 2008","Jul '08 Jul 31, 2008","Apr '08 Apr 30, 2008","Jan '08 Jan 31, 2008","Oct '07 Oct 31, 2007","Jul '07 Jul 31, 2007",,
Operating Revenue,"20,852","28,872","12,956",-,-,-,-,-,-,-,"10,242","5,971",-,-,-,"6,766","19,867",-,Financials in USD,Fiscal year is July - June
Other Revenue,"5,255","5,612","5,646","9,375","6,533","5,178","16,573","9,011","29,274","5,320",-,-,"8,783","6,624","23,568",-,"-4,192","4,192",Financials in USD,Fiscal year is July - June
Revenue,"26,107","34,484","18,602","9,375","6,533","5,178","16,573","9,011","29,274","5,320","10,242","5,971","8,783","6,624","23,568","6,766","15,675","4,192",Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),299.617%,565.971%,12.243%,4.040%,-77.683%,-2.669%,61.814%,50.913%,233.303%,-19.686%,-56.543%,-11.750%,-43.968%,58.015%,-,-,-,-,Financials in USD,Fiscal year is July - June
Cost of Revenue,"17,958","75,023","41,368",569,"-29,891","30,541","36,632","29,695","30,074","31,202","37,362","39,013","177,474","28,309","49,726","-312,439","1,226,225","267,908",Financials in USD,Fiscal year is July - June
Gross Profit,"8,149","-40,539","-22,766","8,806","36,424","-25,363","-20,059","-20,684",-800,"-25,882","-27,120","-33,042","-168,691","-21,685","-26,158","319,205","-1,210,550","-263,716",Financials in USD,Fiscal year is July - June
"Selling, General & Admin","50,115","84,128","24,700","53,167","91,108","18,567","84,566","17,850","26,576","18,144","14,962","18,747","16,934","26,183","40,651","7,210","58,789","119,390",Financials in USD,Fiscal year is July - June
Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,781",-,-,-,Financials in USD,Fiscal year is July - June
Operating Expenses,"252,661","283,730","241,984","266,784","296,704","220,129","905,270","17,850","26,576","18,144","16,020","18,747","16,934","26,183","44,448","7,210","58,789","119,390",Financials in USD,Fiscal year is July - June
Operating Income,"-244,512","-324,269","-264,750","-257,978","-260,280","-245,492","-925,329","-38,534","-27,376","-44,026","-43,140","-51,789","-185,625","-47,868","-70,606","311,995","-1,269,339","-383,106",Financials in USD,Fiscal year is July - June
Pretax Income,"-244,512","-324,269","-264,750","-257,978","-260,280","-245,492","-925,329","-38,534","-27,376","-44,026","-43,140","-51,789","-185,625","-47,868","-70,606","311,995","-1,269,339","-383,106",Financials in USD,Fiscal year is July - June
Net Income,"-244,512","-324,269","-264,750","-257,978","-260,280","-245,492","-925,329","-38,534","-27,376","-44,026","-43,140","-51,789","-185,625","-47,868","-70,606","311,995","-1,269,339","-383,106",Financials in USD,Fiscal year is July - June
Net Income to Common,"-244,512","-324,269","-264,750","-257,978","-260,280","-245,492","-925,329","-38,534","-27,376","-44,026","-43,140","-51,789","-185,625","-47,868","-70,606","311,995","-1,269,339","-383,106",Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"70,333,831","63,894,499","55,018,021","40,242,588","34,660,725","59,876,097","2,984,194","2,984,194","2,984,194","2,013,606","1,484,194","2,109,194","1,546,694","796,694","1,396,694","596,694","396,694","796,694",Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"70,333,831","63,894,499","55,018,021","40,242,588","34,660,725","59,876,097","2,984,194","2,984,194","2,984,194","2,013,606","1,484,194","2,109,194","1,546,694","796,694","1,396,694","596,694","396,694","796,694",Financials in USD,Fiscal year is July - June
Shares Change (YoY),102.921%,6.711%,1743.648%,1248.525%,1061.477%,2873.576%,101.065%,41.485%,92.940%,152.745%,6.265%,253.480%,289.896%,-,-,-,-,-,Financials in USD,Fiscal year is July - June
EPS (Basic),-0.003,-0.005,-0.005,-0.006,-0.008,-0.004,-0.310,-0.013,-0.009,-0.022,-0.029,-0.025,-0.120,-0.060,-0.051,0.523,-3.200,-0.481,Financials in USD,Fiscal year is July - June
EPS (Diluted),-0.003,-0.005,-0.005,-0.006,-0.008,-0.004,-0.310,-0.013,-0.009,-0.022,-0.029,-0.025,-0.120,-0.060,-0.051,0.523,-3.200,-0.481,Financials in USD,Fiscal year is July - June
Free Cash Flow,"-1,898","204,510","-239,182",-,"-220,697","-9,710","231,764","-11,511","-23,674","-35,233","-6,031","25,289","-146,977","-22,367","-5,529","-8,344",-,-,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,-0.000,0.003,-0.004,-,-0.006,-0.000,0.078,-0.004,-0.008,-0.017,-0.004,0.012,-0.095,-0.028,-0.004,-0.014,-,-,Financials in USD,Fiscal year is July - June
Gross Margin,31.214%,-117.559%,-122.385%,93.931%,557.539%,-,-121.034%,-229.542%,-2.733%,-,-264.792%,-,-,-,-110.989%,4717.780%,-,-,Financials in USD,Fiscal year is July - June
Operating Margin,-936.576%,-940.346%,-1423.234%,-2751.765%,-3984.081%,-4741.058%,-5583.352%,-427.633%,-93.516%,-827.556%,-421.207%,-867.342%,-2113.458%,-722.645%,-299.584%,4611.218%,-8097.856%,-9138.979%,Financials in USD,Fiscal year is July - June
Profit Margin,-936.576%,-940.346%,-1423.234%,-2751.765%,-3984.081%,-4741.058%,-5583.352%,-427.633%,-93.516%,-827.556%,-421.207%,-867.342%,-2113.458%,-722.645%,-299.584%,4611.218%,-8097.856%,-9138.979%,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,-7.270%,593.058%,-1285.786%,-,-3378.188%,-187.524%,1398.443%,-127.744%,-80.870%,-662.274%,-58.885%,423.530%,-1673.426%,-337.666%,-23.460%,-123.322%,-,-,Financials in USD,Fiscal year is July - June
EBITDA,"-41,966","-115,826","-47,466","-52,802","-58,718","-43,930","-720,153","-38,269","-27,111","-43,761","-42,875","-51,535","-185,371","-47,614","-70,352","312,175","-1,269,159","-382,926",Financials in USD,Fiscal year is July - June
EBITDA Margin,-160.746%,-,-255.166%,-,-,-,-,-,-92.611%,-,-,-,-,-,-298.506%,4613.878%,-,-,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"202,546","208,443","217,284","205,176","201,562","201,562","205,176",265,265,265,265,254,254,254,254,180,180,180,Financials in USD,Fiscal year is July - June
EBIT,"-244,512","-324,269","-264,750","-257,978","-260,280","-245,492","-925,329","-38,534","-27,376","-44,026","-43,140","-51,789","-185,625","-47,868","-70,606","311,995","-1,269,339","-383,106",Financials in USD,Fiscal year is July - June
EBIT Margin,-,-,-,-,-,-,-,-,-93.516%,-,-,-,-,-,-299.584%,4611.218%,-,-,Financials in USD,Fiscal year is July - June
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,568",-,-,"4,192",Financials in USD,Fiscal year is July - June
