Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",,
Revenue,"5,000","5,000","5,000","4,000","5,000","5,000","3,755,000","5,000","591,000","5,000","431,000","478,000","495,000","108,000","978,000","1,561,000","314,000","1,425,000","8,154,000","423,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0%,0%,-99.867%,-20.000%,-99.154%,0%,771.230%,-98.954%,19.394%,-95.370%,-55.930%,-69.379%,57.643%,-92.421%,-88.006%,269.031%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"660,000","536,000","993,000","1,089,000","907,000","1,093,000","1,932,000","1,607,000","2,338,000","2,376,000","2,373,000","2,047,000","1,859,000","1,526,000","1,649,000","2,319,000","858,000","1,573,000","1,395,000","1,173,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-655,000","-531,000","-988,000","-1,085,000","-902,000","-1,088,000","1,823,000","-1,602,000","-1,747,000","-2,371,000","-1,942,000","-1,569,000","-1,364,000","-1,418,000","-671,000","-758,000","-544,000","-148,000","6,759,000","-750,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,870,000","1,557,000","2,486,000","1,883,000","2,696,000","2,306,000","2,506,000","1,532,000","2,110,000","1,822,000","2,331,000","1,939,000","1,982,000","1,588,000","1,183,000","1,771,000","1,202,000","1,551,000","1,854,000","602,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"2,870,000","1,557,000","2,486,000","1,883,000","2,696,000","2,306,000","2,506,000","1,532,000","2,110,000","1,822,000","2,331,000","1,939,000","1,982,000","1,588,000","1,183,000","1,771,000","1,202,000","1,551,000","1,854,000","602,000",Financials in USD,Fiscal year is January - December
Operating Income,"-3,525,000","-2,088,000","-3,474,000","-2,968,000","-3,598,000","-3,394,000","-683,000","-3,134,000","-3,857,000","-4,193,000","-4,273,000","-3,508,000","-3,346,000","-3,006,000","-1,854,000","-2,529,000","-1,746,000","-1,699,000","4,905,000","-1,352,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-1,000",-,-,"-1,000",-,"-1,000","-1,000","-2,000","-2,000","-5,000","-11,000","-25,000","-28,000",-,-,-,-,-,"-2,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,"1,000",-,-,-,-,-,-,-,-,-,-,-,"6,000","18,000","17,000","1,000",-,Financials in USD,Fiscal year is January - December
