Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+11 Quarters,,
Revenue,"286,865,000","280,147,000","275,806,000","278,231,000","275,398,000","252,388,000","248,536,000","259,270,000","261,194,000","254,311,000","242,600,000","243,581,000","233,677,000","221,872,000","194,431,000","177,226,633","157,103,841","119,639,924","102,602,602","75,801,758",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),4.164%,10.999%,10.972%,7.313%,5.438%,-0.756%,2.447%,6.441%,11.776%,14.621%,24.774%,37.440%,48.740%,85.450%,89.499%,133.803%,131.066%,167.491%,267.578%,264.933%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"139,274,000","129,627,000","130,877,000","135,543,000","141,592,000","127,108,000","123,815,000","135,285,000","129,954,000","128,513,000","119,660,000","114,946,000","104,159,000","98,961,000","83,566,000","76,696,126","70,146,676","55,946,010","49,615,188","35,205,164",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"147,591,000","150,520,000","144,929,000","142,688,000","133,806,000","125,280,000","124,721,000","123,985,000","131,240,000","125,798,000","122,940,000","128,635,000","129,518,000","122,911,000","110,865,000","100,530,507","86,957,165","63,693,914","52,987,414","40,596,594",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","104,967,000","96,500,000","74,258,000","86,881,000","84,779,000","84,217,000","80,519,000","78,575,000","82,479,000","63,535,000","68,388,000","67,471,000","71,449,000","72,056,000","59,331,000","53,238,053","49,745,979","49,643,211","45,434,757","45,895,624",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"104,967,000","96,500,000","74,258,000","86,881,000","84,779,000","84,217,000","80,519,000","78,575,000","82,479,000","63,535,000","68,388,000","67,471,000","71,449,000","72,056,000","59,331,000","53,238,053","49,745,979","49,643,211","45,434,757","45,895,624",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"42,624,000","54,020,000","70,671,000","55,807,000","49,027,000","41,063,000","44,202,000","45,410,000","48,761,000","62,263,000","54,552,000","61,164,000","58,069,000","50,855,000","51,534,000","47,292,454","37,211,186","14,050,703","7,552,657","-5,299,030",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,296,000","-5,981,000","-7,514,000","-7,749,000","-4,639,000","-2,869,000","-3,816,000","-5,088,000","-4,644,000","-5,399,000","-6,070,000","-5,557,000","-7,616,000","-4,680,000","-4,123,000","-4,430,525","-4,460,125","-4,734,908","-5,041,442","-1,896,682",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,665,000","2,314,000","2,103,000","1,859,000","1,576,000","1,531,000","1,731,000","1,461,000","1,085,000","624,000","900,000","336,000","328,000","296,000","50,000","4,078","5,397","16,410","88,115","165,472",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-1,084,000","-772,000","-328,000","-214,000","-202,000","-432,000","-318,000","-1,877,000","-441,000","-738,000","-1,203,000","469,000","-316,000","1,023,000","623,000","920,000","850,000","300,000","250,000","450,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"861,000","3,708,000","-2,073,000","159,000","-1,153,000","817,000","1,721,000","509,000","-1,891,000","14,339,000","-7,268,000","9,815,000","12,516,000","-2,599,000","-5,752,000","-22,388,899","-2,144,321","-6,021,845","7,391,064","4,440,887",Upgrade,Financials in USD,Fiscal year is January - December
