Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"61,274",-,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"3,263,000","4,873,000","5,938,000","3,585,000","2,734,000","1,566,000","933,000","1,019,000","898,000","654,929","702,559","809,986","464,713","350,024","443,784","263,531","129,553","100,986","399,580",Financials in CAD,Fiscal year is January - December
Gross Profit,"-3,263,000","-4,873,000","-5,938,000","-3,585,000","-2,734,000","-1,566,000","-933,000","-1,019,000","-898,000","-654,929","-702,559","-809,986","-464,713","-350,024","-443,784","-263,531","-129,553","-39,712","-399,580",Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","1,799,000","1,806,000","2,317,000","2,663,000","1,754,000","1,495,000","733,000","1,254,000","941,000","1,019,411","823,117","-258,646","932,109","560,133","459,944","353,244","194,902","217,371","276,700",Financials in CAD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,"-16,000",-,-,"16,431","5,087","32,679","-28,358","-51,816","-91,777","-48,288","-41,242","-89,267",Financials in CAD,Fiscal year is January - December
Operating Expenses,"1,799,000","1,806,000","2,317,000","2,663,000","1,754,000","1,495,000","733,000","1,238,000","941,000","1,546,546","1,408,131","780,039","1,036,872","547,306","423,659","270,831","164,871","191,681","233,288",Financials in CAD,Fiscal year is January - December
Operating Income,"-5,062,000","-6,679,000","-8,255,000","-6,248,000","-4,488,000","-3,061,000","-1,666,000","-2,257,000","-1,839,000","-2,201,475","-2,110,690","-1,590,025","-1,501,585","-897,330","-867,443","-534,362","-294,424","-231,393","-632,868",Financials in CAD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-56,000","-112,000","-8,000",-,-,-,-,-,"-9,094","-20,767","-21,274","-5,470",-,-,-,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"314,000","358,000","442,000","534,000","542,000","250,000","7,000","56,000","2,000","2,066","3,033","4,757","3,229",-,-,844,126,"2,298","1,703",Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-339,000","286,000","905,000","-819,000","850,000","-1,191,000","2,000","17,000","-62,000","-27,534","2,837","14,761","-36,579","11,352","16,355","-3,260",-,"2,869","-6,661",Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"-1,000","-1,000","-2,000","4,000","-1,000","-1,000","3,000",-,"-9,379","-10,981","-956,906","-9,711,814","46,150","10,562","114,348","-14,324","-1,067",-562,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,087,000","-6,036,000","-6,909,000","-6,535,000","-3,148,000","-4,115,000","-1,666,000","-2,181,000","-1,899,000","-2,236,322","-2,115,801","-2,527,413","-11,255,843","-860,595","-861,800","-427,900","-308,622","-227,293","-638,388",Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-43,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Asset Writedown,"-3,918,000",-,-,-,-,-,-,"-2,885,000",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-426,000",-,-,-,-,-,-,-,-,-,-,-,"23,673",-,-,Financials in CAD,Fiscal year is January - December
Pretax Income,"-9,048,000","-6,036,000","-6,909,000","-6,535,000","-3,574,000","-4,115,000","-1,666,000","-5,066,000","-1,899,000","-2,236,322","-2,115,801","-2,527,413","-11,255,843","-860,595","-861,800","-427,900","-284,949","-227,293","-638,388",Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"5,000",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Net Income,"-9,048,000","-6,036,000","-6,909,000","-6,535,000","-3,574,000","-4,115,000","-1,666,000","-5,071,000","-1,899,000","-2,236,322","-2,115,801","-2,527,413","-11,255,843","-860,595","-861,800","-427,900","-284,949","-227,293","-638,388",Financials in CAD,Fiscal year is January - December
Net Income to Common,"-9,048,000","-6,036,000","-6,909,000","-6,535,000","-3,574,000","-4,115,000","-1,666,000","-5,071,000","-1,899,000","-2,236,322","-2,115,801","-2,527,413","-11,255,843","-860,595","-861,800","-427,900","-284,949","-227,293","-638,388",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"113,027,202","112,796,646","112,791,658","112,792,048","112,791,658","78,176,104","41,859,628","41,797,452","34,898,000","32,997,613","32,997,613","33,227,057","26,247,932","18,518,099","18,334,587","18,076,537","17,886,170","11,761,334","11,526,894",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"113,027,202","112,796,646","112,791,658","112,792,048","112,791,658","78,176,104","41,859,628","41,797,452","34,898,000","32,997,613","32,997,613","33,227,057","26,247,932","18,518,099","18,334,587","18,076,537","17,886,170","11,761,334","11,526,894",Financials in CAD,Fiscal year is January - December
Shares Change (YoY),0.209%,44.285%,169.452%,169.854%,223.204%,136.914%,26.857%,25.793%,32.955%,78.191%,79.975%,83.813%,46.750%,57.449%,59.059%,-,-,-,-,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.080,-0.054,-0.061,-0.058,-0.032,-0.053,-0.040,-0.121,-0.054,-0.068,-0.064,-0.076,-0.429,-0.046,-0.047,-0.024,-0.016,-0.019,-0.055,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.080,-0.054,-0.061,-0.058,-0.032,-0.053,-0.040,-0.121,-0.054,-0.068,-0.064,-0.076,-0.429,-0.046,-0.047,-0.024,-0.020,-0.019,-0.060,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-4,377,000","-5,663,000","-7,133,000","-5,437,000","-4,009,000","-3,883,000","-1,190,000","-1,123,000","-1,579,760","-849,157","-2,094,083","-1,266,993","-2,983,192","-509,184","-281,589","-904,168","-212,631","113,292","-656,474",Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.039,-0.050,-0.063,-0.048,-0.036,-0.050,-0.028,-0.027,-0.045,-0.026,-0.063,-0.038,-0.114,-0.027,-0.015,-0.050,-0.012,0.010,-0.057,Financials in CAD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-64.811%,-,Financials in CAD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-377.637%,-,Financials in CAD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-370.945%,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184.894%,-,Financials in CAD,Fiscal year is January - December
