Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Other Revenue,"6,088,418","5,418,247","4,067,936","5,732,620","3,651,653","2,807,272","1,864,715","1,331,748","1,579,180","1,209,632",Financials in AUD,Fiscal year is July - June
Revenue,"6,088,418","5,418,247","4,067,936","5,732,620","3,651,653","2,807,272","1,864,715","1,331,748","1,579,180","1,209,632",Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),49.668%,-5.484%,11.400%,104.206%,95.829%,110.796%,18.081%,10.095%,-,-,Financials in AUD,Fiscal year is July - June
Gross Profit,"6,088,418","5,418,247","4,067,936","5,732,620","3,651,653","2,807,272","1,864,715","1,331,748","1,579,180","1,209,632",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","6,614,317","3,910,302","1,931,967","2,773,450","2,193,511","2,413,570","2,182,164","1,652,109","149,382","2,670,869",Financials in AUD,Fiscal year is July - June
Research & Development,"26,077,080","19,705,623","16,665,546","14,793,099","11,557,069","7,342,263","5,065,910","4,609,576","5,140,872","1,884,979",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,-,-,-,-,-,-,-,-,"-5,343","5,343",Financials in AUD,Fiscal year is July - June
Operating Expenses,"32,691,397","23,615,925","18,597,513","17,566,549","13,750,580","9,755,833","7,248,074","6,261,685","5,275,737","4,570,365",Financials in AUD,Fiscal year is July - June
Operating Income,"-26,602,979","-18,197,678","-14,529,577","-11,833,929","-10,098,927","-6,948,561","-5,383,359","-4,929,937","-3,696,557","-3,360,733",Financials in AUD,Fiscal year is July - June
Interest Expense,-,-,-,-,-,-,-,-48,"-10,898",-,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"1,671,662","1,099,718","1,215,089","649,171","68,910","26,183","17,425","24,551",-,"64,325",Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),-,-,-,-,-,-,"-50,000","50,000",-,-,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-24,931,317","-17,097,960","-13,314,488","-11,184,758","-10,030,017","-6,922,378","-5,415,934","-4,855,434","-3,707,455","-3,296,408",Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,"-6,784,556","50,000",-,"50,000",-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-24,931,317","-17,097,960","-13,314,488","-11,184,758","-10,030,017","-13,706,934","-5,365,934","-4,855,434","-3,657,455","-3,296,408",Financials in AUD,Fiscal year is July - June
Income Tax Expense,"190,393","104,758","45,303","57,897","12,167","5,465",-,-,-,-,Financials in AUD,Fiscal year is July - June
Net Income,"-25,121,710","-17,202,718","-13,359,791","-11,242,655","-10,042,184","-13,712,399","-5,365,934","-4,855,434","-3,657,455","-3,296,408",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-25,121,710","-17,202,718","-13,359,791","-11,242,655","-10,042,184","-13,712,399","-5,365,934","-4,855,434","-3,657,455","-3,296,408",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"284,376,539","261,939,839","260,190,746","259,017,482","256,882,724","238,508,914","201,468,240","151,439,004",-,-,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"284,376,539","261,939,839","260,190,746","259,017,482","256,882,724","238,508,914","201,468,240","151,439,004",-,-,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),9.295%,1.128%,1.288%,8.599%,27.505%,57.495%,-,-,-,-,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.088,-0.066,-0.051,-0.043,-0.039,-0.057,-0.027,-0.032,-,-,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.088,-0.066,-0.052,-0.043,-0.040,-0.057,-0.027,-0.032,-,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-16,599,903","-27,141,205","-10,990,809","-16,555,710","-4,781,613","-8,745,453","-3,732,071","-4,005,315","-3,126,060","-3,718,733",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.058,-0.104,-0.042,-0.064,-0.019,-0.037,-0.019,-0.026,-,-,Financials in AUD,Fiscal year is July - June
Operating Margin,-436.944%,-335.859%,-357.173%,-206.431%,-276.558%,-247.520%,-288.696%,-370.185%,-234.081%,-277.831%,Financials in AUD,Fiscal year is July - June
Profit Margin,-412.615%,-317.496%,-328.417%,-196.117%,-275.004%,-488.460%,-287.762%,-364.591%,-231.605%,-272.513%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-272.647%,-500.922%,-270.181%,-288.798%,-130.944%,-311.529%,-200.142%,-300.756%,-197.955%,-307.427%,Financials in AUD,Fiscal year is July - June
EBITDA,"-26,501,071","-18,146,519","-14,476,544","-11,786,449","-10,065,188","-6,936,051","-5,374,471","-4,923,200","-3,688,732","-3,351,559",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"101,908","51,159","53,033","47,480","33,739","12,510","8,888","6,737","7,825","9,174",Financials in AUD,Fiscal year is July - June
EBIT,"-26,602,979","-18,197,678","-14,529,577","-11,833,929","-10,098,927","-6,948,561","-5,383,359","-4,929,937","-3,696,557","-3,360,733",Financials in AUD,Fiscal year is July - June
Revenue as Reported,"7,760,080","6,517,965","5,283,025","6,381,791","3,720,563","2,833,455","1,882,092","1,406,299","1,624,271","1,273,957",Financials in AUD,Fiscal year is July - June
