Fiscal Quarter,Q4 2008,Q3 2008,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Q4 2006,Q3 2006,Q2 2006,Q1 2006,Q4 2005,Q3 2005,Q2 2005,Q1 2005,Q4 2004,Q3 2004,Q2 2004,Q1 2004,+12 Quarters,Currency,Fiscal_Year_period
Period Ending,"Dec '08 Dec 31, 2008","Sep '08 Sep 30, 2008","Jun '08 Jun 30, 2008","Mar '08 Mar 31, 2008","Dec '07 Dec 31, 2007","Sep '07 Sep 30, 2007","Jun '07 Jun 30, 2007","Mar '07 Mar 31, 2007","Dec '06 Dec 31, 2006","Sep '06 Sep 30, 2006","Jun '06 Jun 30, 2006","Mar '06 Mar 31, 2006","Dec '05 Dec 31, 2005","Sep '05 Sep 30, 2005","Jun '05 Jun 30, 2005","Mar '05 Mar 31, 2005","Dec '04 Dec 31, 2004","Sep '04 Sep 30, 2004","Jun '04 Jun 30, 2004","Mar '04 Mar 31, 2004",+12 Quarters,,
Revenue,"824,000","339,000","854,000","667,000","667,000","667,000","667,000","667,000","666,000","12,000","246,000","857,000","858,000","857,000","857,000","857,000","857,143","857,143",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),23.538%,-49.175%,28.036%,0%,0.150%,5458.333%,171.138%,-22.170%,-22.378%,-98.600%,-71.295%,0%,0.100%,-0.017%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,241,000","6,659,000","8,121,000","9,896,000","9,269,000","10,866,000","9,966,000","9,125,000","18,112,000","9,151,000","11,503,000","10,873,000","10,398,000","8,856,000","9,009,000","7,678,000","8,395,304","5,784,879","6,192,615","5,602,803",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-6,417,000","-6,320,000","-7,267,000","-9,229,000","-8,602,000","-10,199,000","-9,299,000","-8,458,000","-17,446,000","-9,139,000","-11,257,000","-10,016,000","-9,540,000","-7,999,000","-8,152,000","-6,821,000","-7,538,161","-4,927,736","-6,192,615","-5,602,803",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,109,000","3,616,000","3,497,000","4,016,000","3,885,000","3,954,000","4,245,000","4,083,000","3,549,000","3,785,000","3,040,000","2,554,000","1,838,000","1,747,000","2,114,000","1,747,000","1,703,493","1,513,384","1,544,933","1,404,112",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,109,000","3,616,000","3,497,000","4,016,000","3,885,000","3,954,000","4,245,000","4,083,000","3,549,000","3,785,000","3,040,000","2,554,000","1,838,000","1,747,000","2,114,000","1,747,000","1,703,493","1,513,384","1,544,933","1,404,112",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,526,000","-9,936,000","-10,764,000","-13,245,000","-12,487,000","-14,153,000","-13,544,000","-12,541,000","-20,995,000","-12,924,000","-14,297,000","-12,570,000","-11,378,000","-9,746,000","-10,266,000","-8,568,000","-9,241,654","-6,441,120","-7,737,548","-7,006,915",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-15,219,000","-332,000","-372,000","-421,000","-465,000","-490,000","-564,000","-535,000","-560,000","-578,000","-655,000","-480,000",-,"-404,000","-341,000","-141,000","-31,978","-26,187","-49,691","-25,420",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"45,000","82,000","184,000","402,000","629,000","561,000","721,000","604,000","703,000","757,000","476,000","890,000","459,000","529,000","302,000","207,540","148,673","93,761","107,773",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-9,000","55,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-30,544",-6,"74,268",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-23,754,000","-10,168,000","-11,054,000","-13,482,000","-12,550,000","-14,014,000","-13,547,000","-12,355,000","-20,951,000","-12,799,000","-14,195,000","-12,574,000","-10,488,000","-9,691,000","-10,078,000","-8,407,000","-9,096,636","-6,318,640","-7,619,210","-6,924,562",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-9,161,000",-,-,-,-,-,-,-,"8,645,000",-,"-10,137,000",-,-,-,"-6,218,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"-115,000",-,-,"-11,000","13,000","-1,105,000","-160,000","289,000","57,000","1,455,000","-879,000","-1,111,000","-20,000","953,000","434,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-32,915,000","-10,283,000","-11,054,000","-13,482,000","-12,561,000","-14,001,000","-14,652,000","-12,515,000","-12,017,000","-12,742,000","-22,877,000","-13,453,000","-11,599,000","-9,711,000","-15,343,000","-7,973,000","-9,096,636","-6,318,640","-7,619,210","-6,924,562",Upgrade,Financials in USD,Fiscal year is January - December
