Fiscal Year,TTM,FY 2012,FY 2011,FY 2010,FY 2009,FY 2008,2007 - 2006,Currency,Fiscal_Year_period
Period Ending,"May '12 May 31, 2012","May '12 May 31, 2012","May '11 May 31, 2011","May '10 May 31, 2010","May '09 May 31, 2009","May '08 May 31, 2008",2007 - 2006,,
Revenue,-,-,-,-,543,"2,925",Upgrade,Financials in USD,Fiscal year is June - May
Revenue Growth (YoY),-,-,-,-,-81.436%,2337.500%,Upgrade,Financials in USD,Fiscal year is June - May
Gross Profit,-,-,-,-,543,"2,925",Upgrade,Financials in USD,Fiscal year is June - May
"Selling, General & Admin","90,743","90,743","109,639","164,116","77,157","62,993",Upgrade,Financials in USD,Fiscal year is June - May
Operating Expenses,"90,743","90,743","6,109,639","164,116","77,157","62,993",Upgrade,Financials in USD,Fiscal year is June - May
Operating Income,"-90,743","-90,743","-6,109,639","-164,116","-76,614","-60,068",Upgrade,Financials in USD,Fiscal year is June - May
Interest Expense,"-129,079","-129,079","-140,840","-126,383","-83,051","-29,302",Upgrade,Financials in USD,Fiscal year is June - May
Interest & Investment Income,"3,096","3,096","7,528",-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
Pretax Income,"-216,726","-216,726","-6,242,951","-290,499","-159,665","-89,370",Upgrade,Financials in USD,Fiscal year is June - May
Income Tax Expense,-,-,-,-,350,270,Upgrade,Financials in USD,Fiscal year is June - May
Earnings From Continuing Operations,"-216,726","-216,726","-6,242,951","-290,499","-160,015","-89,640",Upgrade,Financials in USD,Fiscal year is June - May
Earnings From Discontinued Operations,-,-,-,"-1,643",-,-,Upgrade,Financials in USD,Fiscal year is June - May
Net Income,"-216,726","-216,726","-6,242,951","-292,142","-160,015","-89,640",Upgrade,Financials in USD,Fiscal year is June - May
Net Income to Common,"-216,726","-216,726","-6,242,951","-292,142","-160,015","-89,640",Upgrade,Financials in USD,Fiscal year is June - May
Shares Outstanding (Basic),"2,896,832,862","2,896,832,862","734,650,981","166,522,329","145,382,324","2,449,720",Upgrade,Financials in USD,Fiscal year is June - May
Shares Outstanding (Diluted),"2,896,832,862","2,896,832,862","734,650,981","166,522,329","145,382,324","2,449,720",Upgrade,Financials in USD,Fiscal year is June - May
Shares Change (YoY),294.314%,294.314%,341.173%,14.541%,5834.651%,81.528%,Upgrade,Financials in USD,Fiscal year is June - May
EPS (Basic),-0.000,-0.000,-0.008,-0.002,-0.001,-0.037,Upgrade,Financials in USD,Fiscal year is June - May
EPS (Diluted),-0.000,-0.000,-0.008,-0.002,-0.001,-0.037,Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow,"-70,602","-70,602","-96,316","-295,303","212,904",455,Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.002,0.001,0.000,Upgrade,Financials in USD,Fiscal year is June - May
Gross Margin,-,-,-,-,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is June - May
Operating Margin,-,-,-,-,-14109.392%,-2053.607%,Upgrade,Financials in USD,Fiscal year is June - May
Profit Margin,-,-,-,-,-29468.692%,-3064.615%,Upgrade,Financials in USD,Fiscal year is June - May
Free Cash Flow Margin,-,-,-,-,39208.840%,15.556%,Upgrade,Financials in USD,Fiscal year is June - May
EBIT,"-90,743","-90,743","-6,109,639","-164,116","-76,614","-60,068",Upgrade,Financials in USD,Fiscal year is June - May
Advertising Expenses,-,-,195,-,-,-,Upgrade,Financials in USD,Fiscal year is June - May
