Fiscal Quarter,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Currency,Fiscal_Year_period
Period Ending,"Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016",,
"Selling, General & Admin","5,021,000","2,943,000","3,946,000","4,296,000","5,138,000","5,176,000","3,997,000","4,726,000","4,924,000","3,862,000","2,686,000","1,871,000","1,581,000","2,549,000","1,994,000",Financials in USD,Fiscal year is January - December
Research & Development,"3,820,000","5,084,000","6,493,000","10,773,000","12,146,000","15,692,000","12,980,000","9,464,000","9,398,000","6,704,000","4,917,000","3,828,000","2,746,000","2,484,000","1,935,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,841,000","8,027,000","10,439,000","15,069,000","17,284,000","20,868,000","16,977,000","14,190,000","14,322,000","10,566,000","7,603,000","5,699,000","4,327,000","5,033,000","3,929,000",Financials in USD,Fiscal year is January - December
Operating Income,"-8,841,000","-8,027,000","-10,439,000","-15,069,000","-17,284,000","-20,868,000","-16,977,000","-14,190,000","-14,322,000","-10,566,000","-7,603,000","-5,699,000","-4,327,000","-5,033,000","-3,929,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-900,000","-800,000","-800,000",-,"-700,000",-,-,-,-,"-607,000","-127,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"351,000",-,-,-,"290,000",-,-,"213,000","346,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"263,000","257,000","434,000","200,000","1,429,000","1,374,000","2,509,000","-2,500,000","-1,065,000","-1,033,000","-889,000","217,000","106,000","92,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,390,000","-8,564,000","-10,982,000","-14,635,000","-17,494,000","-19,439,000","-15,603,000","-11,468,000","-16,476,000","-12,238,000","-8,763,000","-6,588,000","-4,110,000","-4,927,000","-3,837,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,003,000",-,"-800,000",-,-,-,-,-,-,-,-,"-1,700,000",-,-,-,Financials in USD,Fiscal year is January - December
