Fiscal Year,TTM,FY 2007,FY 2006,FY 2005,Currency,Fiscal_Year_period
Period Ending,"Jun '08 Jun 30, 2008","Dec '07 Dec 31, 2007","Dec '06 Dec 31, 2006","Dec '05 Dec 31, 2005",,
Revenue,"10,838,927","4,503,975","6,882,805","7,170,041",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),51.170%,-34.562%,-4.006%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,377,608","3,435,538","5,149,226","5,424,485",Financials in USD,Fiscal year is January - December
Gross Profit,"2,461,319","1,068,437","1,733,579","1,745,556",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,996,222","1,842,639","2,401,930","1,404,883",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,207,222","1,989,639","2,590,344","2,110,270",Financials in USD,Fiscal year is January - December
Operating Income,"-745,903","-921,202","-856,765","-364,714",Financials in USD,Fiscal year is January - December
Interest Expense,"-136,948","-68,151","-243,184","-171,749",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"21,604","6,365","9,485",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-861,247","-982,988","-1,090,464","-536,463",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-276,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-861,247","-982,988","-1,090,740","-536,463",Financials in USD,Fiscal year is January - December
Net Income,"-861,247","-982,988","-1,090,740","-536,463",Financials in USD,Fiscal year is January - December
Net Income to Common,"-861,247","-982,988","-1,090,740","-536,463",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"17,766,878","17,582,279","15,980,379",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"17,766,878","17,582,279","15,980,379",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,10.024%,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.048,-0.056,-0.068,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.048,-0.056,-0.068,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,"-273,578","-233,103",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-0.017,-,Financials in USD,Fiscal year is January - December
Gross Margin,22.708%,23.722%,25.187%,24.345%,Financials in USD,Fiscal year is January - December
Operating Margin,-6.882%,-20.453%,-12.448%,-5.087%,Financials in USD,Fiscal year is January - December
Profit Margin,-7.946%,-21.825%,-15.847%,-7.482%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-3.975%,-3.251%,Financials in USD,Fiscal year is January - December
EBITDA,"-493,677","-732,788","-668,351","-183,141",Financials in USD,Fiscal year is January - December
EBITDA Margin,-4.555%,-16.270%,-9.710%,-2.554%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"252,226","188,414","188,414","181,573",Financials in USD,Fiscal year is January - December
EBIT,"-745,903","-921,202","-856,765","-364,714",Financials in USD,Fiscal year is January - December
EBIT Margin,-6.882%,-20.453%,-12.448%,-5.087%,Financials in USD,Fiscal year is January - December
