Fiscal Quarter,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,Currency,Fiscal_Year_period
Period Ending,"Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021",,
Revenue,"326,027","257,310","34,795","11,900","7,497","16,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),836.994%,2062.269%,364.119%,-25.625%,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"230,351","173,854","62,248","13,930",455,-,Financials in USD,Fiscal year is January - December
Gross Profit,"95,676","83,456","-27,453","-2,030","7,042","16,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","302,574","350,113","310,438","195,691","126,339","78,085",Financials in USD,Fiscal year is January - December
Operating Expenses,"302,574","350,113","310,438","195,691","126,339","78,085",Financials in USD,Fiscal year is January - December
Operating Income,"-206,898","-266,657","-337,891","-197,721","-119,297","-62,085",Financials in USD,Fiscal year is January - December
Interest Expense,"-8,575","-1,558","-14,409","-6,391",-393,-213,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),1,-1,"37,218","2,062","-5,020","5,020",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-215,472","-268,216","-315,082","-202,050","-124,710","-57,278",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-10,741",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-226,213","-268,216","-315,082","-202,050","-124,710","-57,278",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-226,213","-268,216","-315,082","-202,050","-124,710","-57,278",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"98,962","84,304","94,973","13,935",-,-,Financials in USD,Fiscal year is January - December
Net Income,"-127,251","-183,912","-220,109","-188,115","-124,710","-57,278",Financials in USD,Fiscal year is January - December
Net Income to Common,"-127,251","-183,912","-220,109","-188,115","-124,710","-57,278",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,566,835","22,300,225","17,839,049","10,028,011","16,970,000","16,970,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,566,835","22,300,225","17,839,049","16,970,000","16,970,000","16,970,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-68.794%,31.410%,5.121%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.023,-0.008,-0.012,-0.019,-0.007,-0.003,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.023,-0.008,-0.012,-0.019,-0.007,-0.003,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-147,579","-257,768","-281,705","-156,653","-1,045,079","164,083",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.027,-0.012,-0.016,-0.009,-0.062,0.010,Financials in USD,Fiscal year is January - December
Operating Margin,-63.460%,-103.633%,-971.091%,-1661.521%,-1591.263%,-388.031%,Financials in USD,Fiscal year is January - December
Profit Margin,-39.031%,-71.475%,-632.588%,-1580.798%,-1663.465%,-357.988%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-45.266%,-100.178%,-809.613%,-1316.412%,-13939.963%,1025.519%,Financials in USD,Fiscal year is January - December
EBITDA,"-168,351","-233,477","-308,463","-168,688","-95,165","-45,212",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"38,547","33,180","29,428","29,033","24,132","16,873",Financials in USD,Fiscal year is January - December
EBIT,"-206,898","-266,657","-337,891","-197,721","-119,297","-62,085",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,"6,445",-,976,Financials in USD,Fiscal year is January - December
