Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017,,
Revenue,"19,000","3,769,000","1,032,000","2,059,000","11,454,000","1,777,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-99.496%,265.213%,-49.879%,-82.024%,544.569%,-81.582%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,278,000","5,021,000","8,693,000","7,081,000","6,145,000","4,234,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-3,259,000","-1,252,000","-7,661,000","-5,022,000","5,309,000","-2,457,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,796,000","9,391,000","7,796,000","6,692,000","6,378,000","3,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,796,000","9,391,000","7,796,000","6,692,000","6,378,000","3,184,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,055,000","-10,643,000","-15,457,000","-11,714,000","-1,069,000","-5,641,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,"-1,000","-10,000","-64,000",-,"-42,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"42,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-5,000",-,-,"105,000",-,"-47,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-12,060,000","-10,644,000","-15,467,000","-11,673,000","-1,027,000","-5,730,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"458,000",-,"276,000","-432,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-12,383,000","-10,644,000","-15,009,000","-18,817,000","-3,001,000","-6,162,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-12,383,000","-10,644,000","-15,009,000","-18,817,000","-3,001,000","-6,163,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"6,000","23,000","59,000","48,000","35,000","38,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-12,377,000","-10,621,000","-14,950,000","-18,769,000","-2,966,000","-6,125,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"488,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-12,377,000","-11,109,000","-14,950,000","-18,769,000","-2,966,000","-6,125,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,274,674","3,211,139","1,918,176","450,919","166,614","113,858",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,274,674","3,211,139","1,918,176","450,919","166,614","113,858",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),59.748%,67.406%,325.393%,170.637%,46.335%,-57.527%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.895,-3.460,-7.794,-41.624,-17.802,-53.795,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.895,-3.460,-7.794,-41.624,-17.802,-54.000,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,075,000","-9,899,000","-14,773,000","-12,103,000","-1,443,000","-6,742,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.357,-3.083,-7.702,-26.841,-8.661,-59.214,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-33.218%,-,-243.905%,46.351%,-138.267%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-63447.368%,-282.383%,-1497.771%,-568.917%,-9.333%,-317.445%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-65142.105%,-294.747%,-1448.643%,-911.559%,-25.895%,-344.682%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-53026.316%,-262.643%,-1431.492%,-587.810%,-12.598%,-379.403%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-11,917,000","-10,503,000","-15,360,000","-11,616,000","-924,000","-5,491,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-278.668%,-,-,-8.067%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"138,000","140,000","97,000","98,000","145,000","150,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-12,055,000","-10,643,000","-15,457,000","-11,714,000","-1,069,000","-5,641,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-282.382%,-,-,-9.333%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"19,000","3,769,000","1,032,000","2,059,000","11,454,000","1,777,000",Upgrade,Financials in USD,Fiscal year is January - December
