Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"21,083,000","21,694,000","23,065,000","21,744,000","11,610,000","20,173,000",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),-8.087%,-5.944%,6.075%,87.287%,-42.448%,-30.698%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"9,070,000","7,705,000","6,990,000","9,032,000","6,480,000","7,272,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"12,013,000","13,989,000","16,075,000","12,712,000","5,130,000","12,901,000",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","12,805,000","12,437,000","11,910,000","13,106,000","10,377,000","16,794,000",Upgrade,Financials in CAD,Fiscal year is January - December
Research & Development,"3,042,000","2,406,000","2,754,000","1,796,000","3,299,000","4,349,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"15,847,000","14,843,000","14,882,000","15,207,000","13,676,000","21,143,000",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-3,834,000","-854,000","1,193,000","-2,495,000","-8,546,000","-8,242,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-31,000","-47,000","-26,000","-67,000","-70,000","-46,000",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,"180,000","75,000","10,000","78,000","43,000","886,000",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-115,000","-108,000","52,000","31,000","497,000","-2,570,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,000","37,000","-190,000","-358,000","798,000","-3,348,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,799,000","-897,000","1,039,000","-2,811,000","-7,278,000","-13,320,000",Upgrade,Financials in CAD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-421,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,"-6,321,000",Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,"346,000","2,052,000","854,000",-,Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-1,939,000","-897,000","1,385,000","-759,000","-6,845,000","-19,641,000",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,"95,000","25,000","20,000","-32,000",-,"145,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,034,000","-922,000","1,365,000","-727,000","-6,845,000","-19,786,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-2,034,000","-922,000","1,365,000","-727,000","-6,845,000","-19,786,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-2,034,000","-922,000","1,365,000","-727,000","-6,845,000","-19,786,000",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"10,436,313","10,436,313","10,251,313","10,251,313","10,695,312","14,998,540",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,436,313","10,436,313","10,436,313","10,251,313","10,695,312","14,998,540",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),-8.454%,-,1.805%,-4.151%,-28.691%,-9.449%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.195,-0.088,0.133,-0.071,-0.640,-1.319,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.196,-0.090,0.131,-0.071,-0.640,-1.320,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-5,000","2,079,000","1,814,000","3,612,000","-2,242,000","-14,827,000",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,0.199,0.174,0.352,-0.210,-0.989,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,56.980%,64.483%,69.694%,58.462%,44.186%,63.952%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-18.185%,-3.937%,5.172%,-11.474%,-73.609%,-40.857%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-9.648%,-4.250%,5.918%,-3.343%,-58.958%,-98.082%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-0.024%,9.583%,7.865%,16.611%,-19.311%,-73.499%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-2,149,000","933,000","2,873,000","650,000","-5,773,000","-6,319,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,-10.193%,4.301%,12.456%,2.989%,-49.724%,-31.324%,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"1,685,000","1,787,000","1,680,000","3,145,000","2,773,000","1,923,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-3,834,000","-854,000","1,193,000","-2,495,000","-8,546,000","-8,242,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,-18.185%,-3.937%,5.172%,-11.474%,-73.609%,-40.856%,Upgrade,Financials in CAD,Fiscal year is January - December
Effective Tax Rate,-,-,1.444%,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
