Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"554,466","43,931",-,-,-,-,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"402,296","33,876","1,091",-,-,-,Financials in CAD,Fiscal year is January - December
Gross Profit,"152,170","10,055","-1,091",-,-,-,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","825,906","982,058","1,104,807","1,976,475","1,486,578","530,669",Financials in CAD,Fiscal year is January - December
Research & Development,"12,935","172,740","127,411",-,-,"265,487",Financials in CAD,Fiscal year is January - December
Operating Expenses,"1,523,347","1,558,426","1,495,474","4,637,786","1,486,578","796,156",Financials in CAD,Fiscal year is January - December
Operating Income,"-1,371,177","-1,548,371","-1,496,565","-4,637,786","-1,486,578","-796,156",Financials in CAD,Fiscal year is January - December
Interest Expense,"-66,555","-13,689","-13,617","-4,292","-5,570",-30,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-59,511","-80,651","-386,107","-639,828",-,-,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,497,243","-1,642,711","-1,896,289","-5,281,906","-1,492,148","-796,186",Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,"-17,317","29,003","-57,995",-,-,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,"-333,333",-,-,-,Financials in CAD,Fiscal year is January - December
Other Unusual Items,"63,370","14,416",-,"-5,974,476",-,-,Financials in CAD,Fiscal year is January - December
Pretax Income,"-1,434,155","-1,645,612","-2,200,619","-11,314,377","-1,492,148","-796,186",Financials in CAD,Fiscal year is January - December
Net Income,"-1,434,155","-1,645,612","-2,200,619","-11,314,377","-1,492,148","-796,186",Financials in CAD,Fiscal year is January - December
Net Income to Common,"-1,434,155","-1,645,612","-2,200,619","-11,314,377","-1,492,148","-796,186",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"69,131,573","57,108,546","57,108,546","47,690,458","23,073,416","11,072,426",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"69,131,573","57,108,546","57,108,546","47,690,458","23,073,416","11,072,426",Financials in CAD,Fiscal year is January - December
Shares Change (YoY),21.053%,-,19.748%,106.690%,108.386%,-,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.021,-0.029,-0.039,-0.237,-0.065,-0.072,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.021,-0.029,-0.039,-0.237,-0.065,-0.072,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-1,161,033","-490,856","-1,348,413","-3,617,507","-1,391,352","-878,561",Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.017,-0.009,-0.024,-0.076,-0.060,-0.079,Financials in CAD,Fiscal year is January - December
Gross Margin,27.444%,22.888%,-,-,-,-,Financials in CAD,Fiscal year is January - December
Operating Margin,-247.297%,-3524.552%,-,-,-,-,Financials in CAD,Fiscal year is January - December
Profit Margin,-258.655%,-3745.902%,-,-,-,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-209.397%,-1117.334%,-,-,-,-,Financials in CAD,Fiscal year is January - December
EBITDA,"-1,096,833","-1,261,079","-1,306,572","-4,594,396",-,-,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"274,344","287,292","189,993","43,390",-,-,Financials in CAD,Fiscal year is January - December
EBIT,"-1,371,177","-1,548,371","-1,496,565","-4,637,786","-1,486,578","-796,156",Financials in CAD,Fiscal year is January - December
Revenue as Reported,"554,466","43,931",-,-,-,-,Financials in CAD,Fiscal year is January - December
Advertising Expenses,-,-,"39,505","86,727","110,490","103,000",Financials in CAD,Fiscal year is January - December
