Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"87,286,727","79,855,542","65,413,832","15,626,433","13,768,320","25,307,553",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),81.303%,22.077%,318.610%,13.496%,-45.596%,63.518%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"36,644,664","33,058,648","21,002,896","5,916,822","4,798,760","8,492,500",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"50,642,063","46,796,894","44,410,936","9,709,611","8,969,560","16,815,053",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,247,439","51,507,707","44,929,622","12,786,561","7,555,108","10,968,868",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,-,-,"191,596",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"57,934,094","57,422,382","54,103,083","19,136,193","7,604,585","11,039,931",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-7,292,031","-10,625,488","-9,692,147","-9,426,582","1,364,975","5,775,122",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,977,050","-2,006,435","-1,392,089","-2,219,093","-108,299","-1,539",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,928","5,928",185,"19,999","17,772",864,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"94,263","-240,440","-129,007","-4,576",-351,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,377,361","822,267","242,046","801,092","-3,244,590",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,546,251","-12,044,168","-10,971,012","-10,829,160","-1,970,493","5,774,447",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-476,446","-420,754",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-10,928,429","-10,928,429",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"10,591","10,591",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,024,274","-1,024,274","-1,824,289","-2,524,600","-11,886",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-242,243","-268,269","-109,118","905,902",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-22,730,606","-24,254,549","-13,380,865","-12,868,612","-1,982,379","5,774,447",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-1,032,000","-44,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-6,751,891","-24,254,549","-12,348,865","-12,824,612","-1,982,379","5,774,447",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,751,891","-24,254,549","-12,348,865","-12,824,612","-1,982,379","5,774,447",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,46.442%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"79,502,882","68,140,105","34,504,543","22,626,969","21,016,875","375,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"79,502,882","68,140,105","34,504,543","22,626,969","21,016,875","375,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.975%,97.482%,52.493%,7.661%,5504.500%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.085,-0.356,-0.358,-0.567,-0.094,15.399,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.087,-0.356,-0.358,-0.570,-0.094,15.399,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,222,070","-3,355,435","-4,770,482","-4,980,151","945,441","5,454,596",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.015,-0.049,-0.138,-0.220,0.045,14.546,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,58.018%,58.602%,67.892%,62.136%,65.146%,66.443%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-8.354%,-13.306%,-14.817%,-60.325%,9.914%,22.820%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-7.735%,-30.373%,-18.878%,-82.070%,-14.398%,22.817%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1.400%,-4.202%,-7.293%,-31.870%,6.867%,21.553%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-4,643,035","-7,012,565","-4,997,734","-8,771,901","1,414,452","5,779,245",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-5.319%,-8.781%,-7.640%,-56.135%,10.273%,22.836%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,648,996","3,612,923","4,694,413","654,681","49,477","4,123",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-7,292,031","-10,625,488","-9,692,147","-9,426,582","1,364,975","5,775,122",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-8.354%,-13.306%,-14.817%,-60.325%,9.914%,22.820%,Upgrade,Financials in USD,Fiscal year is January - December
