Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Other Revenue,-,"4,003,470","1,812,382","1,321,999",-,"707,807",-,"387,385",-,"159,371",Financials in AUD,Fiscal year is July - June
Revenue,-,"4,003,470","1,812,382","1,321,999",-,"707,807",-,"387,385",-,"159,371",Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-,202.835%,-,86.774%,-,82.714%,-,143.071%,-,-30.254%,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"769,426","1,844,129","1,021,279","1,005,195","678,081","312,178","301,888","318,190","329,039","114,151",Financials in AUD,Fiscal year is July - June
Gross Profit,"-769,426","2,159,341","791,103","316,804","-678,081","395,629","-301,888","69,195","-329,039","45,220",Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","2,606,751","1,186,619","2,148,461","895,992","3,718,881","610,632","2,865,588","471,968","1,665,853","285,025",Financials in AUD,Fiscal year is July - June
Research & Development,"4,872,294","6,104,810","4,428,476","3,167,091","3,545,605","2,286,349","1,663,853","535,686","735,787","540,858",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,"308,143","514,674","330,430","332,044","214,630","263,141","181,795","126,069","57,064","80,899",Financials in AUD,Fiscal year is July - June
Operating Expenses,"7,643,472","8,231,015","6,707,831","4,875,859","5,726,529","5,193,905","3,968,151","2,158,004","2,101,521","1,545,161",Financials in AUD,Fiscal year is July - June
Operating Income,"-8,412,898","-6,071,674","-5,916,728","-4,559,055","-6,404,610","-4,798,276","-4,270,039","-2,088,809","-2,430,560","-1,499,941",Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"371,149","461,428","424,155","167,684","45,579","8,336","8,270","10,577","6,488","2,828",Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-114,429","-52,912","-19,126","-20,355","-21,100","-31,907","-18,561","-19,257","-3,112","-4,979",Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-8,156,178","-5,663,158","-5,511,699","-4,411,726","-6,380,131","-4,821,847","-4,280,330","-2,097,489","-2,427,184","-1,502,092",Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,-,-,-,"37,500","83,311",-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-8,156,178","-5,663,158","-5,511,699","-4,411,726","-6,380,131","-4,821,847","-4,280,330","-2,059,989","-2,343,873","-1,502,092",Financials in AUD,Fiscal year is July - June
Net Income,"-8,156,178","-5,663,158","-5,511,699","-4,411,726","-6,380,131","-4,821,847","-4,280,330","-2,059,989","-2,343,873","-1,502,092",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-8,156,178","-5,663,158","-5,511,699","-4,411,726","-6,380,131","-4,821,847","-4,280,330","-2,059,989","-2,343,873","-1,502,092",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"165,326,356","163,675,086","160,429,399","161,011,897","159,612,184","147,007,530","135,547,697","126,379,693","113,050,010","100,139,466",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"165,326,356","163,675,086","160,429,399","161,011,897","159,612,184","147,007,530","135,547,697","126,379,693","113,050,010","100,139,466",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),3.052%,1.654%,0.512%,9.526%,17.754%,16.322%,19.901%,26.204%,37.326%,29.437%,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.049,-0.035,-0.034,-0.027,-0.040,-0.033,-0.032,-0.016,-0.021,-0.015,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.049,-0.035,-0.034,-0.027,-0.040,-0.033,-0.032,-0.016,-0.021,-0.015,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-1,390,974","-8,154,605","-4,784,305","-5,867,246","-3,533,272","-2,724,565","-3,512,796","-1,184,782","-1,610,801","-852,282",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.008,-0.050,-0.030,-0.036,-0.022,-0.019,-0.026,-0.009,-0.014,-0.009,Financials in AUD,Fiscal year is July - June
Operating Margin,-,-151.660%,-326.461%,-344.861%,-,-677.907%,-,-539.208%,-,-941.163%,Financials in AUD,Fiscal year is July - June
Profit Margin,-,-141.456%,-304.114%,-333.716%,-,-681.238%,-,-531.768%,-,-942.513%,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-,-203.688%,-263.979%,-443.816%,-,-384.930%,-,-305.841%,-,-534.779%,Financials in AUD,Fiscal year is July - June
EBITDA,"-8,272,300","-5,931,076","-5,776,131","-4,418,457","-6,264,012","-4,657,678","-4,129,441","-1,948,211","-2,289,962","-1,359,343",Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"140,598","140,598","140,597","140,598","140,598","140,598","140,598","140,598","140,598","140,598",Financials in AUD,Fiscal year is July - June
EBIT,"-8,412,898","-6,071,674","-5,916,728","-4,559,055","-6,404,610","-4,798,276","-4,270,039","-2,088,809","-2,430,560","-1,499,941",Financials in AUD,Fiscal year is July - June
Revenue as Reported,-,-,-,-,-,-,-,-,"256,440",-,Financials in AUD,Fiscal year is July - June
