Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,FY 2018,2017 - 2016,Currency,Fiscal_Year_period
Period Ending,"Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018",2017 - 2016,,
"Selling, General & Admin","11,001,329","11,008,900","9,262,875","9,719,955","10,266,813","10,664,991",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"32,438,964","31,008,151","21,995,291","10,933,023","13,715,968","7,559,077",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"43,440,293","42,017,051","31,258,166","20,652,978","23,982,781","18,224,068",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-43,440,293","-42,017,051","-31,258,166","-20,652,978","-23,982,781","-18,224,068",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,419,805","-2,667,289","-47,188","-4,046,223","-1,825,148","-6,152,043",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"653,201","501,228","22,707","18,992","185,267","163,832",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"358,358","437,000","7,000","-3,749,387","-76,980","50,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-45,848,539","-43,746,112","-31,275,647","-28,429,596","-25,699,642","-24,162,279",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-434,594","-20,303","-400,000","-800,000","-1,349,166",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-46,283,133","-43,766,415","-36,779,400","-61,496,489","-27,048,808","-24,162,279",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-46,283,133","-43,766,415","-36,779,400","-61,496,489","-27,048,808","-24,162,279",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-46,283,133","-43,766,415","-36,779,400","-61,496,489","-27,048,808","-24,162,279",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,125,611","12,955,577","12,155,429","5,282,110","1,666,430","1,238,108",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,125,611","12,955,577","12,155,429","5,282,110","1,666,430","1,238,108",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.008%,6.583%,130.124%,216.972%,34.595%,108.291%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.526,-3.378,-3.026,-11.642,-16.232,-19.515,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.526,-3.378,-3.026,-11.642,-16.232,-19.515,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-37,244,562","-37,246,059","-29,490,751","-19,412,329","-17,979,926","-15,183,273",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.838,-2.875,-2.426,-3.675,-10.789,-12.263,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-43,432,068","-42,008,528","-31,250,593","-20,634,487","-23,961,174","-18,204,513",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"8,225","8,523","7,573","18,491","21,607","19,555",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-43,440,293","-42,017,051","-31,258,166","-20,652,978","-23,982,781","-18,224,068",Upgrade,Financials in USD,Fiscal year is January - December
