Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"11,240,000,000","11,302,000,000","10,858,000,000","9,545,000,000","9,892,000,000","8,480,000,000",Financials in GBP,Fiscal year is January - December
Revenue Growth (YoY),-0.654%,4.089%,13.756%,-3.508%,16.651%,-,Financials in GBP,Fiscal year is January - December
Cost of Revenue,"4,249,000,000","4,341,000,000","4,129,000,000","3,561,000,000","3,791,000,000","3,249,000,000",Financials in GBP,Fiscal year is January - December
Gross Profit,"6,991,000,000","6,961,000,000","6,729,000,000","5,984,000,000","6,101,000,000","5,231,000,000",Financials in GBP,Fiscal year is January - December
"Selling, General & Admin","4,314,000,000","4,288,000,000","4,060,000,000","3,793,000,000","3,832,000,000","3,357,000,000",Financials in GBP,Fiscal year is January - December
Research & Development,"300,000,000","297,000,000","303,000,000","248,000,000","296,000,000","267,000,000",Financials in GBP,Fiscal year is January - December
Other Operating Expenses,"-113,000,000","17,000,000","-7,000,000",-,-,-,Financials in GBP,Fiscal year is January - December
Operating Expenses,"4,501,000,000","4,602,000,000","4,356,000,000","4,041,000,000","4,128,000,000","3,624,000,000",Financials in GBP,Fiscal year is January - December
Operating Income,"2,490,000,000","2,359,000,000","2,373,000,000","1,943,000,000","1,973,000,000","1,607,000,000",Financials in GBP,Fiscal year is January - December
Interest Expense,"-398,000,000","-414,000,000","-278,000,000","-16,000,000","-22,000,000","-30,000,000",Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"38,000,000","25,000,000","56,000,000","13,000,000","14,000,000","24,000,000",Financials in GBP,Fiscal year is January - December
Other Non Operating Income (Expenses),"-84,000,000","-90,000,000","223,000,000","-34,000,000","-28,000,000","-8,000,000",Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"2,046,000,000","1,880,000,000","2,374,000,000","1,906,000,000","1,937,000,000","1,593,000,000",Financials in GBP,Fiscal year is January - December
