Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+17 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+17 Quarters,,
Revenue,"9,545,263","9,263,065","12,700,685","9,955,017","8,750,103","10,174,126","11,833,736","8,702,084","10,075,302","9,690,712","12,423,970","10,600,507","10,788,812","10,604,447","10,278,068","5,076,652","6,313,117","5,859,442","12,184,779","2,850,334",Upgrade,Financials in CAD,Fiscal year is January - December
Revenue Growth (YoY),9.087%,-8.955%,7.326%,14.398%,-13.153%,4.988%,-4.751%,-17.909%,-6.613%,-8.617%,20.878%,108.809%,70.895%,80.980%,-15.648%,78.107%,-5.127%,-26.571%,265.274%,4.702%,Upgrade,Financials in CAD,Fiscal year is January - December
Cost of Revenue,"6,673,730","8,069,951","6,748,836","15,739,654","6,310,944","7,115,615","7,839,071","21,120,393","16,037,334","11,615,409","10,485,194","12,862,675","21,071,891","9,697,947","7,155,985","36,442,761","-5,847,273","10,276,895","12,767,186","2,660,310",Upgrade,Financials in CAD,Fiscal year is January - December
Gross Profit,"2,871,533","1,193,114","5,951,849","-5,784,637","2,439,159","3,058,511","3,994,665","-12,418,309","-5,962,032","-1,924,697","1,938,776","-2,262,168","-10,283,079","906,500","3,122,083","-31,366,109","12,160,390","-4,417,453","-582,407","190,024",Upgrade,Financials in CAD,Fiscal year is January - December
"Selling, General & Admin","4,090,719","4,756,104","5,438,218","5,664,130","5,990,469","5,530,337","7,932,115","8,419,179","6,842,714","7,838,551","6,669,698","7,836,333","4,489,937","10,381,837","6,020,665","11,007,864","5,344,896","4,800,537","6,489,127","6,252,205",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Expenses,"4,039,189","4,717,571","5,571,245","5,610,769","5,928,495","5,574,002","7,972,428","8,416,444","7,629,936","8,683,679","6,886,670","8,035,863","5,172,500","11,423,164","7,694,074","12,458,111","7,455,492","5,440,876","7,079,282","6,116,229",Upgrade,Financials in CAD,Fiscal year is January - December
Operating Income,"-1,167,656","-3,524,457","380,604","-11,395,406","-3,489,336","-2,515,491","-3,977,763","-20,834,753","-13,591,968","-10,608,376","-4,947,894","-10,298,031","-15,455,579","-10,516,664","-4,571,991","-43,824,220","4,704,898","-9,858,329","-7,661,689","-5,926,205",Upgrade,Financials in CAD,Fiscal year is January - December
Interest Expense,"-7,109,719","-6,775,526","-6,511,988","-6,455,313","-6,349,963","-6,027,574","-5,554,188","-4,400,600","-3,887,450","-5,122,447","-3,779,304","-3,490,516","-2,458,456","-2,408,385","-2,417,114","-2,480,000","-789,052","-1,224,172","-1,324,151","-890,379",Upgrade,Financials in CAD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,723",170,"18,917","43,950","57,358",Upgrade,Financials in CAD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-94,856","-172,244","-183,721","-57,765","-6,031","-8,269","-12,625","-313,607","-30,267","-26,001","-17,741","-17,817","-32,790","-20,033","-63,844","-92,082",-,-,-,"-7,816",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"5,682",-,"25,621","1,602","19,104",-,"215,231","28,635","-165,471","-18,660","1,755,990",-,"889,809",-,"993,591","4,720,417","2,173,134",-,"-134,150",Upgrade,Financials in CAD,Fiscal year is January - December
