Fiscal Quarter,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Currency,Fiscal_Year_period
Period Ending,"Apr '16 Apr 30, 2016","Jan '16 Jan 31, 2016","Oct '15 Oct 31, 2015","Jul '15 Jul 31, 2015","Apr '15 Apr 30, 2015","Jan '15 Jan 31, 2015","Oct '14 Oct 31, 2014","Jul '14 Jul 31, 2014","Apr '14 Apr 30, 2014","Jan '14 Jan 31, 2014","Oct '13 Oct 31, 2013","Jul '13 Jul 31, 2013","Apr '13 Apr 30, 2013","Jan '13 Jan 31, 2013","Oct '12 Oct 31, 2012",,
Revenue,41,"3,444",-,-60,"10,344",482,"8,682","10,656",-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Revenue Growth (YoY),-99.604%,614.523%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Gross Profit,41,"3,444",-,-60,"10,344",482,"8,682","10,656",-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
"Selling, General & Admin",259,"38,928","2,114,803","197,240","56,461","893,739","90,219","271,658","83,670","35,161","25,522","26,227","2,000","9,970","4,985",Financials in USD,Fiscal year is August - July
Operating Expenses,259,"38,928","2,114,803","197,240","56,461","893,739","90,219","271,658","83,670","35,161","25,522","26,227","2,000","9,970","4,985",Financials in USD,Fiscal year is August - July
Operating Income,-218,"-35,484","-2,114,803","-197,300","-46,117","-893,257","-81,537","-261,002","-83,670","-35,161","-25,522","-26,227","-2,000","-9,970","-4,985",Financials in USD,Fiscal year is August - July
Interest Expense,-2,-280,-43,-,-16,"-2,297,126",-8,"-13,824",-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Interest & Investment Income,-,-,-,"699,898",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Other Non Operating Income (Expenses),-1,-,-,"-27,001",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
EBT Excluding Unusual Items,-221,"-35,764","-2,114,846","475,597","-46,133","-3,190,383","-81,545","-274,826","-83,670","-35,161","-25,522","-26,227","-2,000","-9,970","-4,985",Financials in USD,Fiscal year is August - July
Other Unusual Items,-,"-27,000","-274,190","-748,511","-415,600","-588,000",-,"-9,349",-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Pretax Income,-221,"-62,764","-2,389,036","-272,914","-461,733","-3,778,383","-81,545","-284,175","-83,670","-35,161","-25,522","-26,227","-2,000","-9,970","-4,985",Financials in USD,Fiscal year is August - July
Net Income,-221,"-62,764","-2,389,036","-272,914","-461,733","-3,778,383","-81,545","-284,175","-83,670","-35,161","-25,522","-26,227","-2,000","-9,970","-4,985",Financials in USD,Fiscal year is August - July
Net Income to Common,-221,"-62,764","-2,389,036","-272,914","-461,733","-3,778,383","-81,545","-284,175","-83,670","-35,161","-25,522","-26,227","-2,000","-9,970","-4,985",Financials in USD,Fiscal year is August - July
Shares Outstanding (Basic),"190,421,358","129,782,225","1,315,621,178","661,656,297","209,576,051","84,466,102","74,888,928","73,609,396","72,240,000","72,240,000","72,240,000","73,255,000","72,493,750","72,493,750","72,493,750",Financials in USD,Fiscal year is August - July
Shares Outstanding (Diluted),"190,421,358","129,782,225","1,315,621,178","661,656,297","209,576,051","84,466,102","74,888,928","73,609,396","72,240,000","72,240,000","72,240,000","73,255,000","72,493,750","72,493,750","72,493,750",Financials in USD,Fiscal year is August - July
Shares Change (YoY),-9.140%,53.650%,1656.763%,798.875%,190.111%,16.924%,3.667%,0.484%,-0.350%,-0.350%,-0.350%,-,-,-,-,Financials in USD,Fiscal year is August - July
EPS (Basic),-0.000,-0.000,-0.002,-0.000,-0.002,-0.045,-0.001,-0.004,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is August - July
EPS (Diluted),-0.000,-0.000,-0.002,-0.000,-0.002,-0.045,-0.001,-0.004,-0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,Financials in USD,Fiscal year is August - July
Free Cash Flow,-212,"-122,795","-14,782","16,085","1,427","-39,913","-33,997","-128,463","-85,821","-22,576",-,"-15,000",-,-,-,Financials in USD,Fiscal year is August - July
Free Cash Flow Per Share,-0.000,-0.001,-0.000,0.000,0.000,-0.000,-0.000,-0.002,-0.001,-0.000,-,-0.000,-,-,-,Financials in USD,Fiscal year is August - July
Gross Margin,100.000%,100.000%,-,-,100.000%,100.000%,100.000%,100.000%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Operating Margin,-531.707%,-1030.314%,-,-,-445.833%,-185323.029%,-939.150%,-2449.343%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Profit Margin,-539.024%,-1822.416%,-,-,-4463.776%,-783896.888%,-939.242%,-2666.807%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
Free Cash Flow Margin,-517.073%,-3565.476%,-,-,13.795%,-8280.705%,-391.580%,-1205.546%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is August - July
EBIT,-218,"-35,484","-2,114,803","-197,300","-46,117","-893,257","-81,537","-261,002","-83,670","-35,161","-25,522","-26,227","-2,000","-9,970","-4,985",Financials in USD,Fiscal year is August - July
