Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","5,333,525","8,195,932","26,551,187","1,669,950","2,111,084","513,455",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"66,408","56,941","58,054","68,766",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"5,994,396","8,891,380","27,313,922","2,490,499","2,948,942","1,305,699",Financials in USD,Fiscal year is January - December
Operating Income,"-5,994,396","-8,891,380","-27,313,922","-2,490,499","-2,948,942","-1,305,699",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-34,013","-218,663","-135,155",-,-,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-480,"-1,625",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-890,026","-970,026","-213,000",-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,918,892","-10,081,694","-27,662,077","-2,490,499","-2,948,942","-1,305,699",Financials in USD,Fiscal year is January - December
Asset Writedown,"-3,045,954","-3,045,954",-,-,"-103,837",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,028,278","-13,127,648","-27,662,077","-2,490,499","-3,052,779","-1,305,699",Financials in USD,Fiscal year is January - December
Net Income,"-9,028,278","-13,127,648","-27,662,077","-2,490,499","-3,052,779","-1,305,699",Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,028,278","-13,127,648","-27,662,077","-2,490,499","-3,052,779","-1,305,699",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"188,159,885","178,574,014","162,058,082","156,800,164","135,156,900","103,761,868",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"188,159,885","178,574,014","162,058,082","156,800,164","135,156,900","103,761,868",Financials in USD,Fiscal year is January - December
Shares Change (YoY),7.458%,10.191%,3.353%,16.013%,30.257%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.048,-0.074,-0.171,-0.016,-0.023,-0.013,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.048,-0.074,-0.171,-0.016,-0.023,-0.013,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,637,700","-4,989,265","-12,788,012","-1,959,292","-513,337","-300,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.009,-0.028,-0.079,-0.012,-0.004,-0.003,Financials in USD,Fiscal year is January - December
EBITDA,"-5,399,933","-8,252,873","-26,609,241","-1,738,716","-2,111,084","-513,454",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"594,463","638,507","704,681","751,783","837,858","792,245",Financials in USD,Fiscal year is January - December
EBIT,"-5,994,396","-8,891,380","-27,313,922","-2,490,499","-2,948,942","-1,305,699",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"43,867","78,193","68,571",-,-,Financials in USD,Fiscal year is January - December
