Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"464,511,000","463,630,000","421,435,000","357,608,000","155,114,454","75,195,556",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),0.310%,10.012%,17.848%,130.545%,106.281%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"274,296,000","261,188,000","240,252,000","175,646,000","66,355,014","45,174,016",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"190,215,000","202,442,000","181,183,000","181,962,000","88,759,440","30,021,540",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","166,001,000","177,800,000","212,525,000","144,444,000","71,733,829","20,381,461",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"214,092,000","229,164,000","258,326,000","185,103,000","84,588,289","57,876,275",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-23,877,000","-26,722,000","-77,143,000","-3,141,000","4,171,151","-27,854,735",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-68,761,000","-39,403,000","-28,323,000","-16,550,000","-3,203,097","-3,035,492",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"405,000","743,000","275,000","204,000","10,112","404,835",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,"-32,000","-33,591","-72,600",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,"-7,783","-141,106",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-15,802,000","7,098,000","127,000","1,037,000","-205,154","-119,032,537",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-108,035,000","-58,284,000","-105,064,000","-18,482,000","731,638","-149,731,635",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-4,254,000","-4,080,000","-12,203,000","-52,866,000","-2,945,194","-9,612,478",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,"-6,320,000","-6,320,000","-117,950,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"2,911,000","-91,000","8,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-61,391,000","23,019,000","63,081,000","83,657,000","-304,430",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-179,239,000","-45,756,000","-172,128,000","12,309,000","-2,517,986","-159,344,113",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"49,208,000","47,391,000","44,749,000","29,261,000","22,087,463","4,835,491",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-228,447,000","-93,147,000","-216,877,000","-16,952,000","-24,605,449","-164,179,604",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,"-670,000","-186,353,000","-38,608,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-229,117,000","-279,500,000","-255,485,000","-16,952,000","-24,605,449","-164,179,604",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"5,007,000","7,067,000","10,019,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-224,110,000","-272,433,000","-245,466,000","-16,952,000","-24,605,449","-164,179,604",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-224,110,000","-272,433,000","-245,466,000","-16,952,000","-24,605,449","-164,179,604",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"100,999,250","74,096,000","68,635,000","57,329,000","27,892,441","17,404,742",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"100,999,250","74,096,000","68,635,000","57,329,000","27,892,441","17,404,742",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),39.945%,7.957%,19.721%,105.536%,60.258%,369.420%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.219,-3.677,-3.576,-0.296,-0.882,-9.433,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.219,-3.677,-3.576,-0.296,-0.882,-9.433,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,818,000","-10,513,000","-107,485,000","-127,784,000","20,916,029","-10,843,876",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.097,-0.142,-1.566,-2.229,0.750,-0.623,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,40.950%,43.664%,42.992%,50.883%,57.222%,39.925%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-5.140%,-5.764%,-18.305%,-0.878%,2.689%,-37.043%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-48.246%,-58.761%,-58.245%,-4.740%,-15.863%,-218.337%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2.114%,-2.268%,-25.505%,-35.733%,13.484%,-14.421%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"55,998,000","57,149,000","-5,764,000","54,567,000","20,682,641","-18,753,723",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,12.055%,12.326%,-1.368%,15.259%,13.334%,-24.940%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"79,875,000","83,871,000","71,379,000","57,708,000","16,511,490","9,101,012",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-23,877,000","-26,722,000","-77,143,000","-3,141,000","4,171,151","-27,854,735",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-5.140%,-5.764%,-18.305%,-0.878%,2.689%,-37.043%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,237.720%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
