Fiscal Quarter,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Currency,Fiscal_Year_period
Period Ending,"Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Sep '17 Sep 30, 2017","Jun '17 Jun 30, 2017",,
Revenue,"3,103,117","2,371,218","2,271,830","1,728,363","459,171","90,378","104,800","62,802","52,348","49,779","52,926","66,429","-2,129","131,888",-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Revenue Growth (YoY),575.809%,2523.667%,2067.777%,2652.083%,777.151%,81.558%,98.012%,-5.460%,-,-62.257%,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Cost of Revenue,"1,375,631","527,781","1,038,064","663,824","435,508","256,426","220,920","7,188",-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Gross Profit,"1,727,486","1,843,437","1,233,766","1,064,539","23,663","-166,048","-116,120","55,614","52,348","49,779","52,926","66,429","-2,129","131,888",-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
"Selling, General & Admin","7,470,886","4,660,192","3,932,918","2,648,118","2,611,636","6,009,578","1,741,284","1,483,993","2,265,294","2,046,558","2,813,485","1,533,376","1,549,771","1,349,962","301,104",2,"1,040",-,-,-,Financials in CAD,Fiscal year is April - March
Operating Expenses,"8,968,980","6,164,519","5,637,907","4,479,937","3,709,818","4,898,793","2,645,516","2,578,408","3,561,549","3,170,727","4,365,561","3,501,401","1,510,047","1,997,911","380,453",2,"1,040",-,-,-,Financials in CAD,Fiscal year is April - March
Operating Income,"-7,241,494","-4,321,082","-4,404,141","-3,415,398","-3,686,155","-5,064,841","-2,761,636","-2,522,794","-3,509,201","-3,120,948","-4,312,635","-3,434,972","-1,512,176","-1,866,023","-380,453",-2,"-1,040",-,-,-,Financials in CAD,Fiscal year is April - March
Interest Expense,"-145,332","-189,215","-29,054","-12,199","-63,340","-17,592","-71,512","-3,910","-44,470","-69,602","-47,840","-34,643",-,"-38,932","-2,000","-19,341","-22,352","-22,848","-22,848","-22,495",Financials in CAD,Fiscal year is April - March
Interest & Investment Income,"128,106","62,259","61,188","21,885","20,650","26,460","59,660","31,134","72,996","86,710","80,047","697,008","94,623","181,703","6,700","11,854","16,182","10,365","20,617","10,252",Financials in CAD,Fiscal year is April - March
Currency Exchange Gain (Loss),"-214,362","323,052","26,586","-135,276","-170,995","-88,989","-14,912","16,709","129,973","-115,648","-109,722","57,610","20,775",185,"-9,398",-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-31,782,679",-,"102,362",-,-,70,344,69,"4,833","266,375","61,358","2,155,238","1,089,708","-16,900","-35,103","-24,097","1,723",-,"-7,451",-1,Financials in CAD,Fiscal year is April - March
EBT Excluding Unusual Items,"-39,255,761","-4,124,986","-4,243,059","-3,540,988","-3,899,840","-5,144,892","-2,788,056","-2,478,792","-3,345,869","-2,953,113","-4,328,792","-559,759","-307,070","-1,739,967","-420,254","-31,586","-5,487","-12,483","-9,682","-12,244",Financials in CAD,Fiscal year is April - March
Merger & Restructuring Charges,-,-,-,-,-,"-118,311","-82,207","-86,328","-427,337","-935,924",-,-,"649,114",-,-,"-452,057",-,-,-,-,Financials in CAD,Fiscal year is April - March
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,"-1,055,000",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,"6,383,534","-417,495","-62,357","-5,903,682","3,235,433","-1,223,902","-303,662","-747,605","-4,772,240","-1,938,345","-1,334,735","-447,780","4,420,479","-606,323",-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,"83,496","-83,460",-36,-,"1,492,266","-2,250,159",56,-,"29,646","-2,016",-,"-1,808",-,-,"-1,632,322",-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Asset Writedown,-,-,-,-,-,"-7,684,824",-,-,"-1,266,385",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Other Unusual Items,"237,338",-,"-11,138","-226,200","2,184,670","-3,000,000","-2,641,312",-,"-775,302",-,-,"-282,389","-992,771",-,"-142,918","-1,219,194",-,-,-,-,Financials in CAD,Fiscal year is April - March
Pretax Income,"-32,551,393","-4,625,941","-4,316,590","-9,670,870","3,012,529","-19,422,088","-5,815,181","-3,312,725","-10,557,487","-5,829,398","-5,663,527","-1,291,736","2,714,752","-2,346,290","-2,195,494","-1,702,837","-5,487","-12,483","-9,682","-12,244",Financials in CAD,Fiscal year is April - March
Income Tax Expense,"232,019","77,596",-,-,"-78,154",-,-,-,-,-,-,-,"1,332,225","-1,282,499","-49,726",-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Earnings From Continuing Operations,"-32,783,412","-4,703,537","-4,316,590","-9,670,870","3,090,683","-19,422,088","-5,815,181","-3,312,725","-10,557,487","-5,829,398","-5,663,527","-1,291,736","1,382,527","-1,063,791","-2,145,768","-1,702,837","-5,487","-12,483","-9,682","-12,244",Financials in CAD,Fiscal year is April - March
Minority Interest in Earnings,"1,060,570","-11,192","125,087","210,952","198,421",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
Net Income,"-31,722,842","-4,714,729","-4,191,503","-9,459,918","3,289,104","-19,422,088","-5,815,181","-3,312,725","-10,557,487","-5,829,398","-5,663,527","-1,291,736","1,382,527","-1,063,791","-2,145,768","-1,702,837","-5,487","-12,483","-9,682","-12,244",Financials in CAD,Fiscal year is April - March
Net Income to Common,"-31,722,842","-4,714,729","-4,191,503","-9,459,918","3,289,104","-19,422,088","-5,815,181","-3,312,725","-10,557,487","-5,829,398","-5,663,527","-1,291,736","1,382,527","-1,063,791","-2,145,768","-1,702,837","-5,487","-12,483","-9,682","-12,244",Financials in CAD,Fiscal year is April - March
Shares Outstanding (Basic),"270,290,721","247,284,636","240,292,763","231,993,681","189,651,554","176,512,309","171,619,984","170,656,846","169,886,856","167,871,441","159,004,486","158,167,986","145,062,954","142,726,746","82,257,775","26,802,364",-,-,-,-,Financials in CAD,Fiscal year is April - March
Shares Outstanding (Diluted),"270,290,721","247,284,636","240,292,763","231,993,681","189,651,554","176,512,309","171,619,984","170,656,846","169,886,856","167,871,441","159,004,486","158,167,986","145,062,954","142,726,746","82,257,775","26,802,364",-,-,-,-,Financials in CAD,Fiscal year is April - March
Shares Change (YoY),42.520%,40.095%,40.014%,35.942%,11.634%,5.147%,7.934%,7.896%,17.113%,17.617%,93.300%,490.127%,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is April - March
EPS (Basic),-0.117,-0.019,-0.017,-0.041,0.017,-0.110,-0.034,-0.019,-0.062,-0.035,-0.036,-0.008,0.010,-0.007,-0.026,-0.064,-,-,-,-,Financials in CAD,Fiscal year is April - March
EPS (Diluted),-0.117,-0.019,-0.017,-0.041,0.017,-0.110,-0.034,-0.019,-0.062,-0.035,-0.036,-0.008,0.010,-0.007,-0.026,-0.064,-,-,-,-,Financials in CAD,Fiscal year is April - March
