Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"2,179,000","2,331,000","2,129,000","1,889,000","1,973,000","1,841,000","2,086,000","2,430,000","1,703,000","2,027,000","2,020,000","1,843,000","1,842,000","1,833,000","1,658,000","1,476,000","1,481,000","1,812,000","2,360,000","2,837,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),10.441%,26.616%,2.061%,-22.263%,15.854%,-9.176%,3.267%,31.850%,-7.546%,10.584%,21.834%,24.864%,24.375%,1.159%,-29.746%,-47.973%,-29.342%,-21.930%,6.402%,27.620%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"974,000","913,000","887,000","863,000","781,000","713,000","824,000","1,136,000","690,000","718,000","725,000","735,000","814,000","770,000","615,000","643,000","563,000","719,000","857,000","1,436,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,205,000","1,418,000","1,242,000","1,026,000","1,192,000","1,128,000","1,262,000","1,294,000","1,013,000","1,309,000","1,295,000","1,108,000","1,028,000","1,063,000","1,043,000","833,000","918,000","1,093,000","1,503,000","1,401,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,108,000","1,256,000","1,243,000","1,513,000","1,134,000","1,298,000","1,115,000","1,347,000","1,237,000","1,267,000","1,133,000","1,555,000","1,354,000","1,474,000","1,395,000","1,664,000","1,578,000","1,844,000","1,696,000","2,464,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"187,000","13,000","177,000","-63,000","155,000","-26,000","145,000","-114,000","76,000","11,000","137,000","-124,000","47,000","-5,000","215,000","-98,000","138,000","81,000","262,000","26,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,295,000","1,269,000","1,420,000","1,450,000","1,289,000","1,272,000","1,260,000","1,233,000","1,313,000","1,278,000","1,270,000","1,431,000","1,401,000","1,469,000","1,610,000","1,566,000","1,716,000","1,925,000","1,958,000","2,490,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-90,000","149,000","-178,000","-424,000","-97,000","-144,000","2,000","61,000","-300,000","31,000","25,000","-323,000","-373,000","-406,000","-567,000","-733,000","-798,000","-832,000","-455,000","-1,089,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-35,000","-35,000","-36,000","-34,000","-34,000","-35,000","-36,000","-33,000","-35,000","-33,000","-34,000","-31,000","-31,000","-39,000","-32,000","-28,000","-28,000","-29,000","-28,000","-22,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"5,000",-,-,-,"8,000",-,"-5,000","-8,000",-,-,"3,000","13,000",-,-,"40,000","282,000","-225,000","110,000","-207,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-125,000","119,000","-214,000","-458,000","-131,000","-171,000","-34,000","23,000","-343,000","-2,000","-9,000","-351,000","-391,000","-445,000","-599,000","-721,000","-544,000","-1,086,000","-373,000","-1,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,"-250,000",-,-,-,-,-,-,"-1,395,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"663,000",-,-,-,-,-,-,"476,000","661,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-125,000","119,000","-214,000","-458,000","-131,000","492,000","-34,000","23,000","-343,000","-2,000","-9,000","-351,000","-165,000","216,000","-599,000","-721,000","-544,000","-1,086,000","-373,000","-2,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-125,000","119,000","-214,000","-458,000","-131,000","492,000","-34,000","23,000","-343,000","-2,000","-9,000","-351,000","-165,000","216,000","-599,000","-721,000","-544,000","-1,086,000","-373,000","-2,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"57,000",-,"-155,000",-,"233,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-125,000","62,000","-214,000","-303,000","-131,000","259,000","-34,000","23,000","-343,000","-2,000","-9,000","-351,000","-165,000","216,000","-599,000","-721,000","-544,000","-1,086,000","-373,000","-2,713,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-75.813%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,000","8,016,000","8,004,000","7,767,000","7,539,000","7,539,000","7,539,000","7,539,000","7,539,000","7,546,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,389","8,004,000","8,016,000","8,004,000","7,767,000","7,539,000","7,539,000","7,539,000","7,539,000","7,539,000","7,546,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-,-,-,-,-,-,0.005%,-0.145%,0.005%,3.056%,6.168%,6.327%,6.168%,3.024%,-,-0.093%,-0.093%,0.080%,1.878%,10.112%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.016,0.008,-0.027,-0.038,-0.016,0.032,-0.004,0.003,-0.043,-0.000,-0.001,-0.044,-0.021,0.028,-0.079,-0.096,-0.072,-0.144,-0.049,-0.360,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.016,0.008,-0.030,-0.038,-0.016,0.032,-0.004,0.003,-0.043,-0.000,-0.001,-0.044,-0.021,0.028,-0.079,-0.096,-0.072,-0.144,-0.049,-0.360,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-76.064%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"220,000","-97,000","-201,000","161,000","48,000","439,000","201,000","79,000","84,000","191,000","-23,000","-326,000","-237,000","-363,000","-394,000","-315,000","-279,000","-37,000","262,000","-399,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.027,-0.012,-0.025,0.020,0.006,0.055,0.025,0.010,0.010,0.024,-0.003,-0.041,-0.030,-0.047,-0.052,-0.042,-0.037,-0.005,0.035,-0.053,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,55.300%,60.832%,58.337%,54.314%,60.416%,61.271%,60.498%,53.251%,59.483%,64.578%,64.109%,60.119%,55.809%,57.992%,62.907%,56.436%,61.985%,60.320%,63.686%,49.383%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-4.130%,6.392%,-8.361%,-22.446%,-4.916%,-7.822%,0.096%,2.510%,-17.616%,1.529%,1.238%,-17.526%,-20.250%,-22.149%,-34.198%,-49.661%,-53.883%,-45.916%,-19.280%,-38.386%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-5.737%,2.660%,-10.052%,-16.040%,-6.640%,14.068%,-1.630%,0.947%,-20.141%,-0.099%,-0.446%,-19.045%,-8.958%,11.784%,-36.128%,-48.848%,-36.732%,-59.934%,-15.805%,-95.629%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,10.096%,-4.161%,-9.441%,8.523%,2.433%,23.846%,9.636%,3.251%,4.932%,9.423%,-1.139%,-17.689%,-12.866%,-19.804%,-23.764%,-21.341%,-18.839%,-2.042%,11.102%,-14.064%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-37,000","199,000","-129,000","-376,000","-50,000","-96,000","53,000","113,000","-245,000","86,000","81,000","-256,000","-308,000","-342,000","-501,000","-672,000","-734,000","-767,000","-392,000","-1,007,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-1.698%,8.537%,-6.059%,-19.905%,-2.534%,-5.215%,2.541%,4.650%,-14.386%,4.243%,4.010%,-13.890%,-16.721%,-18.658%,-30.217%,-45.528%,-49.561%,-42.329%,-16.610%,-35.495%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"53,000","50,000","49,000","48,000","47,000","48,000","51,000","52,000","55,000","55,000","56,000","67,000","65,000","64,000","66,000","61,000","64,000","65,000","63,000","82,000",Upgrade,Financials in USD,Fiscal year is January - December
