Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters,,
Revenue,"3,228,000","2,538,000","3,462,000","3,203,000","4,721,000","3,922,000","4,277,000","4,913,000","4,977,000","4,555,000",Upgrade,Financials in GBP,Fiscal year is October - September
Revenue Growth (YoY),-6.759%,-20.762%,-26.668%,-18.332%,10.381%,-20.171%,-14.065%,7.859%,20.363%,32.954%,Upgrade,Financials in GBP,Fiscal year is October - September
Cost of Revenue,"1,537,000","1,518,000","1,668,000","1,727,000","1,824,000","1,576,000","1,573,000","1,593,000","1,658,000","1,528,000",Upgrade,Financials in GBP,Fiscal year is October - September
Gross Profit,"1,691,000","1,020,000","1,794,000","1,476,000","2,897,000","2,346,000","2,704,000","3,320,000","3,319,000","3,027,000",Upgrade,Financials in GBP,Fiscal year is October - September
"Selling, General & Admin","2,068,000","2,241,000","2,075,000","2,100,000","1,868,000","1,939,000","1,859,000","2,255,000","2,499,000","2,288,000",Upgrade,Financials in GBP,Fiscal year is October - September
Research & Development,"714,000","623,000","461,000","464,000","586,000","631,000","590,000","650,000","678,000","631,000",Upgrade,Financials in GBP,Fiscal year is October - September
Other Operating Expenses,"-525,000","-256,000","-218,000","-175,000","-296,000","-393,000","-224,000","-224,000","-228,000","-378,000",Upgrade,Financials in GBP,Fiscal year is October - September
Operating Expenses,"2,257,000","2,608,000","2,318,000","2,389,000","2,158,000","2,177,000","2,225,000","2,681,000","2,949,000","2,541,000",Upgrade,Financials in GBP,Fiscal year is October - September
Operating Income,"-566,000","-1,588,000","-524,000","-913,000","739,000","169,000","479,000","639,000","370,000","486,000",Upgrade,Financials in GBP,Fiscal year is October - September
