Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"6,675,000,000","8,015,000,000","6,021,000,000","7,153,000,000","4,482,400,000","6,010,600,000","4,541,200,000","5,724,100,000","4,224,400,000","4,876,100,000",Upgrade,Financials in USD,Fiscal year is July - June
Other Revenue,"72,000,000","38,000,000","105,000,000","31,000,000","38,400,000","30,600,000","29,400,000","15,300,000","15,800,000","34,500,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue,"6,747,000,000","8,053,000,000","6,126,000,000","7,184,000,000","4,520,800,000","6,041,200,000","4,570,600,000","5,739,400,000","4,240,200,000","4,910,600,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),10.137%,12.096%,35.507%,18.917%,-1.090%,5.258%,7.792%,16.878%,5.117%,9.008%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"3,373,000,000","3,722,000,000","2,984,000,000","3,330,000,000","2,237,300,000","2,592,700,000","2,199,700,000","2,267,000,000","1,855,400,000","2,069,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"3,374,000,000","4,331,000,000","3,142,000,000","3,854,000,000","2,283,500,000","3,448,500,000","2,370,900,000","3,472,400,000","2,384,800,000","2,841,600,000",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","1,333,000,000","1,048,000,000","1,181,000,000","1,127,000,000","901,000,000","748,000,000","1,024,700,000","687,200,000","824,000,000","764,100,000",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"758,000,000","670,000,000","673,000,000","593,000,000","670,200,000","485,800,000","574,100,000","427,300,000","476,300,000","445,500,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"2,091,000,000","1,718,000,000","1,854,000,000","1,720,000,000","1,571,200,000","1,233,800,000","1,598,800,000","1,114,500,000","1,300,300,000","1,209,600,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"1,283,000,000","2,613,000,000","1,288,000,000","2,134,000,000","712,300,000","2,214,700,000","772,100,000","2,357,900,000","1,084,500,000","1,632,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-236,000,000","-242,000,000","-222,000,000","-188,000,000","-110,200,000","-67,800,000","-79,100,000","-79,600,000","-65,400,000","-77,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"19,000,000","20,000,000","3,000,000","35,000,000","17,100,000","900,000","2,200,000","1,700,000","3,000,000","4,000,000",Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),"10,000,000","-8,000,000","-10,000,000","-12,000,000","16,400,000","-3,400,000","17,000,000","-29,100,000","-10,700,000","2,300,000",Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"1,076,000,000","2,383,000,000","1,059,000,000","1,969,000,000","635,600,000","2,144,400,000","712,200,000","2,250,900,000","1,011,400,000","1,561,300,000",Upgrade,Financials in USD,Fiscal year is July - June
Merger & Restructuring Charges,"-84,000,000",-,"-353,000,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,"4,000,000","-4,000,000","-6,000,000","-6,000,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"996,000,000","2,379,000,000","700,000,000","1,963,000,000","635,600,000","2,144,400,000","712,200,000","2,250,900,000","1,011,400,000","1,561,300,000",Upgrade,Financials in USD,Fiscal year is July - June
Income Tax Expense,"202,000,000","459,000,000","96,000,000","323,000,000","140,900,000","384,100,000","147,200,000","440,900,000","156,900,000","313,300,000",Upgrade,Financials in USD,Fiscal year is July - June
