Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"1,596,000","1,932,000","1,683,000","1,005,000","1,291,000","2,410,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-23.417%,14.795%,67.463%,-22.153%,-46.432%,484.951%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"31,819,000","27,730,000","35,511,000","20,308,000","33,637,000","14,106,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-30,223,000","-25,798,000","-33,828,000","-19,303,000","-32,346,000","-11,696,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","32,928,000","29,710,000","33,353,000","33,399,000","54,259,000","16,283,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"32,928,000","29,710,000","33,353,000","33,399,000","54,259,000","16,283,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-63,151,000","-55,508,000","-67,181,000","-52,702,000","-86,605,000","-27,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-6,521,000","-5,241,000","-6,068,000","-5,011,000","-8,544,000","-2,975,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"4,131,000","2,008,000","-3,304,000","-1,696,000","2,261,000","255,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,894,000","1,545,000","-25,788,000","238,700,000","-435,351,000","11,828,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-67,435,000","-57,196,000","-102,341,000","179,291,000","-528,239,000","-18,871,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-2,097,000","-5,403,000","-2,691,000","-165,000","-1,582,000","-1,941,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-69,532,000","-62,599,000","-105,032,000","179,126,000","-529,821,000","-20,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-69,532,000","-62,599,000","-105,032,000","179,126,000","-529,821,000","-20,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,482,000","1,774,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-71,014,000","-64,373,000","-105,032,000","179,126,000","-529,821,000","-20,812,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,204,961,750","1,119,191,000","1,015,852,000","873,517,000","725,129,000","564,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,204,961,750","1,119,191,000","1,015,852,000","1,007,869,000","725,129,000","564,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.127%,10.173%,0.792%,38.992%,28.526%,28.220%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.059,-0.058,-0.103,0.205,-0.731,-0.037,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.060,-0.060,-0.103,-0.060,-0.731,-0.040,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-55,148,000","-57,074,000","-55,677,000","-44,314,000","-38,703,000","-32,219,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.046,-0.051,-0.055,-0.044,-0.053,-0.057,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-3956.830%,-2873.085%,-3991.741%,-5243.980%,-6708.366%,-1160.954%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-4449.499%,-3331.936%,-6240.761%,17823.483%,-41039.582%,-863.568%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-3455.388%,-2954.141%,-3308.200%,-4409.353%,-2997.909%,-1336.888%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-61,420,000","-53,983,000","-65,929,000","-52,378,000","-86,518,000","-27,958,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,731,000","1,525,000","1,252,000","324,000","87,000","21,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-63,151,000","-55,508,000","-67,181,000","-52,702,000","-86,605,000","-27,979,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"1,596,000","1,932,000","1,683,000","1,005,000","1,291,000","2,410,000",Upgrade,Financials in USD,Fiscal year is January - December
