Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+19 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+19 Quarters,,
Operating Revenue,"72,918","81,119","2,595,172","3,337,190","79,633","94,241","2,335,456","2,663,550","3,275,213","2,365,900","2,509,246","3,109,525","1,171,445","233,297","201,624","253,188","1,188,209","230,979","223,798","157,662",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,"340,683",-,-,-,"390,934",-,-,"18,719","118,243","39,087","52,275",-,"-1,600",-,"2,700","14,744","14,470","3,500",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"72,918","81,119","2,935,855","3,337,190","79,633","94,241","2,726,390","2,663,550","3,275,213","2,384,619","2,627,489","3,148,612","1,223,720","233,297","200,024","253,188","1,190,909","245,723","238,268","161,162",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-8.432%,-13.924%,7.683%,25.291%,-97.569%,-96.048%,3.764%,-15.406%,167.644%,922.139%,1213.587%,1143.587%,2.755%,-5.057%,-16.051%,57.102%,356.339%,1.313%,1.778%,-45.226%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"36,572","44,166","1,586,159","1,876,938","86,574","68,560","1,790,188","1,575,366","1,875,669","1,288,162","1,563,844","1,760,586","665,219","133,015","1,078,835","114,113","644,579","109,108","79,768","70,999",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"36,346","36,953","1,349,696","1,460,252","-6,941","25,681","936,202","1,088,184","1,399,544","1,096,457","1,063,645","1,388,026","558,501","100,282","-878,811","139,075","546,330","136,615","158,500","90,163",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,403,809","1,434,906","2,041,821","2,222,495","1,413,443","1,731,689","2,188,404","2,758,088","3,015,598","3,685,557","3,726,420","4,075,251","2,978,619","2,749,199","2,425,628","2,238,211","2,231,250","2,441,649","2,626,309","2,470,754",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,80,"10,671",-,"5,183","31,382","60,203","95,524","6,691","10,760","16,234","16,756","20,608","51,175","34,034","44,581","31,188","55,698","31,897",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,403,809","1,434,906","2,041,901","2,233,166","1,413,443","1,736,872","2,219,786","2,818,291","3,111,122","3,692,248","3,737,180","4,091,485","2,995,375","2,769,807","2,476,803","2,272,245","2,275,831","2,472,837","2,682,007","2,502,651",Upgrade,Financials in USD,Fiscal year is January - December
