Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Operating Revenue,"1,731,000","8,025,000","2,601,000","1,607,000","2,986,000","1,913,000","1,513,000","638,000","885,000","5,671,000",Upgrade,Financials in AUD,Fiscal year is July - June
Other Revenue,-,-,"31,000","104,000","132,000","131,000","676,000","660,000","559,000",-,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"1,731,000","8,025,000","2,632,000","1,711,000","3,118,000","2,044,000","2,189,000","1,298,000","1,444,000","5,671,000",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-34.233%,369.024%,-15.587%,-16.292%,42.439%,57.473%,51.593%,-77.112%,-29.869%,757.943%,Upgrade,Financials in AUD,Fiscal year is July - June
Cost of Revenue,"5,221,000","5,464,000","6,218,000","6,141,000","7,289,000","7,167,000","8,083,000","7,783,000","7,732,000","7,966,000",Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"-3,490,000","2,561,000","-3,586,000","-4,430,000","-4,171,000","-5,123,000","-5,894,000","-6,485,000","-6,288,000","-2,295,000",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","3,641,000","3,595,000","3,775,000","3,847,000","3,534,000","3,326,000","3,408,000","3,945,000","2,527,000","3,568,000",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"3,641,000","3,595,000","3,775,000","3,847,000","3,534,000","3,326,000","3,408,000","3,945,000","2,527,000","3,568,000",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-7,131,000","-1,034,000","-7,361,000","-8,277,000","-7,705,000","-8,449,000","-9,302,000","-10,430,000","-8,815,000","-5,863,000",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-7,131,000","-1,034,000","-7,361,000","-8,277,000","-7,705,000","-8,449,000","-9,302,000","-10,430,000","-8,815,000","-5,863,000",Upgrade,Financials in AUD,Fiscal year is July - June
Earnings From Continuing Operations,"-7,131,000","-1,034,000","-7,361,000","-8,277,000","-7,705,000","-8,449,000","-9,302,000","-10,430,000","-8,815,000","-5,863,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-7,131,000","-1,034,000","-7,361,000","-8,277,000","-7,705,000","-8,449,000","-9,302,000","-10,430,000","-8,815,000","-5,863,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-7,131,000","-1,034,000","-7,361,000","-8,277,000","-7,705,000","-8,449,000","-9,302,000","-10,430,000","-8,815,000","-5,863,000",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"412,001,324","410,864,776","409,481,820","408,588,694","407,481,947","406,318,249","405,953,238","387,798,476","372,544,287","371,919,697",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"412,001,324","410,864,776","409,481,820","408,588,694","407,481,947","406,318,249","405,953,238","387,798,476","372,544,287","371,919,697",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),0.615%,0.557%,0.491%,0.559%,0.377%,4.776%,8.968%,4.269%,0.236%,0.269%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.017,-0.003,-0.018,-0.020,-0.019,-0.021,-0.023,-0.027,-0.024,-0.016,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.017,-0.003,-0.020,-0.020,-0.019,-0.021,-0.023,-0.027,-0.024,-0.016,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-9,155,000","2,089,000","-9,389,000","-5,543,000","-2,563,000","-11,436,000","-9,573,000","-5,481,000","-5,669,000","-5,232,000",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.022,0.005,-0.023,-0.014,-0.006,-0.028,-0.024,-0.014,-0.015,-0.014,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-411.958%,-12.885%,-279.673%,-483.752%,-247.114%,-413.356%,-424.943%,-803.544%,-610.457%,-103.386%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-411.958%,-12.885%,-279.673%,-483.752%,-247.114%,-413.356%,-424.943%,-803.544%,-610.457%,-103.386%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-528.885%,26.031%,-356.725%,-323.963%,-82.200%,-559.491%,-437.323%,-422.265%,-392.590%,-92.259%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-6,983,000","-866,000","-7,182,000","-8,065,000","-7,506,000","-8,292,000","-9,145,000","-10,288,000","-8,677,000","-5,726,000",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"148,000","168,000","179,000","212,000","199,000","157,000","157,000","142,000","138,000","137,000",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-7,131,000","-1,034,000","-7,361,000","-8,277,000","-7,705,000","-8,449,000","-9,302,000","-10,430,000","-8,815,000","-5,863,000",Upgrade,Financials in AUD,Fiscal year is July - June
