Fiscal Quarter,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,+6 Quarters,Currency,Fiscal_Year_period
Period Ending,"Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Apr '12 Apr 30, 2012","Jan '12 Jan 31, 2012","Oct '11 Oct 31, 2011","Jul '11 Jul 31, 2011","Apr '11 Apr 30, 2011","Jan '11 Jan 31, 2011","Oct '10 Oct 31, 2010","Jul '10 Jul 31, 2010","Apr '10 Apr 30, 2010","Jan '10 Jan 31, 2010","Oct '09 Oct 31, 2009","Jul '09 Jul 31, 2009","Apr '09 Apr 30, 2009",+6 Quarters,,
Revenue,"1,217","2,333","2,333","1,056","1,144","1,519","1,519","137,794","53,888","53,076","25,998",79,"27,000","27,000","27,304","3,206","1,725","1,166","2,236",587,Upgrade,Financials in USD,Fiscal year is August - July
Revenue Growth (YoY),6.381%,53.588%,53.588%,-99.234%,-97.877%,-97.138%,-94.157%,174322.785%,99.585%,96.578%,-4.783%,-97.536%,1465.217%,2215.609%,1121.109%,446.167%,36.256%,-69.532%,-59.115%,-62.031%,Upgrade,Financials in USD,Fiscal year is August - July
Cost of Revenue,-,107,107,"2,227","2,068",-,-,-,-,34,"6,752",-,-,-,-,82,324,396,344,538,Upgrade,Financials in USD,Fiscal year is August - July
Gross Profit,"1,217","2,226","2,226","-1,171",-924,"1,519","1,519","137,794","53,888","53,042","19,246",79,"27,000","27,000","27,304","3,124","1,401",770,"1,892",49,Upgrade,Financials in USD,Fiscal year is August - July
"Selling, General & Admin","93,443","280,700","280,700","40,616","27,646","49,939","49,939","43,181","17,975","43,599","9,682","20,999","4,844","5,011","10,231","7,321","72,801","172,169","652,626","365,559",Upgrade,Financials in USD,Fiscal year is August - July
Research & Development,"203,408","298,042","209,338","301,731","199,664","135,891","135,891",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is August - July
Operating Expenses,"296,851","578,742","490,038","342,347","227,310","185,830","185,830","43,181","17,975","43,599","9,682","20,999","4,844","5,011","10,231","7,321","72,801","172,169","652,626","365,559",Upgrade,Financials in USD,Fiscal year is August - July
Operating Income,"-295,634","-576,516","-487,812","-343,518","-228,234","-184,311","-184,311","94,613","35,913","9,443","9,564","-20,920","22,156","21,989","17,073","-4,197","-71,400","-171,399","-650,734","-365,510",Upgrade,Financials in USD,Fiscal year is August - July
Interest Expense,"-1,538","-1,501","-1,502","-1,461","-1,400","-8,769","-8,770","-29,897","-14,275","-24,937","-8,977","-8,684","-26,979","-27,001","-27,010","-19,055","-21,963","-18,457","-20,086","-6,547",Upgrade,Financials in USD,Fiscal year is August - July
