Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"212,378","149,527","2,333","7,022","3,950",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),299.402%,6309.216%,-66.776%,77.772%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"39,384","18,945","76,430","3,019","1,413",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"172,994","130,582","-74,097","4,003","2,537",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","401,030","286,809","284,364","322,875","180,084","6,220",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"436,047","296,409","528,989","322,875","180,084","6,220",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-263,053","-165,827","-603,086","-318,872","-177,547","-6,220",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-85,292","-41,763","-165,446","-230,369","-2,291",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,293","1,013","7,348","6,501","2,000",-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-346,052","-206,577","-761,184","-542,740","-177,838","-6,220",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"67,497",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-346,052","-206,577","-761,184","-475,243","-177,838","-6,220",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-346,052","-206,577","-761,184","-475,243","-177,838","-6,220",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,"-3,534",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-346,052","-210,111","-761,184","-475,243","-177,838","-6,220",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-346,052","-210,111","-761,184","-475,243","-177,838","-6,220",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,160,313,863","1,304,469,561","621,860,636","512,926,145","499,993,540","499,993,540",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,160,313,863","1,304,469,561","621,860,636","512,926,145","499,993,540","499,993,540",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),171.208%,109.769%,21.238%,2.587%,-,46.910%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.001,-0.001,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.001,-0.001,-0.000,-0.000,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-177,719","-106,289","-172,375","-204,858","-85,219","2,271",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,81.456%,87.330%,-,57.007%,64.228%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-123.861%,-110.901%,-25850.236%,-4541.042%,-4494.861%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-162.942%,-140.517%,-32626.832%,-6767.915%,-4502.228%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-83.681%,-71.083%,-7388.556%,-2917.374%,-2157.443%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,"-150,827",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-100.869%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,"15,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-263,053","-165,827","-603,086","-318,872","-177,547","-6,220",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-123.861%,-110.901%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"5,760","7,492","8,211","1,678",-,Upgrade,Financials in USD,Fiscal year is January - December
