Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters,,
Revenue,"335,200,000","333,600,000","339,500,000","350,200,000","312,200,000","281,200,000","288,600,000","285,700,000","280,700,000","270,700,000",Upgrade,Financials in GBP,Fiscal year is July - June
Revenue Growth (YoY),-1.267%,-4.740%,8.744%,24.538%,8.177%,-1.575%,2.814%,5.541%,12.415%,13.358%,Upgrade,Financials in GBP,Fiscal year is July - June
Cost of Revenue,"413,500,000",-,"429,100,000",-,"367,400,000",-,"342,100,000",-,"339,800,000",-,Upgrade,Financials in GBP,Fiscal year is July - June
Gross Profit,"-78,300,000","333,600,000","-89,600,000","350,200,000","-55,200,000","281,200,000","-53,500,000","285,700,000","-59,100,000","270,700,000",Upgrade,Financials in GBP,Fiscal year is July - June
"Selling, General & Admin","116,300,000","100,000","109,700,000","100,000","89,300,000","100,000","96,500,000","200,000","87,700,000","300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Research & Development,"72,700,000",-,"76,600,000",-,"72,900,000",-,"68,100,000",-,"71,400,000",-,Upgrade,Financials in GBP,Fiscal year is July - June
Other Operating Expenses,"-300,600,000","300,600,000","-309,000,000","309,000,000","-246,200,000","246,200,000","-241,900,000","241,900,000","-236,300,000","236,300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Operating Expenses,"-106,100,000","307,500,000","-116,300,000","316,200,000","-82,900,000","252,300,000","-79,400,000","250,100,000","-77,200,000","243,400,000",Upgrade,Financials in GBP,Fiscal year is July - June
Operating Income,"27,800,000","26,100,000","26,700,000","34,000,000","27,700,000","28,900,000","25,900,000","35,600,000","18,100,000","27,300,000",Upgrade,Financials in GBP,Fiscal year is July - June
Interest Expense,"-7,600,000","-14,300,000","-9,200,000","-6,000,000","-3,700,000","-2,700,000","-2,800,000","-2,300,000","-2,300,000","-2,600,000",Upgrade,Financials in GBP,Fiscal year is July - June
Interest & Investment Income,"1,800,000","2,100,000","1,100,000",-,"300,000","100,000","200,000","200,000","200,000","100,000",Upgrade,Financials in GBP,Fiscal year is July - June
Earnings From Equity Investments,"13,800,000","5,300,000","4,100,000","6,400,000","2,000,000","3,200,000","7,300,000","5,800,000","3,800,000","5,100,000",Upgrade,Financials in GBP,Fiscal year is July - June
Other Non Operating Income (Expenses),"-1,700,000",-,"2,700,000",-,-,-,"300,000","-300,000",-,-,Upgrade,Financials in GBP,Fiscal year is July - June
EBT Excluding Unusual Items,"34,100,000","19,200,000","25,400,000","34,400,000","26,300,000","29,500,000","30,900,000","39,000,000","19,800,000","29,900,000",Upgrade,Financials in GBP,Fiscal year is July - June
Merger & Restructuring Charges,"-11,200,000","-2,900,000","1,500,000","-200,000","-3,000,000","-100,000","-200,000","-100,000","-1,600,000","-500,000",Upgrade,Financials in GBP,Fiscal year is July - June
