Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",,
Revenue,"11,238,817","12,066,552","10,112,775","6,301,598","5,411,124","5,032,920","3,914,671","2,387,117","1,053,858","1,715,630",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),11.135%,91.484%,86.889%,25.208%,38.227%,110.837%,271.461%,39.139%,-55.063%,-18.957%,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,272,835","2,660,116","3,284,635","1,531,221","1,031,803","1,169,379","838,090","391,653","132,481","171,188",Financials in USD,Fiscal year is January - December
Gross Profit,"8,965,982","9,406,436","6,828,140","4,770,377","4,379,321","3,863,541","3,076,581","1,995,464","921,377","1,544,442",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,907,749","14,040,818","11,734,976","7,710,408","7,984,803","6,653,682","4,847,107","4,528,651","4,485,077","3,461,612",Financials in USD,Fiscal year is January - December
Research & Development,"2,977,038","3,122,815","3,362,709","3,148,024","3,001,782","2,535,883","2,510,992","3,083,500","3,350,914","4,291,133",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-55,801","-79,208","-20,276","-13,483","-24,387",-868,"-15,588","3,225","-41,722",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,828,986","17,084,425","15,077,409","10,844,949","10,962,198","9,188,697","7,342,511","7,615,376","7,794,269","7,491,864",Financials in USD,Fiscal year is January - December
Operating Income,"-5,863,004","-7,677,989","-8,249,269","-6,074,572","-6,582,877","-5,325,156","-4,265,930","-5,619,912","-6,872,892","-5,947,422",Financials in USD,Fiscal year is January - December
Interest Expense,"-41,232","-359,771","-402,335","-22,200","-40,828","-66,832","-8,980","-91,744","-11,860","-14,392",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"61,704","26,885","38,513","12,225","34,920",-,"75,851",-,"189,674","174,810",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-22,345",-,"35,578",-,"126,385",-,"190,005",-,"38,330",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,842,532","-8,033,220","-8,613,091","-6,048,969","-6,588,785","-5,265,603","-4,199,059","-5,521,651","-6,695,078","-5,748,674",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-81,-,"-1,475",-,"-8,057",-,"-2,796",-,"-2,368",Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-26,746",-,"-44,083",-,"-7,576",-,"-10,556",-,"-60,603",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"402,324",-,-,-,"130,656",-,"318,077",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,842,532","-7,657,723","-8,613,091","-6,094,527","-6,588,785","-5,150,580","-4,199,059","-5,216,926","-6,695,078","-5,811,645",Financials in USD,Fiscal year is January - December
Net Income,"-5,842,532","-7,657,723","-8,613,091","-6,094,527","-6,588,785","-5,150,580","-4,199,059","-5,216,926","-6,695,078","-5,811,645",Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,842,532","-7,657,723","-8,613,091","-6,094,527","-6,588,785","-5,150,580","-4,199,059","-5,216,926","-6,695,078","-5,811,645",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"291,695,103","253,399,182","214,790,134","214,861,771","206,074,319","197,991,994","195,773,630","193,545,007","180,825,331","179,824,493",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"291,695,103","253,399,182","214,790,134","214,861,771","206,074,319","197,991,994","195,773,630","193,545,007","180,825,331","179,824,493",Financials in USD,Fiscal year is January - December
Shares Change (YoY),35.805%,17.936%,4.229%,8.520%,5.262%,2.298%,8.267%,7.630%,18.860%,38.344%,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.020,-0.030,-0.040,-0.028,-0.032,-0.026,-0.021,-0.027,-0.037,-0.032,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.020,-0.030,-0.040,-0.028,-0.032,-0.026,-0.021,-0.027,-0.037,-0.032,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,048,973","-7,278,268","-8,076,145","-5,522,755","-6,355,987","-5,139,655","-3,265,191","-7,182,011","-4,937,877","-5,507,890",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.017,-0.029,-0.038,-0.026,-0.031,-0.026,-0.017,-0.037,-0.027,-0.031,Financials in USD,Fiscal year is January - December
Operating Margin,-52.167%,-63.630%,-81.573%,-96.397%,-121.655%,-105.806%,-108.973%,-235.427%,-652.165%,-346.661%,Financials in USD,Fiscal year is January - December
Profit Margin,-51.985%,-63.462%,-85.170%,-96.714%,-121.764%,-102.338%,-107.265%,-218.545%,-635.292%,-338.747%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-44.924%,-60.318%,-79.861%,-87.641%,-117.461%,-102.121%,-83.409%,-300.865%,-468.552%,-321.042%,Financials in USD,Fiscal year is January - December
EBITDA,"-5,263,004","-7,393,285","-7,749,269","-5,852,310","-6,396,956","-5,136,238","-4,083,007","-5,452,850","-6,710,602","-5,925,010",Financials in USD,Fiscal year is January - December
