Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Jul '24 Jul 31, 2024","Oct '23 Oct 31, 2023","Oct '22 Oct 31, 2022","Oct '21 Oct 31, 2021","Oct '20 Oct 31, 2020","Oct '19 Oct 31, 2019",,
Cost of Revenue,"331,779","332,990","225,181",-,-,-,Financials in CAD,Fiscal year is November - October
Gross Profit,"-331,778","-332,990","-225,181",-,-,-,Financials in CAD,Fiscal year is November - October
"Selling, General & Admin","595,542","1,169,633","1,492,637","1,963,775","56,466","2,535",Financials in CAD,Fiscal year is November - October
Research & Development,"333,502","282,276","1,182,537","1,078,963",-,-,Financials in CAD,Fiscal year is November - October
Operating Expenses,"954,202","1,495,773","2,838,111","4,291,579","56,466","2,535",Financials in CAD,Fiscal year is November - October
Operating Income,"-1,285,980","-1,828,763","-3,063,292","-4,291,579","-56,466","-2,535",Financials in CAD,Fiscal year is November - October
Interest Expense,"-235,083","-728,410","-662,905","-134,882",-,-,Financials in CAD,Fiscal year is November - October
Other Non Operating Income (Expenses),"-3,344","40,017","14,381",-,-,-,Financials in CAD,Fiscal year is November - October
EBT Excluding Unusual Items,"-1,524,407","-2,517,156","-3,711,816","-4,426,461","-56,466","-2,535",Financials in CAD,Fiscal year is November - October
Gain (Loss) on Sale of Assets,"999,296","999,296",-,-,-,-,Financials in CAD,Fiscal year is November - October
Asset Writedown,-,-,-,"-109,045",-,-,Financials in CAD,Fiscal year is November - October
Other Unusual Items,"-17,454",-,"14,548",-,-,-,Financials in CAD,Fiscal year is November - October
Pretax Income,"-542,565","-1,517,860","-3,697,268","-4,535,506","-56,466","-2,535",Financials in CAD,Fiscal year is November - October
Income Tax Expense,-,-,"-129,946","-168,308",-,-,Financials in CAD,Fiscal year is November - October
Net Income,"-542,565","-1,517,860","-3,567,322","-4,367,198","-56,466","-2,535",Financials in CAD,Fiscal year is November - October
Net Income to Common,"-542,565","-1,517,860","-3,567,322","-4,367,198","-56,466","-2,535",Financials in CAD,Fiscal year is November - October
Shares Outstanding (Basic),"46,689,716","47,269,237","46,677,778","44,957,177","28,227,186","1,705,753",Financials in CAD,Fiscal year is November - October
Shares Outstanding (Diluted),"46,689,716","47,269,237","46,677,778","44,957,177","28,227,186","1,705,753",Financials in CAD,Fiscal year is November - October
Shares Change (YoY),-0.917%,1.267%,3.827%,59.269%,1554.823%,-,Financials in CAD,Fiscal year is November - October
EPS (Basic),-0.012,-0.032,-0.076,-0.097,-0.002,-0.001,Financials in CAD,Fiscal year is November - October
EPS (Diluted),-0.012,-0.032,-0.076,-0.097,-0.002,-0.001,Financials in CAD,Fiscal year is November - October
Free Cash Flow,"-172,775","-198,256","-1,819,455","-3,026,213","-2,778",-708,Financials in CAD,Fiscal year is November - October
Free Cash Flow Per Share,-0.004,-0.004,-0.039,-0.067,-0.000,-0.000,Financials in CAD,Fiscal year is November - October
EBITDA,"-1,283,700","-1,825,196","-3,058,596","-4,280,576",-,-,Financials in CAD,Fiscal year is November - October
D&A For EBITDA,"2,280","3,567","4,696","11,003",-,-,Financials in CAD,Fiscal year is November - October
EBIT,"-1,285,980","-1,828,763","-3,063,292","-4,291,579","-56,466","-2,535",Financials in CAD,Fiscal year is November - October
Advertising Expenses,-,"362,065","136,162","409,459",-,-,Financials in CAD,Fiscal year is November - October
