Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020",,
Other Revenue,"-3,512,785","10,970,443","1,495,875","3,009,854","2,617,122",-,-,-,Financials in AUD,Fiscal year is July - June
Revenue,"-3,512,785","10,970,443","1,495,875","3,009,854","2,617,122",-,-,-,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),-,264.484%,-42.843%,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Gross Profit,"-3,512,785","10,970,443","1,495,875","3,009,854","2,617,122",-,-,-,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","4,764,047","4,235,321","6,306,297","5,426,710","4,792,384","3,112,270","7,163,467","1,802,514",Financials in AUD,Fiscal year is July - June
Research & Development,"6,805,648","4,342,354","7,206,389","7,225,949","2,213,599","3,902,391","2,436,161","1,342,221",Financials in AUD,Fiscal year is July - June
Other Operating Expenses,-,-,-,-,"-198,457","198,457","-60,458","60,458",Financials in AUD,Fiscal year is July - June
Operating Expenses,"11,505,918","9,213,278","14,828,855","14,658,344","7,645,699","9,544,000","11,243,663","3,603,027",Financials in AUD,Fiscal year is July - June
Operating Income,"-15,018,703","1,757,165","-13,332,980","-11,648,490","-5,028,577","-9,544,000","-11,243,663","-3,603,027",Financials in AUD,Fiscal year is July - June
Interest Expense,-80,"-331,731","-763,543","-10,302","-489,003","-151,124","-9,581",-,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"72,885","48,430","11,976","15,589","6,770","6,207","2,627",19,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"55,674",-,"-93,872",-,"-532,888",-,"-263,790",-,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),"-897,182","897,182",-,-,-,-,"3,704",-,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-15,787,406","2,371,046","-14,178,419","-11,643,203","-6,043,698","-9,688,917","-11,510,703","-3,603,008",Financials in AUD,Fiscal year is July - June
Gain (Loss) on Sale of Assets,-994,-,"-2,448",-,"-2,065",-,-,-,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"897,182",-,-,-,-,-,-,-,Financials in AUD,Fiscal year is July - June
Pretax Income,"-14,891,218","2,371,046","-14,180,867","-11,643,203","-6,045,763","-9,688,917","-11,510,703","-3,603,008",Financials in AUD,Fiscal year is July - June
Income Tax Expense,"82,628","-72,951","-11,541","104,361","163,720",-,-,-,Financials in AUD,Fiscal year is July - June
Net Income,"-14,973,846","2,443,997","-14,169,326","-11,747,564","-6,209,483","-9,688,917","-11,510,703","-3,603,008",Financials in AUD,Fiscal year is July - June
Net Income to Common,"-14,973,846","2,443,997","-14,169,326","-11,747,564","-6,209,483","-9,688,917","-11,510,703","-3,603,008",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"833,634,400","557,644,648","438,896,488","427,592,592","386,908,680","332,956,204","307,739,977","56,051,265",Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"833,634,400","557,644,648","438,896,488","427,592,592","386,908,680","332,956,204","307,739,977","56,051,265",Financials in AUD,Fiscal year is July - June
Shares Change (YoY),89.939%,30.415%,13.437%,28.423%,25.726%,494.021%,-,-,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.018,0.004,-0.032,-0.027,-0.016,-0.029,-0.037,-0.064,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.018,0.004,-0.032,-0.027,-0.016,-0.029,-0.037,-0.064,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-2,856,929","-4,680,795","-3,628,314","-12,677,439","-6,973,090","-6,192,090","-6,961,970","-1,887,019",Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.003,-0.008,-0.008,-0.030,-0.018,-0.019,-0.023,-0.034,Financials in AUD,Fiscal year is July - June
Operating Margin,-,16.017%,-891.316%,-387.012%,-192.141%,-,-,-,Financials in AUD,Fiscal year is July - June
Profit Margin,-,22.278%,-947.227%,-390.303%,-237.264%,-,-,-,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-,-42.667%,-242.555%,-421.198%,-266.441%,-,-,-,Financials in AUD,Fiscal year is July - June
EBITDA,"-14,423,415","2,243,940","-12,846,200","-11,169,919","-4,552,479","-9,070,336","-13,999,730",-,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"595,288","486,775","486,780","478,571","476,098","473,664",-,-,Financials in AUD,Fiscal year is July - June
EBIT,"-15,018,703","1,757,165","-13,332,980","-11,648,490","-5,028,577","-9,544,000","-11,243,663","-3,603,027",Financials in AUD,Fiscal year is July - June
