Fiscal Quarter,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,Q1 2010,Q4 2002,Currency,Fiscal_Year_period
Period Ending,"May '12 May 31, 2012","Feb '12 Feb 29, 2012","Nov '11 Nov 30, 2011","Aug '11 Aug 31, 2011","May '11 May 31, 2011","Feb '11 Feb 28, 2011","Nov '10 Nov 30, 2010","Aug '10 Aug 31, 2010","May '10 May 31, 2010","Feb '10 Feb 28, 2010","Nov '09 Nov 30, 2009","Aug '09 Aug 31, 2009","May '02 May 31, 2002",,
"Selling, General & Admin","26,080","20,409","21,044","23,210","24,648","27,038","21,929","33,165","27,528","41,995","35,001","62,809","24,437",Financials in USD,Fiscal year is June - May
Operating Expenses,"8,720","20,409","21,044","40,570","24,648","6,027,038","21,929","33,165","27,528","41,995","35,001","62,809","24,437",Financials in USD,Fiscal year is June - May
Operating Income,"-8,720","-20,409","-21,044","-40,570","-24,648","-6,027,038","-21,929","-33,165","-27,528","-41,995","-35,001","-62,809","-24,437",Financials in USD,Fiscal year is June - May
Interest Expense,"-34,177","-33,753","-33,295","-35,549","-35,337","-35,223","-36,201","-34,079","-79,191",-,"-41,014","-25,957","-3,894",Financials in USD,Fiscal year is June - May
Interest & Investment Income,-,-,"1,548","1,548","2,884","4,644",-,-,-,"24,924",-,-,-,Financials in USD,Fiscal year is June - May
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,"43,304",-,Financials in USD,Fiscal year is June - May
Pretax Income,"-42,897","-54,162","-52,791","-74,571","-57,101","-6,057,617","-58,130","-67,244","-106,719","-17,071","-76,015","-45,462","-28,331",Financials in USD,Fiscal year is June - May
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,"-4,508",Financials in USD,Fiscal year is June - May
Earnings From Continuing Operations,"-42,897","-54,162","-52,791","-74,571","-57,101","-6,057,617","-58,130","-67,244","-106,719","-17,071","-76,015","-45,462","-23,823",Financials in USD,Fiscal year is June - May
Earnings From Discontinued Operations,-,-,-,-,-,-,"5,082",-,-648,-397,-598,-,"15,542",Financials in USD,Fiscal year is June - May
Net Income,"-42,897","-54,162","-52,791","-74,571","-57,101","-6,057,617","-53,048","-67,244","-107,367","-17,468","-76,613","-45,462","-8,281",Financials in USD,Fiscal year is June - May
Net Income to Common,"-42,897","-54,162","-52,791","-74,571","-57,101","-6,057,617","-53,048","-67,244","-107,367","-17,468","-76,613","-45,462","-8,281",Financials in USD,Fiscal year is June - May
Shares Outstanding (Basic),"3,268,971,252","3,109,655,214","2,729,962,906","2,638,558,834","2,397,231,439","202,495,658","178,051,210","169,000,000","229,948,644","145,380,224","145,380,224","168,188,824","1,349,500",Financials in USD,Fiscal year is June - May
Shares Outstanding (Diluted),"3,268,971,252","3,109,655,214","2,729,962,906","2,638,558,834","2,397,231,439","202,495,658","178,051,210","169,000,000","229,948,644","145,380,224","145,380,224","168,188,824","1,349,500",Financials in USD,Fiscal year is June - May
Shares Change (YoY),36.364%,1435.665%,1433.246%,1461.277%,942.507%,39.287%,22.473%,0.482%,16939.544%,-,-,-,-,Financials in USD,Fiscal year is June - May
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.030,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.006,Financials in USD,Fiscal year is June - May
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.030,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.006,Financials in USD,Fiscal year is June - May
Free Cash Flow,"-13,071","-15,702","-38,340","-3,489","-27,760","-54,139","12,207","-26,624","-170,732","-77,991","172,437","-219,017","-13,828",Financials in USD,Fiscal year is June - May
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.001,-0.001,0.001,-0.001,-0.010,Financials in USD,Fiscal year is June - May
EBIT,"-8,720","-20,409","-21,044","-40,570","-24,648","-6,027,038","-21,929","-33,165","-27,528","-41,995","-35,001","-62,809","-24,437",Financials in USD,Fiscal year is June - May
