Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"3,310,259","3,689,122","3,685,881","3,816,684","4,111,583","5,097,994","5,110,619","3,458,330","3,177,177","3,235,727","3,573,308","2,899,144","1,665,642","698,608","649,333","972,340","798,352","509,175",-,"1,163,832",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,472","20,023","21,716","45,369","16,729","24,244",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"3,310,259","3,689,122","3,685,881","3,816,684","4,111,583","5,097,994","5,110,619","3,458,330","3,177,177","3,235,727","3,573,308","2,899,144","1,665,642","698,608","663,805","992,363","820,068","554,544","16,729","1,188,076",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-19.489%,-27.636%,-27.878%,10.362%,29.410%,57.553%,43.022%,19.288%,90.748%,363.168%,438.307%,192.146%,103.110%,25.979%,3867.990%,-16.473%,-4.967%,-32.407%,-97.896%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,957,455","1,687,442","2,189,095","2,833,354","2,442,541","3,230,777","3,057,714","2,720,492","2,036,532","1,745,575","2,074,888","1,899,638","1,473,209","511,426","555,205","803,352","304,031","281,243",-,"797,786",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,352,804","2,001,680","1,496,786","983,330","1,669,042","1,867,217","2,052,905","737,838","1,140,645","1,490,152","1,498,420","999,506","192,433","187,182","108,600","189,011","516,037","273,301","16,729","390,290",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,444,958","1,570,971","1,768,822","1,654,668","2,015,900","3,029,317","2,903,784","2,804,048","1,660,467","1,450,257","1,607,500","962,948","817,270","935,892","861,006","-416,140","1,413,898","1,371,020","1,448,272","1,315,933",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,624,443","1,787,878","1,974,134","1,708,930","2,276,250","3,337,950","3,224,022","2,976,023","1,797,842","1,352,652","1,915,463","1,271,541","1,064,461","967,032","1,082,619","-236,189","1,881,879","1,826,482","2,048,950","2,304,828",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-271,639","213,802","-477,348","-725,600","-607,208","-1,470,733","-1,171,117","-2,238,185","-657,197","137,500","-417,043","-272,035","-872,028","-779,850","-974,019","425,200","-1,365,842","-1,553,181","-2,032,221","-1,914,538",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-591,539","-631,477","-674,073","-491,315","-516,027","-936,805","-630,988","-519,952","-1,499,225","-392,706","-388,632","-397,325","-367,019","-376,087","-171,386","-189,503","-145,718","-176,188","-237,369","-114,145",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"6,770","3,223","1,493","-1,567","523,949","373,783","1,307",-206,"16,365","59,258","-60,664","184,977","52,452","102,761","-1,200,211","-1,613,599","1,076,264","-4,541","1,375,620","-3,026,874",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-856,408","-414,452","-1,149,928","-1,218,482","-599,286","-2,033,755","-1,800,798","-2,758,343","-2,140,057","-195,948","-866,339","-484,383","-1,186,595","-1,053,176","-2,345,616","-1,377,902","-435,296","-1,733,910","-893,970","-5,055,557",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-23,816",-,-,-,"2,400","-2,400",-,"-13,000",-,"13,000",-,"-131,512","132,979",-,-,"-139,187",-,82,"139,105",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-1,516,000",-,-,-,"-3,004,319",-,-,-,"-3,010,420",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"34,876","469,907","-102,851","492,148","-218,237",-,-,-,"-310,622",-,-,"-115,054","-233,374",-,-,"-1,800,271",-,"-48,908","-1,137,428","-246,560",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-845,348","55,455","-1,252,779","-2,242,334","-815,123","-2,036,155","-1,800,798","-5,775,662","-2,450,679","-182,948","-866,339","-3,741,369","-1,286,990","-1,053,176","-2,345,616","-3,317,360","-435,296","-1,782,736","-1,892,293","-5,302,117",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-336,339","1,190,087","136,983","102,112",-,-,"85,736","-49,083","254,000",-,-,-,-,-,-,"-108,731","68,196","40,535",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-509,009","-1,134,632","-1,389,762","-2,344,446","-815,123","-2,036,155","-1,886,534","-5,726,579","-2,704,679","-182,948","-866,339","-3,741,369","-1,286,990","-1,053,176","-2,345,616","-3,208,629","-503,492","-1,823,271","-1,892,293","-5,302,117",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,195,-,"5,283","-65,094","-40,605","-323,077","-13,452","58,483","-70,968","-117,636","-121,886","-518,861",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-509,009","-1,134,632","-1,389,762","-2,344,446","-815,123","-2,036,155","-1,886,534","-5,726,579","-2,704,484","-182,948","-861,056","-3,806,463","-1,327,595","-1,376,253","-2,359,068","-3,150,146","-574,460","-1,940,907","-2,014,179","-5,820,978",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"17,700",-,-,-,"17,700","17,700","70,800",-,-,-,-,-,-,"732,494",-,"98,000",-,"1,149,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-509,009","-1,134,632","-1,407,462","-2,344,446","-815,123","-2,036,155","-1,904,234","-5,744,279","-2,775,284","-182,948","-861,056","-3,806,463","-1,327,595","-1,376,253","-2,359,068","-3,882,640","-574,460","-2,038,907","-2,014,179","-6,969,978",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"108,746,520","108,746,520","108,746,520","112,795,062","118,664,094","118,664,094","118,664,094","100,527,690","96,192,184","96,192,184","95,749,505","85,004,957","69,122,293","62,183,748","61,563,379","59,726,350","58,097,819","46,013,634","39,668,646","38,106,781",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"108,746,520","108,746,520","108,746,520","112,795,062","118,664,094","118,664,094","118,664,094","100,527,690","96,192,184","96,192,184","95,749,505","85,004,957","69,122,293","62,183,748","61,563,379","59,726,350","58,097,819","46,013,634","39,668,646","38,106,781",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-8.358%,-8.358%,-8.358%,12.203%,23.361%,23.361%,23.932%,18.261%,39.162%,54.690%,55.530%,42.324%,18.976%,35.142%,55.194%,56.734%,47.447%,23.475%,9.513%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.005,-0.010,-0.013,-0.021,-0.007,-0.017,-0.016,-0.057,-0.029,-0.002,-0.009,-0.045,-0.019,-0.022,-0.038,-0.065,-0.010,-0.044,-0.051,-0.183,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.005,-0.010,-0.013,-0.021,-0.007,-0.017,-0.016,-0.057,-0.029,-0.002,-0.009,-0.045,-0.019,-0.022,-0.040,-0.065,-0.010,-0.044,-0.051,-0.183,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"83,057","-315,522","-295,105","-16,612","-262,672","-366,762","-527,275","-1,182,922","-668,847","-296,351","36,652","-170,714","213,767","-1,312,737","-1,714,039","-774,443","-1,292,708","-1,762,169","-1,485,839","-821,897",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.001,-0.003,-0.003,-0.000,-0.002,-0.003,-0.004,-0.012,-0.007,-0.003,0.000,-0.002,0.003,-0.021,-0.028,-0.013,-0.022,-0.038,-0.037,-0.022,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,40.867%,54.259%,40.609%,25.764%,40.594%,36.627%,40.169%,21.335%,35.901%,46.053%,41.934%,34.476%,11.553%,26.794%,16.360%,19.047%,62.926%,49.284%,100.000%,32.850%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-8.206%,5.795%,-12.951%,-19.011%,-14.768%,-28.849%,-22.915%,-64.719%,-20.685%,4.249%,-11.671%,-9.383%,-52.354%,-111.629%,-146.733%,42.847%,-166.552%,-280.083%,-12147.893%,-161.146%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-15.377%,-30.756%,-38.185%,-61.426%,-19.825%,-39.940%,-37.260%,-166.100%,-87.351%,-5.654%,-24.097%,-131.296%,-79.705%,-196.999%,-355.386%,-391.252%,-70.050%,-367.673%,-12040.044%,-586.661%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,2.509%,-8.553%,-8.006%,-0.435%,-6.389%,-7.194%,-10.317%,-34.205%,-21.052%,-9.159%,1.026%,-5.888%,12.834%,-187.908%,-258.214%,-78.040%,-157.634%,-317.769%,-8881.816%,-69.179%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-41,136","379,690","-287,004","-686,214","-355,603","-1,180,154","-878,275","-2,097,579","-558,282","183,428","-185,197","-77,285","-756,673","-707,062","-856,338","526,519","-1,325,218","-1,527,354","-2,000,308","-1,879,222",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-1.243%,10.292%,-7.787%,-17.979%,-8.649%,-23.149%,-17.185%,-60.653%,-17.572%,5.669%,-5.183%,-2.666%,-45.428%,-101.210%,-129.004%,53.057%,-161.599%,-275.425%,-,-158.173%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"230,503","165,888","190,344","39,386","251,605","290,579","292,842","140,606","98,915","45,928","231,846","194,750","115,355","72,788","117,681","101,319","40,624","25,827","31,913","35,316",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-271,639","213,802","-477,348","-725,600","-607,208","-1,470,733","-1,171,117","-2,238,185","-657,197","137,500","-417,043","-272,035","-872,028","-779,850","-974,019","425,200","-1,365,842","-1,553,181","-2,032,221","-1,914,538",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-8.206%,5.795%,-12.951%,-19.011%,-14.768%,-28.849%,-22.915%,-64.719%,-20.685%,4.249%,-11.671%,-9.383%,-52.354%,-111.629%,-146.733%,42.847%,-166.552%,-280.082%,-,-161.146%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,2146.041%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"3,310,259","3,689,122","3,685,881","3,816,684","4,111,583","5,097,994","5,110,619","3,458,330","3,177,177","3,235,727","3,573,308","2,899,144","1,665,642","698,608","663,805","992,363","820,068","554,544","16,729","1,188,076",Upgrade,Financials in USD,Fiscal year is January - December
