Fiscal Quarter,Q3 2013,Q3 2011,Q2 2011,Q1 2011,Q2 2009,Q1 2009,Currency,Fiscal_Year_period
Period Ending,"Sep '13 Sep 30, 2013","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jun '09 Jun 30, 2009","Mar '09 Mar 31, 2009",,
Revenue,"5,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"5,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","123,327","15,902","37,154","11,488","135,626","108,673",Financials in USD,Fiscal year is January - December
Operating Expenses,"123,327","15,902","37,154","11,488","177,754","150,801",Financials in USD,Fiscal year is January - December
Operating Income,"-123,327","-15,902","-37,154","-11,488","-177,754","-150,801",Financials in USD,Fiscal year is January - December
Interest Expense,"-54,361","-8,426","-8,426","-8,426","-13,438","-13,438",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-1,-1,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-177,688","-24,329","-45,581","-19,914","-191,192","-164,239",Financials in USD,Fiscal year is January - December
Net Income,"-177,688","-24,329","-45,581","-19,914","-191,192","-164,239",Financials in USD,Fiscal year is January - December
Net Income to Common,"-177,688","-24,329","-45,581","-19,914","-191,192","-164,239",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"161,500,022","40,312,500","40,000,000","40,000,000","6,169,539","4,430,163",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"161,500,022","40,312,500","40,000,000","40,000,000","6,169,539","4,430,163",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2517.700%,809.955%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,-0.001,-0.001,-0.000,-0.031,-0.037,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.001,-0.001,-0.000,-0.031,-0.037,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-14,299","-3,417","-36,557","-13,196",-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.001,-0.000,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-2466.540%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-3553.760%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-285.980%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-122,174","-15,611","-36,862","-11,196","-135,626","-108,673",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,153",291,292,292,"42,128","42,128",Financials in USD,Fiscal year is January - December
EBIT,"-123,327","-15,902","-37,154","-11,488","-177,754","-150,801",Financials in USD,Fiscal year is January - December
