Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
Operating Revenue,"3,923,000","12,902,000","7,168,000","33,963,000","215,000,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"447,000","421,000","1,861,000","1,803,000","695,000","1,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"4,370,000","13,323,000","9,029,000","35,766,000","215,695,000","1,412,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-69.899%,47.558%,-74.755%,-83.418%,15175.850%,-88.274%,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"4,370,000","13,323,000","9,029,000","35,766,000","215,695,000","1,412,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","32,604,000","28,415,000","18,800,000","17,511,000","16,411,000","6,195,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,"28,985,000","40,868,000","41,572,000","28,295,000","20,716,000","8,999,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"63,861,000","71,405,000","62,185,000","46,541,000","37,430,000","15,354,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-59,491,000","-58,082,000","-53,156,000","-10,775,000","178,265,000","-13,942,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-201,000","-224,000","-241,000","-130,000","-46,000","-29,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"8,372,000","8,946,000","3,687,000","270,000","198,000","387,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"3,339,000","5,274,000","-1,237,000","-625,000","2,633,000","-60,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,000",-,"-138,000","27,000","-212,000","-6,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-47,982,000","-44,086,000","-51,085,000","-11,233,000","180,838,000","-13,650,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"102,000","115,000","66,000","-46,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-47,982,000","-44,086,000","-50,983,000","-11,118,000","180,904,000","-13,696,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-10,580,000","-8,932,000","-8,240,000","-1,704,000","31,130,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-37,402,000","-35,154,000","-42,743,000","-9,414,000","149,774,000","-13,696,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-37,402,000","-35,154,000","-42,743,000","-9,414,000","149,774,000","-13,696,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"287,720,364","300,520,364","290,118,981","286,344,833","279,643,165","273,013,821",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"287,720,364","300,520,364","290,118,981","286,344,833","296,145,297","292,811,483",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-14.879%,3.585%,1.318%,-3.309%,1.139%,20.797%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.130,-0.117,-0.147,-0.033,0.536,-0.050,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.130,-0.120,-0.150,-0.033,0.510,-0.050,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-86,957,000","-98,526,000","-23,368,000","284,000","180,167,000","-10,565,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.302,-0.328,-0.081,0.001,0.608,-0.036,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1361.350%,-435.953%,-588.725%,-30.126%,82.647%,-987.394%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-855.881%,-263.859%,-473.397%,-26.321%,69.438%,-969.972%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1989.863%,-739.518%,-258.810%,0.794%,83.529%,-748.229%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-58,752,000","-57,453,000","-52,741,000","-10,690,000","178,296,000","-13,927,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-29.889%,82.661%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"739,000","629,000","415,000","85,000","31,000","15,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-59,491,000","-58,082,000","-53,156,000","-10,775,000","178,265,000","-13,942,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-30.126%,82.647%,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,17.208%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"4,370,000","13,323,000","9,029,000","35,766,000","215,695,000","1,412,000",Upgrade,Financials in USD,Fiscal year is January - December
