Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Jan '23 Jan 31, 2023","Apr '22 Apr 30, 2022","Apr '21 Apr 30, 2021","Apr '20 Apr 30, 2020",,
Revenue,"586,976","276,473",-,-,Financials in CAD,Fiscal year is May - April
Cost of Revenue,"378,366","186,780",-,-,Financials in CAD,Fiscal year is May - April
Gross Profit,"208,610","89,693",-,-,Financials in CAD,Fiscal year is May - April
"Selling, General & Admin","2,612,995","4,943,947","4,917,492","493,488",Financials in CAD,Fiscal year is May - April
Research & Development,"500,434","655,804","332,571",-,Financials in CAD,Fiscal year is May - April
Operating Expenses,"3,804,404","8,067,330","19,426,990","493,488",Financials in CAD,Fiscal year is May - April
Operating Income,"-3,595,794","-7,977,637","-19,426,990","-493,488",Financials in CAD,Fiscal year is May - April
Interest Expense,"-15,253","-64,144","-17,495",-,Financials in CAD,Fiscal year is May - April
Interest & Investment Income,"30,000","30,000",-,"6,576",Financials in CAD,Fiscal year is May - April
Currency Exchange Gain (Loss),"-9,170","-25,796","-10,000",-,Financials in CAD,Fiscal year is May - April
Other Non Operating Income (Expenses),"-1,509,495","-2,612,829","-10,926,148",-,Financials in CAD,Fiscal year is May - April
EBT Excluding Unusual Items,"-5,099,712","-10,650,406","-30,380,633","-486,912",Financials in CAD,Fiscal year is May - April
Asset Writedown,"-9,843,261","-11,793,142",-,-,Financials in CAD,Fiscal year is May - April
Pretax Income,"-15,710,916","-22,443,548","-30,380,633","-486,912",Financials in CAD,Fiscal year is May - April
Net Income,"-15,710,916","-22,443,548","-30,380,633","-486,912",Financials in CAD,Fiscal year is May - April
Net Income to Common,"-15,710,916","-22,443,548","-30,380,633","-486,912",Financials in CAD,Fiscal year is May - April
Shares Outstanding (Basic),"7,129,369","4,278,817","1,958,950","104,052",Financials in CAD,Fiscal year is May - April
Shares Outstanding (Diluted),"7,129,369","4,278,817","1,958,950","104,052",Financials in CAD,Fiscal year is May - April
Shares Change (YoY),84.531%,118.424%,1782.664%,-,Financials in CAD,Fiscal year is May - April
EPS (Basic),-2.204,-5.245,-15.509,-4.680,Financials in CAD,Fiscal year is May - April
EPS (Diluted),-2.204,-5.245,-15.509,-4.680,Financials in CAD,Fiscal year is May - April
Free Cash Flow,"-2,609,210","-7,978,134","-10,454,608","-900,180",Financials in CAD,Fiscal year is May - April
Free Cash Flow Per Share,-0.366,-1.865,-5.337,-8.651,Financials in CAD,Fiscal year is May - April
Gross Margin,35.540%,32.442%,-,-,Financials in CAD,Fiscal year is May - April
Operating Margin,-612.596%,-2885.503%,-,-,Financials in CAD,Fiscal year is May - April
Profit Margin,-2676.586%,-8117.808%,-,-,Financials in CAD,Fiscal year is May - April
Free Cash Flow Margin,-444.517%,-2885.683%,-,-,Financials in CAD,Fiscal year is May - April
EBITDA,"-3,502,641","-7,496,334","-14,845,193",-,Financials in CAD,Fiscal year is May - April
D&A For EBITDA,"93,153","481,303","4,581,797",-,Financials in CAD,Fiscal year is May - April
EBIT,"-3,595,794","-7,977,637","-19,426,990","-493,488",Financials in CAD,Fiscal year is May - April
Advertising Expenses,-,"206,220","333,503",-,Financials in CAD,Fiscal year is May - April
