Fiscal Quarter,Q2 2008,Q1 2008,Q4 2007,Q3 2007,Q2 2007,Q1 2007,Currency,Fiscal_Year_period
Period Ending,"Jun '08 Jun 30, 2008","Mar '08 Mar 31, 2008","Dec '07 Dec 31, 2007","Sep '07 Sep 30, 2007","Jun '07 Jun 30, 2007","Mar '07 Mar 31, 2007",,
Revenue,"6,335,845","2,332","4,501,808","-1,058","1,613","1,613",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),392698.822%,44.575%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"4,942,858","1,669","3,433,850",-769,"1,229","1,229",Financials in USD,Fiscal year is January - December
Gross Profit,"1,392,987",663,"1,067,958",-289,384,384,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,154,723",577,"1,842,430","-1,508",859,859,Financials in USD,Fiscal year is January - December
Operating Expenses,"1,218,696",604,"1,989,283","-1,361",859,859,Financials in USD,Fiscal year is January - December
Operating Income,"174,291",59,"-921,325","1,072",-475,-475,Financials in USD,Fiscal year is January - December
Interest Expense,"-68,846",-56,"-68,126",-,-53,-53,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,80,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"15,230",19,"6,359",-4,5,5,Financials in USD,Fiscal year is January - December
Pretax Income,"120,675",22,"-983,092","1,148",-522,-522,Financials in USD,Fiscal year is January - December
Net Income,"120,675",22,"-983,092","1,148",-522,-522,Financials in USD,Fiscal year is January - December
Net Income to Common,"120,675",22,"-983,092","1,148",-522,-522,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"17,766,878","17,582,279","17,582,279","20,786,079","15,980,379","15,980,379",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"17,766,878","17,582,279","17,582,279","20,786,079","15,980,379","15,980,379",Financials in USD,Fiscal year is January - December
Shares Change (YoY),11.179%,10.024%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),0.007,0.000,-0.056,0.000,-0.000,-0.000,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.007,0.000,-0.056,0.000,-0.000,-0.000,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,-,-,-,-250,-250,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-,-,-,-0.000,-0.000,Financials in USD,Fiscal year is January - December
Gross Margin,21.986%,28.430%,23.723%,-,23.806%,23.806%,Financials in USD,Fiscal year is January - December
Operating Margin,2.751%,2.530%,-20.466%,-,-29.448%,-29.448%,Financials in USD,Fiscal year is January - December
Profit Margin,1.905%,0.943%,-21.838%,-,-32.362%,-32.362%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-15.499%,-15.499%,Financials in USD,Fiscal year is January - December
EBITDA,"238,264",86,"-874,221","1,166",-381,-381,Financials in USD,Fiscal year is January - December
EBITDA Margin,3.760%,3.688%,-19.419%,-,-23.620%,-23.620%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"63,973",27,"47,104",94,94,94,Financials in USD,Fiscal year is January - December
EBIT,"174,291",59,"-921,325","1,072",-475,-475,Financials in USD,Fiscal year is January - December
EBIT Margin,2.751%,2.530%,-20.466%,-,-29.448%,-29.448%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"6,338,177",-,-,-,-,-,Financials in USD,Fiscal year is January - December
