Fiscal Quarter,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,+11 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+11 Quarters,,
Revenue,"235,941","169,864","209,788","115,059","100,205","273,932","420,907","902,354","555,870","559,940","888,261","1,395,325","1,466,824","2,209,388","1,154,311","1,579,823","1,215,810","2,971,345","1,524,930","802,067",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),135.458%,-37.990%,-50.158%,-87.249%,-81.973%,-51.078%,-52.614%,-35.330%,-62.104%,-74.656%,-23.048%,-11.678%,20.646%,-25.644%,-24.304%,96.969%,164.693%,509.921%,360.126%,123.464%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"183,220","556,534","160,310","1,438,655","363,975","324,813","318,828","2,820,628","282,117","403,960","601,428","1,016,233","574,277","1,001,041","676,698","765,014","720,752","1,447,932","897,496","315,827",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"52,721","-386,670","49,478","-1,323,596","-263,770","-50,881","102,079","-1,918,274","273,753","155,980","286,833","379,092","892,547","1,208,347","477,613","814,809","495,058","1,523,413","627,434","486,240",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","892,458","801,552","799,358","798,353","560,038","1,275,014","1,294,914","1,765,237","1,558,524","1,634,659","1,166,946","2,806,575","2,429,989","2,388,187","2,795,818","5,209,566","4,084,697","2,848,438","2,447,454","3,240,971",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"892,458","801,552","799,358","798,353","560,038","1,275,014","1,294,914","1,765,237","1,558,524","1,634,659","1,166,946","2,806,575","2,429,989","2,388,187","2,795,818","5,209,566","4,084,697","2,848,438","2,447,454","3,240,971",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-839,737","-1,188,222","-749,880","-2,121,949","-823,808","-1,325,895","-1,192,835","-3,683,511","-1,284,771","-1,478,679","-880,113","-2,427,483","-1,537,442","-1,179,840","-2,318,205","-4,394,757","-3,589,639","-1,325,025","-1,820,020","-2,754,731",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-353,853","-210,650","-162,897","-153,648","-134,569","-107,438","-90,077","-55,184","-34,801","-32,604","-29,706","-31,846","-42,464","-48,195","-7,064",-,"-3,273","-7,990","-6,904","-2,456",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,"11,000","-7,000","-7,500",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,193,590","-1,398,872","-912,777","-2,275,597","-958,377","-1,433,333","-1,282,912","-3,727,695","-1,326,572","-1,518,783","-909,819","-2,459,329","-1,579,906","-1,228,035","-2,325,269","-4,394,757","-3,592,912","-1,333,015","-1,826,924","-2,757,187",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"58,769","-21,660","-8,454",-,"-20,855","14,185",-,"-67,913","-219,361",-,-,-,-,-,-,"2,207","-2,207",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"812,981",-,"14,784","109,625","822,837","-244,840",-,-,-,-,-,-,-,-,"598,915",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,134,821","-1,420,532","-921,231","-2,275,597","-979,232","-606,167","-1,282,912","-3,780,824","-1,436,308","-695,946","-1,154,659","-2,459,329","-1,579,906","-1,228,035","-2,325,269","-4,392,550","-3,595,119","-1,333,015","-1,826,924","-2,158,272",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,134,821","-1,420,532","-921,231","-2,275,597","-979,232","-606,167","-1,282,912","-3,780,824","-1,436,308","-695,946","-1,154,659","-2,459,329","-1,579,906","-1,228,035","-2,325,269","-4,392,550","-3,595,119","-1,333,015","-1,826,924","-2,158,272",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"100,822","99,726","98,630","100,822","100,822","99,726","98,630","100,822","62,789","32,219",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,235,643","-1,520,258","-1,019,861","-2,376,419","-1,080,054","-705,893","-1,381,542","-3,881,646","-1,499,097","-728,165","-1,154,659","-2,459,329","-1,579,906","-1,228,035","-2,325,269","-4,392,550","-3,595,119","-1,333,015","-1,826,924","-2,158,272",Upgrade,Financials in USD,Fiscal year is January - December
