Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Other Revenue,"9,931,504","9,931,504","4,887,935","3,640,082","1,984,072","3,516,397",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue,"9,931,504","9,931,504","4,887,935","3,640,082","1,984,072","3,516,397",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue Growth (YoY),103.184%,103.184%,34.281%,83.465%,-43.577%,-27.687%,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Profit,"9,931,504","9,931,504","4,887,935","3,640,082","1,984,072","3,516,397",Upgrade,Financials in AUD,Fiscal year is July - June
"Selling, General & Admin","5,927,597","5,927,597","5,050,883","3,269,968","2,821,697","2,767,510",Upgrade,Financials in AUD,Fiscal year is July - June
Research & Development,"15,535,482","15,535,482","8,899,947","8,214,847","2,406,237","5,537,170",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Expenses,"23,187,326","23,187,326","15,873,088","13,173,439","5,903,911","8,912,101",Upgrade,Financials in AUD,Fiscal year is July - June
Operating Income,"-13,255,822","-13,255,822","-10,985,153","-9,533,357","-3,919,839","-5,395,704",Upgrade,Financials in AUD,Fiscal year is July - June
Interest Expense,"-24,292","-24,292","-16,599","-18,479","-22,318","-28,882",Upgrade,Financials in AUD,Fiscal year is July - June
Interest & Investment Income,"291,021","291,021","366,654","41,072","27,090","94,057",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-55,189","-55,189","-117,172","13,394",-,-,Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-13,044,282","-13,044,282","-10,752,270","-9,497,370","-3,915,067","-5,330,529",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-13,044,282","-13,044,282","-10,752,270","-9,497,370","-3,915,067","-5,330,529",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-13,044,282","-13,044,282","-10,752,270","-9,497,370","-3,915,067","-5,330,529",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-13,044,282","-13,044,282","-10,752,270","-9,497,370","-3,915,067","-5,330,529",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"2,174,301,000","2,174,301,000","1,801,548,000","1,717,092,000","1,405,161,000","1,117,982,005",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"2,174,301,000","2,174,301,000","1,801,548,000","1,717,092,000","1,405,161,000","1,117,982,005",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),20.691%,20.691%,4.919%,22.199%,25.687%,1.428%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.006,-0.006,-0.006,-0.006,-0.003,-0.005,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.006,-0.006,-0.006,-0.006,-0.003,-0.005,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-16,959,033","-16,959,033","-8,734,840","-9,520,069","-1,730,090","-2,878,373",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.008,-0.008,-0.005,-0.006,-0.001,-0.003,Upgrade,Financials in AUD,Fiscal year is July - June
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-133.472%,-133.472%,-224.740%,-261.900%,-197.565%,-153.444%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-131.342%,-131.342%,-219.976%,-260.911%,-197.325%,-151.591%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-170.760%,-170.760%,-178.702%,-261.534%,-87.199%,-81.856%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-12,921,170","-12,921,170","-10,660,553","-9,213,696","-3,598,872","-5,077,883",Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA Margin,-130.103%,-130.103%,-218.099%,-253.118%,-181.388%,-144.406%,Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"334,652","334,652","324,600","319,661","320,967","317,821",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-13,255,822","-13,255,822","-10,985,153","-9,533,357","-3,919,839","-5,395,704",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT Margin,-133.472%,-133.472%,-224.740%,-261.899%,-197.565%,-153.444%,Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,"10,222,525","10,222,525","5,254,589","3,681,154","2,011,162","3,610,454",Upgrade,Financials in AUD,Fiscal year is July - June
