Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters,,
Revenue,"174,000","426,000","318,000","133,000","162,000","173,000","142,000","398,000","237,000","494,000","593,000","162,000","286,000","790,000","510,000","42,000","202,000","68,000","61,000","197,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),7.407%,146.243%,123.944%,-66.583%,-31.646%,-64.980%,-76.054%,145.679%,-17.133%,-37.468%,16.275%,285.714%,41.584%,1061.765%,736.066%,-78.680%,-51.442%,-89.555%,-91.286%,-15.812%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"484,000","541,000","283,000","437,000","472,000","477,000","429,000","482,000","470,000","658,000","499,000","478,000","621,000","435,000","244,000","320,000","478,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-310,000","-115,000","35,000","-304,000","-310,000","-304,000","-287,000","-84,000","-233,000","-164,000","94,000","-316,000","-335,000","355,000","266,000","-278,000","-276,000","68,000","61,000","197,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,934,000","906,000","1,338,000","1,218,000","1,295,000","1,292,000","1,204,000","1,117,000","1,084,000","1,334,000","662,000","828,000","929,000","793,000","625,000","696,000","846,000","1,355,000","1,560,000","1,181,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"789,000","771,000","867,000","814,000","822,000","742,000","704,000","787,000","798,000","807,000","874,000","565,000","471,000","337,000","848,000","602,000","850,000","890,000","842,000","1,182,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,925,000","1,856,000","2,405,000","2,227,000","2,309,000","2,224,000","2,104,000","2,100,000","2,077,000","2,343,000","1,735,000","1,591,000","1,592,000","1,328,000","1,655,000","1,473,000","1,875,000","2,440,000","2,582,000","2,535,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,235,000","-1,971,000","-2,370,000","-2,531,000","-2,619,000","-2,528,000","-2,391,000","-2,184,000","-2,310,000","-2,507,000","-1,641,000","-1,907,000","-1,927,000","-973,000","-1,389,000","-1,751,000","-2,151,000","-2,372,000","-2,521,000","-2,338,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-792,000","-570,000","-390,000","-346,000","-319,000","-218,000","-286,000","-400,000","-377,000","-505,000","-365,000","-435,000","-334,000","-321,000","-274,000","-300,000","-307,000","-306,000","-305,000","-298,000",Upgrade,Financials in USD,Fiscal year is January - December
