Fiscal Year,TTM,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,-,-,-,"8,000","18,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-55.556%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,"898,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"8,000","-880,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","19,102,000","21,822,000","11,124,000","2,671,000","2,603,000",Financials in USD,Fiscal year is January - December
Research & Development,"10,511,000","16,440,000","19,436,000","3,660,000","2,290,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"29,613,000","38,262,000","30,560,000","6,331,000","4,893,000",Financials in USD,Fiscal year is January - December
Operating Income,"-29,613,000","-38,262,000","-30,560,000","-6,323,000","-5,773,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,951,000","-1,491,000","-185,000","-100,000","-11,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-10,390,000","189,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-31,564,000","-39,753,000","-41,135,000","-6,234,000","-5,784,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"647,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-31,564,000","-39,753,000","-40,488,000","-6,234,000","-5,784,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"9,000","7,000","-153,000","153,000",-,Financials in USD,Fiscal year is January - December
Net Income,"-31,573,000","-39,760,000","-40,335,000","-6,387,000","-5,784,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"1,507,000","2,442,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-31,573,000","-39,760,000","-40,335,000","-7,894,000","-8,226,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"29,318,448","23,557,846","12,982,472","9,949,376","4,743,755",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"29,318,448","23,557,846","12,982,472","9,949,376","4,743,755",Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.784%,81.459%,30.485%,109.736%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.077,-1.688,-3.107,-0.793,-1.734,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.077,-1.688,-3.107,-0.793,-1.734,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-26,128,000","-29,036,000","-30,873,000","-5,791,000","-6,267,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.891,-1.233,-2.378,-0.582,-1.321,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,100.000%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-79037.500%,-32072.222%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-98675.000%,-45700.000%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-72387.500%,-34816.667%,Financials in USD,Fiscal year is January - December
EBITDA,"-29,175,000","-38,209,000","-30,464,000","-6,248,000","-5,701,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"438,000","53,000","96,000","75,000","72,000",Financials in USD,Fiscal year is January - December
EBIT,"-29,613,000","-38,262,000","-30,560,000","-6,323,000","-5,773,000",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"4,000","2,000","14,000",-,Financials in USD,Fiscal year is January - December
