Fiscal Quarter,Q1 2021,Q1 2020,Q1 2019,Q3 2010,Q2 2010,Q1 2010,Currency,Fiscal_Year_period
Period Ending,"Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009",,
Revenue,"14,704","27,684","70,558","59,621","54,897","52,587",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-73.215%,-47.356%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,097","15,779","33,730","34,522","33,072","32,257",Financials in USD,Fiscal year is January - December
Gross Profit,"6,607","11,905","36,828","25,099","21,825","20,330",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","59,071","84,659","191,935","25,102","27,737","26,132",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,853,853,853,Financials in USD,Fiscal year is January - December
Operating Expenses,"59,071","84,659","191,935","25,955","28,590","26,985",Financials in USD,Fiscal year is January - December
Operating Income,"-52,464","-72,754","-155,107",-856,"-6,765","-6,655",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-198,-198,-298,Financials in USD,Fiscal year is January - December
Pretax Income,"-52,464","-72,754","-155,107","-1,054","-6,963","-6,953",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-52,464","-72,754","-155,107","-1,054","-6,963","-6,953",Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,"12,263",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-52,464","-72,754","-142,844","-1,054","-6,963","-6,953",Financials in USD,Fiscal year is January - December
Net Income to Common,"-52,464","-72,754","-142,844","-1,054","-6,963","-6,953",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"82,619,736","1,895,268","1,801,629",-,-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"82,619,736","1,895,268","1,801,629",-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.001,-0.038,-0.079,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.001,-0.038,-0.079,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-37,909","-57,476","-233,388",-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.030,-0.130,-,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,44.933%,43.003%,52.195%,42.097%,39.756%,38.660%,Financials in USD,Fiscal year is January - December
Operating Margin,-356.801%,-262.802%,-219.829%,-1.436%,-12.323%,-12.655%,Financials in USD,Fiscal year is January - December
Profit Margin,-356.801%,-262.802%,-202.449%,-1.768%,-12.684%,-13.222%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-257.814%,-207.615%,-330.775%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-51,561","-71,851","-154,221",-,-,-,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-259.540%,-218.573%,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,903,903,886,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-52,464","-72,754","-155,107",-856,"-6,765","-6,655",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-262.802%,-219.829%,-1.436%,-12.323%,-12.655%,Financials in USD,Fiscal year is January - December
