Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"630,388,000","627,687,000","618,285,000","658,180,000","717,165,000","626,192,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue,"630,388,000","627,687,000","618,285,000","658,180,000","717,165,000","626,192,000",Upgrade,Financials in SEK,Fiscal year is January - December
Revenue Growth (YoY),2.411%,1.521%,-6.061%,-8.225%,14.528%,3.654%,Upgrade,Financials in SEK,Fiscal year is January - December
Cost of Revenue,"421,232,000","407,474,000","362,840,000","370,173,000","407,208,000","334,546,000",Upgrade,Financials in SEK,Fiscal year is January - December
Gross Profit,"209,156,000","220,213,000","255,445,000","288,007,000","309,957,000","291,646,000",Upgrade,Financials in SEK,Fiscal year is January - December
"Selling, General & Admin","170,371,000","172,495,000","166,845,000","143,374,000","150,305,000","151,102,000",Upgrade,Financials in SEK,Fiscal year is January - December
Research & Development,"35,682,000","36,438,000","38,348,000","37,082,000","36,347,000","31,046,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Operating Expenses,"26,000","-40,000","-322,000","-1,692,000","-376,000","-2,044,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Expenses,"206,079,000","208,893,000","204,871,000","178,764,000","186,276,000","180,104,000",Upgrade,Financials in SEK,Fiscal year is January - December
Operating Income,"3,077,000","11,320,000","50,574,000","109,243,000","123,681,000","111,542,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest Expense,"-2,173,000","-2,027,000","-2,419,000","-1,766,000","-1,871,000","-2,967,000",Upgrade,Financials in SEK,Fiscal year is January - December
Interest & Investment Income,"10,402,000","8,048,000","1,705,000","154,000","241,000","1,423,000",Upgrade,Financials in SEK,Fiscal year is January - December
Currency Exchange Gain (Loss),"-906,000","41,000","2,187,000","-76,000","-1,712,000","681,000",Upgrade,Financials in SEK,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,"-73,000","-116,000","-252,000","-1,156,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBT Excluding Unusual Items,"10,400,000","17,382,000","51,974,000","107,439,000","120,087,000","109,523,000",Upgrade,Financials in SEK,Fiscal year is January - December
Pretax Income,"10,400,000","17,382,000","51,974,000","107,439,000","120,087,000","109,523,000",Upgrade,Financials in SEK,Fiscal year is January - December
Income Tax Expense,"-484,000","563,000","11,352,000","24,294,000","27,394,000","23,636,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income,"10,884,000","16,819,000","40,622,000","83,145,000","92,693,000","85,887,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income to Common,"10,884,000","16,819,000","40,622,000","83,145,000","92,693,000","85,887,000",Upgrade,Financials in SEK,Fiscal year is January - December
Net Income Growth,-20.415%,-58.596%,-51.143%,-10.301%,7.924%,12.639%,Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Basic),"11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Diluted),"11,394,125","11,394,125","11,394,125","11,394,125","11,394,125","11,394,125",Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Basic),0.955,1.476,3.565,7.297,8.135,7.538,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Diluted),0.955,1.476,3.565,7.297,8.135,7.538,Upgrade,Financials in SEK,Fiscal year is January - December
EPS Growth,-20.415%,-58.596%,-51.143%,-10.301%,7.924%,12.639%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow,"97,372,000","52,388,000","103,665,000","119,048,000","113,328,000","146,880,000",Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Per Share,8.546,4.598,9.098,10.448,9.946,12.891,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Per Share,1.300,1.300,1.300,1.300,1.100,1.000,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Growth,0%,0%,0%,18.182%,10.000%,-,Upgrade,Financials in SEK,Fiscal year is January - December
Gross Margin,33.179%,35.083%,41.315%,43.758%,43.220%,46.575%,Upgrade,Financials in SEK,Fiscal year is January - December
Operating Margin,0.488%,1.803%,8.180%,16.598%,17.246%,17.813%,Upgrade,Financials in SEK,Fiscal year is January - December
Profit Margin,1.727%,2.680%,6.570%,12.633%,12.925%,13.716%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Margin,15.446%,8.346%,16.767%,18.087%,15.802%,23.456%,Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA,"80,690,000","83,927,000","114,498,000","161,993,000","176,380,000","162,783,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA Margin,12.800%,13.371%,18.519%,24.612%,24.594%,25.996%,Upgrade,Financials in SEK,Fiscal year is January - December
D&A For EBITDA,"77,613,000","72,607,000","63,924,000","52,750,000","52,699,000","51,241,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT,"3,077,000","11,320,000","50,574,000","109,243,000","123,681,000","111,542,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT Margin,0.488%,1.803%,8.180%,16.598%,17.246%,17.813%,Upgrade,Financials in SEK,Fiscal year is January - December
Effective Tax Rate,-,3.239%,21.842%,22.612%,22.812%,21.581%,Upgrade,Financials in SEK,Fiscal year is January - December
